Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
ATL,BRK,2024-10-23,W,H,120,116,240,39,80,0.488,30,52,0.577,9,28,0.321,33,46,0.717,40,91,0.44,23,48,0.479,17,43,0.395,19,25,0.76,12,33,45,12,31,43,25,12,9,16,20,21,8,6,19,32,115.6,111.8,0.575,0.35,0.599,0.544,0.413,111.8,115.6,0.275,0.473,0.569,0.533,0.209,27.9,73.3,48.9,26.7,72.1,48.9,64.1,11.6,18.8,13.8,52.5,7.7,11.5,15.7,5.0,5.0,103.79504,103.79504,103.79504
ATL,CHO,2024-10-25,W,H,125,120,240,39,81,0.481,25,43,0.581,14,38,0.368,33,38,0.868,37,96,0.385,16,45,0.356,21,51,0.412,25,31,0.806,7,32,39,22,31,53,25,11,9,14,28,22,7,4,18,28,123.4,118.5,0.469,0.469,0.64,0.568,0.407,118.5,123.4,0.323,0.531,0.547,0.495,0.26,18.4,59.3,57.6,40.7,81.6,57.6,64.1,10.9,20.0,12.5,59.5,6.9,9.3,14.1,2.0,2.0,101.318565,101.318565,101.318565
ATL,OKC,2024-10-27,L,A,104,128,240,36,91,0.396,26,60,0.433,10,31,0.323,22,29,0.759,44,89,0.494,28,49,0.571,16,40,0.4,24,32,0.75,17,32,49,11,34,45,24,7,4,20,23,26,13,12,10,23,102.7,126.4,0.319,0.341,0.501,0.451,0.242,126.4,102.7,0.36,0.449,0.621,0.584,0.27,33.3,74.4,47.9,25.6,66.7,47.9,66.7,6.9,8.2,16.2,59.1,12.8,20.0,8.8,2.0,1.0,101.238275,101.238275,101.238275
ATL,WAS,2024-10-28,L,H,119,121,240,39,81,0.481,24,41,0.585,15,40,0.375,26,36,0.722,41,91,0.451,20,47,0.426,21,44,0.477,18,22,0.818,6,33,39,9,34,43,32,12,7,16,22,24,7,3,18,25,112.8,114.7,0.444,0.494,0.614,0.574,0.321,114.7,112.8,0.242,0.484,0.601,0.566,0.198,15.0,78.6,52.4,21.4,85.0,52.4,82.1,11.4,14.9,14.2,58.5,6.6,7.3,15.2,1.0,2.0,105.505,105.505,105.505
ATL,WAS,2024-10-30,L,A,120,133,240,45,95,0.474,33,56,0.589,12,39,0.308,18,21,0.857,47,89,0.528,31,51,0.608,16,38,0.421,23,25,0.92,12,29,41,6,31,37,28,10,3,17,19,32,10,5,16,21,112.8,125.0,0.221,0.411,0.576,0.537,0.189,125.0,112.8,0.281,0.427,0.665,0.618,0.258,27.9,82.9,47.4,17.1,72.1,47.4,62.2,9.4,5.9,14.0,68.1,9.4,8.9,13.8,2.0,2.0,106.39438,106.39438,106.39438
ATL,SAC,2024-11-01,L,H,115,123,240,41,92,0.446,22,42,0.524,19,50,0.38,14,18,0.778,43,89,0.483,32,56,0.571,11,33,0.333,26,30,0.867,8,32,40,10,41,51,30,8,4,13,22,28,9,4,14,21,111.3,119.1,0.196,0.543,0.575,0.549,0.152,119.1,111.3,0.337,0.371,0.602,0.545,0.292,16.3,76.2,56.0,23.8,83.7,56.0,73.2,7.7,7.1,11.5,65.1,8.7,9.5,12.0,2.0,3.0,103.295365,103.295365,103.295365
ATL,NOP,2024-11-03,W,A,126,111,240,50,88,0.568,35,52,0.673,15,36,0.417,11,12,0.917,39,90,0.433,23,52,0.442,16,38,0.421,17,20,0.85,10,31,41,18,25,43,29,10,3,16,17,22,6,3,18,16,130.5,114.9,0.136,0.409,0.675,0.653,0.125,114.9,130.5,0.222,0.422,0.562,0.522,0.189,28.6,63.3,51.2,36.7,71.4,51.2,58.0,10.4,5.8,14.6,56.4,6.2,5.8,15.4,2.0,2.0,96.572025,96.572025,96.572025
ATL,BOS,2024-11-04,L,H,93,123,240,37,89,0.416,31,58,0.534,6,31,0.194,13,16,0.813,48,99,0.485,30,44,0.682,18,55,0.327,9,13,0.692,8,35,43,11,39,50,23,9,3,20,13,27,15,7,13,14,88.5,117.1,0.18,0.348,0.484,0.449,0.146,117.1,88.5,0.131,0.556,0.587,0.576,0.091,17.0,76.1,53.8,23.9,83.0,53.8,62.2,8.6,6.8,17.2,56.3,14.3,12.1,11.0,1.0,2.0,105.049485,105.049485,105.049485
ATL,NYK,2024-11-06,W,H,121,116,240,45,100,0.45,30,62,0.484,15,38,0.395,16,22,0.727,41,84,0.488,19,37,0.514,22,47,0.468,12,15,0.8,16,32,48,7,34,41,31,12,4,8,14,29,5,5,16,18,123.7,118.5,0.22,0.38,0.552,0.525,0.16,118.5,123.7,0.179,0.56,0.64,0.619,0.143,32.0,82.1,46.1,17.9,68.0,46.1,68.9,12.3,10.8,6.8,70.7,5.1,8.1,15.0,2.0,2.0,97.866105,97.866105,97.866105
ATL,DET,2024-11-08,L,A,121,122,240,44,97,0.454,29,61,0.475,15,36,0.417,18,23,0.783,44,86,0.512,31,53,0.585,13,33,0.394,21,31,0.677,15,29,44,11,34,45,30,12,7,18,21,27,7,8,21,18,113.1,114.1,0.237,0.371,0.565,0.531,0.186,114.1,113.1,0.36,0.384,0.612,0.587,0.244,30.6,72.5,50.6,27.5,69.4,50.6,68.2,11.2,13.2,14.4,61.4,6.5,13.1,17.4,2.0,2.0,106.94412,106.94412,106.94412
ATL,CHI,2024-11-09,L,H,113,125,240,41,89,0.461,32,60,0.533,9,29,0.31,22,30,0.733,46,92,0.5,33,53,0.623,13,39,0.333,20,23,0.87,10,29,39,13,34,47,31,8,5,14,19,30,12,6,18,18,109.0,120.6,0.337,0.326,0.553,0.511,0.247,120.6,109.0,0.25,0.424,0.612,0.571,0.217,22.7,69.0,54.7,31.0,77.3,54.7,75.6,7.7,9.4,12.0,65.2,11.6,10.0,15.0,1.0,2.0,103.64153999999999,103.64153999999999,103.64153999999999
ATL,BOS,2024-11-12,W,A,117,116,240,50,99,0.505,40,67,0.597,10,32,0.313,7,13,0.538,38,75,0.507,20,30,0.667,18,45,0.4,22,27,0.815,19,25,44,6,28,34,35,16,2,16,17,28,7,5,20,12,118.7,117.7,0.131,0.323,0.559,0.556,0.071,117.7,118.7,0.36,0.6,0.668,0.627,0.293,40.4,80.6,43.6,19.4,59.6,43.6,70.0,16.2,6.7,13.3,73.7,7.1,7.5,18.7,3.0,2.0,98.56891,98.56891,98.56891
ATL,WAS,2024-11-15,W,H,129,117,240,46,98,0.469,34,61,0.557,12,37,0.324,25,30,0.833,43,106,0.406,28,63,0.444,15,43,0.349,16,21,0.762,15,40,55,13,39,52,28,10,10,16,17,28,11,5,16,23,115.0,104.3,0.306,0.378,0.58,0.531,0.255,104.3,115.0,0.198,0.406,0.508,0.476,0.151,27.8,75.5,48.6,24.5,72.2,48.6,60.9,8.9,15.9,12.6,65.1,9.8,8.2,12.2,3.0,2.0,112.208315,112.208315,112.208315
ATL,POR,2024-11-17,L,A,110,114,240,39,85,0.459,28,53,0.528,11,32,0.344,21,25,0.84,44,95,0.463,30,57,0.526,14,38,0.368,12,19,0.632,16,31,47,18,22,40,30,10,7,27,19,31,16,10,20,21,107.9,111.9,0.294,0.376,0.573,0.524,0.247,111.9,107.9,0.2,0.4,0.551,0.537,0.126,42.1,63.3,46.0,36.7,57.9,46.0,76.9,9.8,12.3,22.0,70.5,15.7,18.9,16.2,2.0,4.0,101.92559499999999,101.92559499999999,101.92559499999999
ATL,SAC,2024-11-18,W,A,109,108,240,39,83,0.47,23,45,0.511,16,38,0.421,15,18,0.833,37,85,0.435,17,39,0.436,20,46,0.435,14,19,0.737,6,31,37,9,36,45,34,7,7,14,19,24,9,4,17,20,111.5,110.5,0.217,0.458,0.599,0.566,0.181,110.5,111.5,0.224,0.541,0.578,0.553,0.165,14.3,77.5,54.9,22.5,85.7,54.9,87.2,7.2,17.9,13.3,64.9,9.2,8.9,15.4,1.0,2.0,97.75578,97.75578,97.75578
ATL,GSW,2024-11-20,L,A,97,120,240,35,105,0.333,23,60,0.383,12,45,0.267,15,24,0.625,47,101,0.465,33,61,0.541,14,40,0.35,12,18,0.667,21,44,65,9,45,54,27,9,5,17,17,36,10,7,15,17,87.7,108.5,0.229,0.429,0.42,0.39,0.143,108.5,87.7,0.178,0.396,0.551,0.535,0.119,31.8,83.0,45.4,17.0,68.2,45.4,77.1,8.1,8.2,12.8,76.6,9.0,11.7,12.1,2.0,2.0,110.5796,110.5796,110.5796
ATL,CHI,2024-11-22,L,A,122,136,240,49,107,0.458,39,73,0.534,10,34,0.294,14,19,0.737,49,86,0.57,30,43,0.698,19,43,0.442,19,21,0.905,14,28,42,5,36,41,32,11,4,11,16,36,8,10,19,17,113.2,126.1,0.178,0.318,0.529,0.505,0.131,126.1,113.2,0.244,0.5,0.714,0.68,0.221,28.0,84.8,49.4,15.2,72.0,49.4,65.3,10.2,9.3,8.7,73.5,7.4,13.7,16.6,2.0,2.0,107.80276,107.80276,107.80276
ATL,DAL,2024-11-25,L,H,119,129,240,48,101,0.475,39,70,0.557,9,31,0.29,14,16,0.875,47,94,0.5,31,59,0.525,16,35,0.457,19,22,0.864,9,30,39,10,41,51,32,10,6,14,15,24,6,8,18,13,108.5,117.6,0.158,0.307,0.551,0.52,0.139,117.6,108.5,0.234,0.372,0.622,0.585,0.202,18.0,75.0,56.7,25.0,82.0,56.7,66.7,9.1,10.2,11.5,51.1,5.5,11.4,14.8,3.0,1.0,109.70985,109.70985,109.70985
ATL,CLE,2024-11-27,W,A,135,124,240,46,97,0.474,26,55,0.473,20,42,0.476,23,25,0.92,44,95,0.463,29,47,0.617,15,48,0.313,21,28,0.75,14,37,51,12,32,44,39,6,6,15,21,31,11,5,13,21,127.8,117.4,0.258,0.433,0.625,0.577,0.237,117.4,127.8,0.295,0.505,0.578,0.542,0.221,30.4,75.5,46.3,24.5,69.6,46.3,84.8,5.7,12.8,12.2,70.5,10.4,9.1,10.8,2.0,3.0,105.620535,105.620535,105.620535
ATL,CLE,2024-11-29,W,H,117,101,240,44,85,0.518,30,51,0.588,14,34,0.412,15,18,0.833,38,93,0.409,27,55,0.491,11,38,0.289,14,17,0.824,10,43,53,11,29,40,33,9,5,21,20,21,9,0,13,22,115.4,99.6,0.212,0.4,0.63,0.6,0.176,99.6,115.4,0.183,0.409,0.503,0.468,0.151,25.6,79.6,43.0,20.4,74.4,43.0,75.0,8.9,9.1,18.4,55.3,8.9,0.0,11.5,2.0,2.0,101.38194,101.38194,101.38194
