Rk,Team,Date,H/A,Opp,Result,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%
1,MEM,2025-02-05,@,TOR,"W, 138-107",54.5,72.5,35.8,27.5,45.5,35.8
2,TOR,2024-10-25,,PHI,"W, 115-107",50.0,78.3,34.1,21.7,50.0,34.1
3,MEM,2025-03-03,,ATL,"L, 130-132",48.6,65.0,42.7,35.0,51.4,42.7
4,POR,2024-10-27,,NOP,"W, 125-103",47.8,65.9,43.3,34.1,52.2,43.3
5,MEM,2024-12-26,,TOR,"W, 155-126",47.1,75.0,38.8,25.0,52.9,38.8
6,UTA,2025-01-22,@,OKC,"L, 114-123",46.9,69.0,42.9,31.0,53.1,42.9
7,CLE,2025-02-23,,MEM,"W, 129-123",46.8,74.5,39.4,25.5,53.2,39.4
8,HOU,2025-03-17,,PHI,"W, 144-137 (OT)",46.0,81.4,37.6,18.6,54.0,37.6
9,UTA,2024-11-14,,DAL,"W, 115-113",45.7,68.6,42.9,31.4,54.3,42.9
10,DET,2025-02-21,@,SAS,"W, 125-110",45.5,80.5,37.6,19.5,54.5,37.6
11,BOS,2025-04-02,,MIA,"L, 103-124",45.2,68.6,44.2,31.4,54.8,44.2
12,DEN,2025-01-21,,PHI,"W, 144-109",45.2,82.2,32.9,17.8,54.8,32.9
13,MIN,2025-02-05,,CHI,"W, 127-108",45.1,85.7,36.6,14.3,54.9,36.6
14,DAL,2024-11-17,@,OKC,"W, 121-119",45.0,83.3,35.4,16.7,55.0,35.4
15,MIN,2025-01-25,,DEN,"W, 133-104",45.0,65.9,44.4,34.1,55.0,44.4
16,WAS,2025-03-08,@,TOR,"W, 118-117",44.9,56.0,49.5,44.0,55.1,49.5
17,NOP,2024-11-13,@,OKC,"L, 88-106",44.7,88.1,34.8,11.9,55.3,34.8
18,UTA,2025-01-11,@,PHO,"L, 106-114",44.7,70.7,43.2,29.3,55.3,43.2
19,HOU,2025-03-04,@,IND,"L, 102-115",44.4,87.2,37.6,12.8,55.6,37.6
20,HOU,2025-01-22,,CLE,"W, 109-108",44.4,62.3,45.9,37.7,55.6,45.9
21,HOU,2024-10-25,,MEM,"W, 128-108",44.2,74.5,40.2,25.5,55.8,40.2
22,MEM,2025-03-09,@,NOP,"W, 107-104",44.2,77.3,40.6,22.7,55.8,40.6
23,MEM,2025-02-02,@,MIL,"W, 132-119",44.0,83.0,37.1,17.0,56.0,37.1
24,TOR,2025-03-08,,WAS,"L, 117-118",44.0,55.1,50.5,44.9,56.0,50.5
