Rk,Team,Date,H/A,Opp,Result,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA
1,IND,2025-03-27,@,WAS,"W, 162-109",163.4,109.9,.207,.511,.807,.788,.185,109.9,163.4,.306,.353,.565,.512,.259
2,DEN,2025-01-21,,PHI,"W, 144-109",149.7,113.3,.294,.365,.750,.706,.282,113.3,149.7,.083,.396,.548,.536,.063
3,BOS,2024-12-27,,IND,"W, 142-105",148.5,109.8,.315,.609,.678,.636,.272,109.8,148.5,.275,.429,.515,.478,.198
4,OKC,2025-03-21,,CHO,"W, 141-106",147.7,111.0,.181,.415,.695,.686,.128,111.0,147.7,.163,.513,.618,.581,.163
5,MEM,2025-03-25,@,UTA,"W, 140-103",147.6,108.6,.184,.459,.661,.633,.163,108.6,147.6,.282,.538,.587,.545,.231
6,BOS,2024-10-22,,NYK,"W, 132-109",147.3,121.6,.084,.642,.670,.658,.074,121.6,147.3,.205,.385,.641,.622,.154
7,MIA,2025-04-02,@,BOS,"W, 124-103",147.2,122.2,.325,.361,.653,.602,.289,122.2,147.2,.184,.494,.548,.517,.149
8,MIN,2025-03-09,,SAS,"W, 141-124",146.1,128.5,.158,.442,.694,.668,.147,128.5,146.1,.282,.353,.649,.618,.224
9,CHO,2025-03-14,@,SAS,"W, 145-134",145.2,134.2,.224,.541,.777,.753,.200,134.2,145.2,.232,.484,.640,.616,.179
10,HOU,2025-03-08,,NOP,"W, 146-117",145.0,116.2,.212,.404,.674,.641,.192,116.2,145.0,.162,.343,.552,.545,.091
11,NYK,2024-11-25,@,DEN,"W, 145-118",144.2,117.3,.174,.391,.732,.712,.152,117.3,144.2,.293,.359,.568,.505,.272
12,HOU,2025-03-30,@,PHO,"W, 148-109",144.1,106.1,.255,.316,.679,.663,.184,106.1,144.1,.195,.368,.577,.540,.172
13,MIN,2025-01-30,@,UTA,"W, 138-113",143.8,117.7,.293,.463,.745,.726,.232,117.7,143.8,.325,.442,.642,.597,.273
14,BOS,2024-11-13,@,BRK,"W, 139-114",143.7,117.8,.258,.495,.671,.656,.183,117.8,143.7,.228,.544,.656,.627,.190
15,DEN,2025-02-10,,POR,"W, 146-117",142.9,114.5,.220,.275,.731,.703,.198,114.5,142.9,.295,.420,.588,.540,.250
16,SAC,2024-12-08,,UTA,"W, 141-97",142.6,98.1,.080,.440,.681,.680,.050,98.1,142.6,.263,.525,.543,.481,.250
17,PHO,2024-12-13,@,UTA,"W, 134-126",142.2,133.7,.225,.506,.685,.652,.202,133.7,142.2,.286,.506,.727,.701,.234
18,OKC,2025-03-02,@,SAS,"W, 146-132",142.2,128.5,.198,.436,.665,.639,.168,128.5,142.2,.176,.473,.673,.659,.132
19,CLE,2024-12-27,@,DEN,"W, 149-135",141.8,128.5,.229,.500,.705,.682,.188,128.5,141.8,.191,.330,.662,.644,.149
20,NYK,2025-01-12,,MIL,"W, 140-106",141.7,107.3,.273,.466,.710,.682,.227,107.3,141.7,.181,.362,.522,.511,.106
21,SAS,2025-01-31,,MIL,"W, 144-118",141.6,116.0,.245,.490,.637,.608,.196,116.0,141.6,.260,.370,.529,.490,.200
