Rk,Team,Date,H/A,Opp,Result,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%
1,BRK,2024-11-17,@,NYK,"L, 104-114",96.9,1.1,6.3,9.2,76.7,4.4,14.3,7.7
2,SAS,2024-12-15,,MIN,"L, 92-106",91.9,6.0,12.3,16.7,65.0,11.0,8.7,10.1
3,WAS,2025-02-05,@,BRK,"W, 119-102",90.9,6.6,6.7,14.7,72.2,7.7,7.9,9.7
4,SAS,2025-02-23,@,NOP,"L, 96-114",90.6,10.7,11.5,8.5,64.3,2.9,6.5,13.9
5,LAC,2025-02-04,,LAL,"L, 97-122",88.2,9.5,11.4,9.3,73.3,7.4,6.3,14.1
6,GSW,2025-01-20,,BOS,"L, 85-125",87.5,8.4,6.8,11.0,67.3,8.4,23.1,9.5
7,ATL,2024-11-18,@,SAC,"W, 109-108",87.2,7.2,17.9,13.3,64.9,9.2,8.9,15.4
8,MIA,2025-02-26,,ATL,"W, 131-109",86.7,10.6,4.1,16.6,70.7,6.4,8.8,16.0
9,ORL,2025-01-03,@,TOR,"W, 106-97",86.5,11.5,15.7,13.9,73.7,6.9,2.9,11.4
10,SAC,2025-03-25,,OKC,"L, 105-121",86.5,9.9,14.0,10.3,69.8,7.0,13.6,15.8
11,TOR,2024-12-07,,DAL,"L, 118-125",86.0,12.8,8.3,11.4,55.3,9.8,14.8,15.6
12,PHO,2025-02-11,,MEM,"L, 112-119",85.4,7.8,14.8,10.6,51.2,7.8,6.3,10.4
13,SAC,2025-01-29,@,PHI,"L, 104-117",85.0,5.3,1.9,11.0,69.8,8.6,2.0,9.8
14,ATL,2025-01-25,,TOR,"L, 94-117",84.8,12.7,8.3,20.2,73.8,10.0,14.9,17.2
15,MEM,2025-03-27,@,OKC,"L, 104-125",84.8,8.8,6.8,17.6,63.6,8.8,10.8,10.5
16,ATL,2024-11-27,@,CLE,"W, 135-124",84.8,5.7,12.8,12.2,70.5,10.4,9.1,10.8
17,MIN,2024-10-29,,DAL,"L, 114-120",84.6,5.2,3.7,18.4,55.6,12.5,5.3,9.0
18,UTA,2025-02-26,,SAC,"L, 101-118",84.2,9.4,3.9,9.9,60.9,6.2,17.5,14.8
19,LAL,2025-03-10,@,BRK,"L, 108-111",83.8,4.2,8.9,13.8,59.5,10.6,13.3,6.4
20,NOP,2025-03-24,,PHI,"W, 112-99",83.7,11.8,11.1,15.5,55.9,11.8,11.5,11.2
21,DEN,2025-03-15,,WAS,"L, 123-126",83.3,11.4,16.0,14.9,73.9,10.4,6.6,14.2
22,MIN,2025-03-21,,NOP,"W, 134-93",83.3,14.4,2.7,12.5,58.8,11.3,8.9,25.1
23,NYK,2025-03-26,,LAC,"L, 113-126",83.3,4.4,1.7,9.6,60.0,4.4,16.0,4.8
24,PHO,2024-10-25,@,LAL,"L, 116-123",83.3,8.1,8.3,16.0,82.5,10.2,11.1,12.4
25,DEN,2025-01-01,,ATL,"W, 139-120",83.0,7.3,9.3,11.2,75.6,9.1,7.8,11.4
26,CHI,2024-12-08,,PHI,"L, 100-108",82.9,8.8,5.4,14.1,58.1,7.8,15.6,14.0
27,DEN,2024-10-24,,OKC,"L, 87-102",82.9,11.0,10.8,13.3,53.5,9.0,21.7,10.1
28,LAC,2024-11-18,,GSW,"W, 102-99",82.9,9.8,15.0,18.2,73.0,11.8,8.3,17.1
29,PHO,2024-11-02,,POR,"W, 103-97",82.9,3.9,11.8,12.0,45.9,9.7,12.2,4.9
30,SAC,2024-11-29,@,POR,"L, 106-115",82.9,7.2,7.5,18.1,58.7,10.2,8.3,11.0
31,MEM,2024-10-26,,ORL,"W, 124-111",82.6,9.5,12.8,15.7,56.8,9.5,11.5,16.1
32,OKC,2025-02-21,@,UTA,"W, 130-107",82.6,10.0,20.4,10.2,65.9,7.0,3.7,17.7
33,GSW,2025-03-03,@,CHO,"W, 119-101",82.5,9.7,8.7,7.9,58.8,2.9,13.3,14.5
34,LAL,2024-10-25,,PHO,"W, 123-116",82.5,10.2,11.1,12.4,83.3,8.1,8.3,16.0
35,MIA,2024-10-26,@,CHO,"W, 114-106",82.5,8.2,12.5,12.5,51.3,6.1,9.6,16.9
36,WAS,2025-03-01,@,CHO,"W, 113-100",82.5,13.3,13.7,13.6,68.3,9.2,13.2,15.1
37,CHO,2025-03-14,@,SAS,"W, 145-134",82.4,7.0,4.1,17.6,56.3,14.0,12.8,11.8
38,DEN,2025-02-22,,LAL,"L, 100-123",82.4,6.2,2.2,18.9,62.8,15.4,20.5,8.5
39,ATL,2024-10-28,,WAS,"L, 119-121",82.1,11.4,14.9,14.2,58.5,6.6,7.3,15.2
40,BRK,2025-03-31,@,DAL,"W, 113-109",82.1,6.2,5.4,7.5,70.7,4.2,7.7,9.2
41,SAS,2024-11-19,,OKC,"W, 110-104",82.1,4.9,10.6,18.7,58.5,15.7,10.8,12.0
42,PHO,2025-01-31,@,GSW,"W, 130-105",82.0,6.7,13.5,13.5,72.2,10.5,12.0,10.1
43,GSW,2024-12-03,@,DEN,"L, 115-119",81.8,11.5,5.5,12.6,80.0,8.6,8.8,13.7
44,BRK,2025-03-28,,LAC,"L, 100-132",81.8,9.7,7.0,13.0,65.9,10.7,9.5,12.3
45,GSW,2025-02-25,,CHO,"W, 128-92",81.6,15.9,10.2,10.0,54.5,6.9,13.8,20.5
46,BRK,2025-02-26,,OKC,"L, 121-129",81.6,7.1,8.3,12.6,56.3,10.1,12.5,10.5
47,PHO,2024-11-30,,GSW,"W, 113-105",81.6,4.2,17.3,13.6,73.7,8.3,11.4,8.3
48,MEM,2024-11-25,,POR,"W, 123-98",81.4,6.9,23.2,15.7,64.7,9.8,11.9,8.8
49,NYK,2024-11-08,,MIL,"W, 116-94",81.4,7.6,5.7,10.0,55.6,1.1,11.1,11.4
50,IND,2025-03-27,@,WAS,"W, 162-109",81.4,8.1,3.6,13.0,50.0,9.1,4.4,13.5
51,SAS,2024-12-27,@,BRK,"W, 96-87",81.3,10.7,16.3,14.3,62.9,8.6,8.0,16.1
52,MEM,2024-12-29,@,OKC,"L, 106-130",81.1,5.6,6.8,16.5,67.3,9.4,19.6,8.5
53,ORL,2024-12-29,,BRK,"W, 102-101",81.1,7.8,7.0,12.1,68.8,7.8,6.4,16.6
54,BOS,2025-02-02,@,PHI,"W, 118-110",81.0,3.2,16.0,9.0,54.1,7.4,5.7,9.6
55,CHO,2024-11-17,@,CLE,"L, 114-128",81.0,12.2,12.8,8.5,59.1,3.1,7.8,18.3
56,DEN,2024-11-06,,OKC,"W, 124-122",81.0,7.4,10.0,14.8,65.9,13.9,11.8,11.3
57,BRK,2025-03-15,,BOS,"L, 113-115",81.0,4.8,6.5,8.6,65.9,5.9,15.9,8.0
58,TOR,2024-11-27,@,NOP,"W, 119-93",80.9,10.6,6.9,13.8,66.7,11.6,9.3,14.5
59,TOR,2024-11-04,@,DEN,"L, 119-121",80.9,11.7,5.8,11.2,70.7,8.8,15.6,14.6
60,MIA,2024-12-04,,LAL,"W, 134-93",80.8,11.5,7.6,14.6,78.4,9.4,9.3,11.9
61,MIN,2024-11-29,,LAC,"W, 93-92",80.6,8.5,9.4,20.8,55.6,18.1,8.3,14.3
62,GSW,2025-01-28,,UTA,"W, 114-103",80.6,8.5,8.0,7.9,76.9,4.2,14.0,14.8
63,GSW,2024-11-23,@,SAS,"L, 94-104",80.6,4.4,7.9,9.0,76.3,5.5,17.6,8.8
64,MIA,2025-03-05,@,CLE,"L, 107-112",80.6,7.2,4.3,13.0,63.4,7.2,8.5,11.9
65,PHO,2024-12-07,@,MIA,"L, 111-121",80.6,8.6,5.6,13.1,66.7,9.7,9.8,11.1
66,IND,2024-12-15,,NOP,"W, 119-104",80.5,9.9,14.1,15.7,47.4,10.9,9.3,14.4
67,PHO,2025-03-14,,SAC,"W, 122-106",80.5,12.8,6.1,13.8,62.5,7.5,2.8,17.5
68,WAS,2024-12-19,,CHO,"W, 123-114",80.5,5.0,12.7,15.7,69.8,11.9,4.9,6.4
69,GSW,2025-01-23,,CHI,"W, 131-106",80.4,3.0,12.8,10.0,64.7,7.0,4.4,11.6
70,NYK,2024-11-25,@,DEN,"W, 145-118",80.4,5.0,6.8,10.0,56.1,5.0,5.4,9.6
71,ATL,2024-12-06,,LAL,"W, 134-132 (OT)",80.0,8.9,7.8,13.4,64.7,9.7,16.7,12.4
72,CHO,2025-02-24,@,SAC,"L, 88-130",80.0,14.4,8.2,16.6,63.8,12.3,8.9,15.9
73,CHI,2024-11-04,,UTA,"L, 126-135",80.0,6.9,13.2,7.8,72.9,3.0,10.3,11.3
74,CHI,2024-10-28,@,MEM,"W, 126-123",80.0,4.8,8.8,7.7,72.5,4.8,19.1,7.9
75,DAL,2025-03-03,,SAC,"L, 98-122",80.0,5.5,1.8,13.8,72.3,4.4,7.8,6.8
76,DEN,2024-12-03,,GSW,"W, 119-115",80.0,8.6,8.8,13.7,81.8,11.5,5.5,12.6
77,GSW,2025-02-21,@,SAC,"W, 132-108",80.0,13.4,6.4,10.9,65.0,8.3,6.0,21.6
78,IND,2025-03-22,,BRK,"W, 108-103",80.0,5.0,12.8,13.9,51.3,6.0,2.0,13.3
79,MIN,2024-12-06,@,GSW,"W, 107-90",80.0,11.8,14.0,18.2,65.6,8.9,8.7,19.7
80,DAL,2025-01-27,,WAS,"W, 130-108",79.6,5.0,10.9,10.8,54.8,5.0,6.4,9.2
81,GSW,2024-12-15,,DAL,"L, 133-143",79.6,7.9,4.3,8.5,69.2,7.9,10.2,14.0
82,TOR,2024-12-26,@,MEM,"L, 126-155",79.6,7.0,4.7,11.5,62.1,7.0,12.3,12.9
83,DET,2025-01-11,,TOR,"W, 123-114",79.5,8.0,9.3,15.4,67.5,12.0,5.9,10.4
84,MIL,2024-12-21,,WAS,"W, 112-101",79.5,12.1,5.1,11.5,55.6,7.1,8.0,17.8
85,MIN,2025-02-28,@,UTA,"L, 116-117",79.5,16.8,7.0,6.1,74.5,3.0,8.2,16.9
86,SAS,2024-11-07,,POR,"W, 118-105",79.5,9.6,7.4,15.1,56.1,7.5,7.0,12.8
87,TOR,2025-04-01,@,CHI,"L, 118-137",79.5,6.9,5.6,10.5,72.0,9.9,3.8,10.7
88,CHI,2024-12-30,@,CHO,"W, 115-108 (OT)",79.5,9.7,6.9,11.5,54.8,7.0,13.6,11.3
89,DET,2025-03-01,,BRK,"W, 115-94",79.5,4.8,26.8,24.2,65.5,11.5,18.2,11.3
90,MIA,2025-03-03,,WAS,"W, 106-90",79.5,10.3,8.2,11.8,71.0,8.3,0.0,12.2
91,MIN,2024-12-23,@,ATL,"L, 104-117",79.5,12.1,8.1,17.8,69.2,15.1,12.5,21.4
92,BRK,2025-03-11,@,CLE,"L, 104-109",79.5,9.3,6.4,14.3,59.0,7.2,10.0,13.0
93,TOR,2025-02-07,@,OKC,"L, 109-121",79.5,9.5,11.3,10.8,60.5,10.5,14.0,10.9
94,UTA,2025-02-03,,IND,"L, 111-112",79.5,4.9,8.2,15.4,74.4,12.7,18.5,8.3
95,DET,2024-11-25,,TOR,"W, 102-100",79.4,4.3,10.1,13.5,63.4,7.6,12.8,8.4
96,DEN,2025-03-28,,UTA,"W, 129-93",79.2,11.7,24.5,15.9,63.6,9.7,0.0,14.8
97,GSW,2024-10-23,@,POR,"W, 140-104",79.2,12.1,8.6,14.5,58.3,9.3,8.9,14.6
98,SAS,2024-11-13,,WAS,"W, 139-130",79.2,6.7,13.7,7.8,55.1,4.8,10.4,15.0
99,MIA,2025-01-02,,IND,"L, 115-128",79.1,6.3,10.7,16.0,68.6,9.4,8.2,7.2
100,MIN,2024-11-01,,DEN,"W, 119-116",79.1,8.1,15.0,15.8,73.2,11.2,4.9,12.5
101,TOR,2025-03-26,@,BRK,"W, 116-86",79.1,4.9,6.5,9.7,51.6,5.8,13.0,17.3
102,TOR,2024-11-29,@,MIA,"L, 111-121",79.1,4.1,7.5,17.8,74.4,10.3,0.0,9.0
103,ATL,2025-01-04,@,LAC,"L, 105-131",78.9,9.9,6.7,19.4,67.9,13.6,7.1,14.1
104,DEN,2025-03-07,,PHO,"W, 149-141 (OT)",78.9,7.5,5.7,7.9,70.6,5.7,3.5,11.1
105,GSW,2025-03-20,,TOR,"W, 117-114",78.9,12.7,9.6,12.8,72.7,6.8,9.3,21.0
106,BRK,2025-04-03,,MIN,"L, 90-105",78.9,11.9,0.0,11.7,69.2,6.5,18.9,17.1
107,ORL,2025-01-19,,DEN,"L, 100-113",78.9,15.5,11.5,6.0,60.0,6.2,13.1,18.8
108,PHO,2025-01-04,@,IND,"L, 108-126",78.9,3.1,12.5,13.0,76.1,7.3,8.3,7.1
109,MIL,2025-01-06,@,TOR,"W, 128-104",78.7,6.9,14.3,19.2,65.9,10.8,10.5,13.0
110,MIN,2025-01-11,,MEM,"L, 125-127",78.7,6.8,7.5,17.2,52.1,12.7,7.3,10.0
111,PHI,2025-02-04,,DAL,"W, 118-116",78.7,5.3,7.7,12.1,60.0,8.5,7.5,10.8
112,DEN,2025-01-03,,SAS,"L, 110-113",78.6,7.0,11.1,7.1,67.4,4.0,5.2,11.0
113,SAS,2024-12-25,@,NYK,"L, 114-117",78.6,3.2,9.8,14.2,57.8,7.4,6.7,4.5
114,TOR,2024-12-22,,HOU,"L, 110-114",78.6,9.6,4.9,17.7,45.0,11.5,12.2,16.9
115,CHO,2025-03-21,@,OKC,"L, 106-141",78.4,6.3,7.3,15.7,53.7,10.5,17.9,8.1
116,LAL,2025-02-19,,CHO,"L, 97-100",78.4,6.9,10.5,15.9,60.6,11.8,10.3,16.2
117,LAL,2024-12-04,@,MIA,"L, 93-134",78.4,9.4,9.3,11.9,80.8,11.5,7.6,14.6
118,ATL,2025-02-12,@,NYK,"L, 148-149 (OT)",78.2,10.3,14.7,10.0,51.9,5.2,6.9,14.0
119,GSW,2025-03-18,,MIL,"W, 104-93",78.1,7.3,14.6,17.7,61.3,9.4,12.1,9.9
120,UTA,2025-03-23,,CLE,"L, 91-120",78.1,4.0,10.4,17.8,63.6,8.9,17.9,6.0
121,BOS,2025-01-29,,CHI,"W, 122-100",78.0,9.0,7.0,8.3,75.7,3.0,16.3,13.4
122,GSW,2025-01-09,@,DET,"W, 107-104",78.0,9.3,14.9,13.5,64.1,7.2,16.3,13.9
123,GSW,2024-10-30,,NOP,"W, 104-89",78.0,5.5,16.7,13.1,72.7,7.7,12.2,13.2
124,PHO,2025-01-06,@,PHI,"W, 109-99",78.0,7.4,8.5,11.8,58.8,6.3,8.0,9.2
125,SAS,2024-11-21,,UTA,"W, 126-118",78.0,7.5,17.0,9.2,53.7,3.7,12.5,11.3
126,NYK,2024-12-19,@,MIN,"W, 133-107",78.0,9.9,4.3,12.6,70.7,9.9,9.6,12.1
127,DEN,2024-11-10,,DAL,"W, 122-120",77.8,6.2,8.8,9.1,60.4,7.3,8.3,9.2
128,GSW,2025-03-13,,SAC,"W, 130-104",77.8,8.3,11.9,15.3,67.6,7.2,10.3,14.5
129,GSW,2025-03-10,,POR,"W, 130-120",77.8,16.2,10.2,16.0,70.5,9.1,11.4,16.2
130,GSW,2024-11-10,@,OKC,"W, 127-116",77.8,8.1,4.9,13.1,59.5,4.1,13.0,9.4
131,NOP,2024-11-25,@,IND,"L, 110-114",77.8,8.8,6.8,13.6,69.8,9.8,3.7,13.3
132,TOR,2025-01-15,,BOS,"W, 110-97",77.8,4.3,8.9,10.3,66.7,6.5,14.5,8.3
133,MIN,2025-01-30,@,UTA,"W, 138-113",77.6,5.2,20.9,12.3,53.8,6.3,9.1,14.6
134,SAC,2025-02-13,@,NOP,"L, 133-140 (OT)",77.6,7.3,2.4,11.0,69.6,10.0,10.8,8.5
135,GSW,2025-03-06,@,BRK,"W, 121-119",77.5,3.1,7.4,15.0,68.2,7.3,10.0,11.2
136,MIA,2024-12-02,@,BOS,"L, 89-108",77.4,6.4,2.9,9.3,64.1,5.3,17.3,15.2
137,GSW,2025-01-02,,PHI,"W, 139-105",77.4,5.0,16.0,11.4,50.0,11.1,12.5,10.3
138,ATL,2024-12-28,,MIA,"W, 120-110",77.3,7.2,4.1,12.0,57.5,9.2,8.2,8.4
139,IND,2025-03-04,,HOU,"W, 115-102",77.3,9.4,8.8,12.6,55.0,6.2,0.0,11.3
140,LAL,2025-03-17,,SAS,"W, 125-109",77.3,13.0,8.0,8.2,73.2,6.0,11.9,15.3
141,MIA,2025-01-01,,NOP,"W, 119-108",77.3,6.3,2.2,12.4,62.5,4.2,14.3,10.9
142,PHI,2025-01-21,@,DEN,"L, 109-144",77.3,7.3,7.4,9.1,75.0,7.3,6.9,12.7
143,PHO,2024-11-15,@,OKC,"L, 83-99",77.3,6.3,7.8,15.5,58.3,6.3,28.9,10.0
144,ATL,2024-11-20,@,GSW,"L, 97-120",77.1,8.1,8.2,12.8,76.6,9.0,11.7,12.1
145,BOS,2024-11-10,@,MIL,"W, 113-107",77.1,5.1,4.1,10.9,53.8,9.2,22.2,12.6
146,DAL,2025-01-12,,DEN,"L, 101-112",77.1,7.1,8.1,11.1,50.0,6.1,9.8,12.0
147,TOR,2025-03-23,,SAS,"L, 89-123",77.1,8.1,7.0,18.4,65.9,15.2,11.3,12.3
148,OKC,2025-01-19,,BRK,"W, 127-101",77.1,8.3,11.4,11.5,67.6,5.2,6.8,15.1
149,SAS,2024-12-31,,LAC,"W, 122-86",77.1,10.3,15.2,7.8,56.7,7.2,5.2,12.9
150,ATL,2024-11-17,@,POR,"L, 110-114",76.9,9.8,12.3,22.0,70.5,15.7,18.9,16.2
151,BOS,2025-03-31,@,MEM,"W, 117-103",76.9,3.9,6.3,11.1,51.2,8.7,8.8,10.0
152,GSW,2025-04-03,@,LAL,"W, 123-116",76.9,5.5,5.1,12.0,59.0,5.5,7.5,9.4
153,IND,2024-12-19,@,PHO,"W, 120-111",76.9,8.9,13.5,8.1,70.0,5.9,8.3,14.5
154,NYK,2025-01-25,,SAC,"W, 143-120",76.9,8.7,6.8,8.7,71.7,4.8,7.2,10.5
155,SAS,2024-10-24,@,DAL,"L, 109-120",76.9,5.9,8.6,16.4,64.3,8.9,10.0,8.2
156,UTA,2025-01-28,@,GSW,"L, 103-114",76.9,4.2,14.0,14.8,80.6,8.5,8.0,7.9
