Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
BRK,ATL,2024-10-23,L,A,116,120,240,40,91,0.44,23,48,0.479,17,43,0.395,19,25,0.76,39,80,0.488,30,52,0.577,9,28,0.321,33,46,0.717,12,31,43,12,33,45,21,8,6,19,32,25,12,9,16,20,111.8,115.6,0.275,0.473,0.569,0.533,0.209,115.6,111.8,0.575,0.35,0.599,0.544,0.413,26.7,72.1,51.1,27.9,73.3,51.1,52.5,7.7,11.5,15.7,64.1,11.6,18.8,13.8,5.0,5.0,103.79504,103.79504,103.79504
BRK,ORL,2024-10-25,L,A,101,116,240,35,83,0.422,21,46,0.457,14,37,0.378,17,21,0.81,39,75,0.52,24,45,0.533,15,30,0.5,23,33,0.697,8,29,37,5,34,39,22,7,3,19,31,28,10,7,13,19,103.0,118.3,0.253,0.446,0.547,0.506,0.205,118.3,103.0,0.44,0.4,0.648,0.62,0.307,19.0,85.3,51.3,14.7,81.0,51.3,62.9,7.1,6.7,17.1,71.8,10.2,15.2,12.7,2.0,2.0,98.08958000000001,98.08958000000001,98.08958000000001
BRK,MIL,2024-10-27,W,H,115,102,240,39,91,0.429,23,46,0.5,16,45,0.356,21,23,0.913,33,74,0.446,23,41,0.561,10,33,0.303,26,31,0.839,12,35,47,7,36,43,23,9,3,12,26,20,7,3,18,17,117.7,104.4,0.253,0.495,0.569,0.516,0.231,104.4,117.7,0.419,0.446,0.582,0.514,0.351,25.0,83.3,47.8,16.7,75.0,47.8,59.0,9.2,7.3,10.6,60.6,7.2,6.5,17.0,2.0,2.0,97.68185500000001,97.68185500000001,97.68185500000001
BRK,DEN,2024-10-29,L,H,139,144,265,49,96,0.51,29,44,0.659,20,52,0.385,21,27,0.778,46,89,0.517,33,62,0.532,13,27,0.481,39,47,0.83,7,34,41,9,34,43,37,4,6,9,32,31,3,4,5,22,132.1,136.9,0.281,0.542,0.644,0.615,0.219,136.9,132.1,0.528,0.303,0.656,0.59,0.438,17.1,79.1,51.2,20.9,82.9,51.2,75.5,3.8,9.7,7.7,67.4,2.9,9.1,4.4,2.0,1.0,105.19216,95.26837132075472,95.26837132075472
BRK,MEM,2024-10-30,W,A,119,106,240,41,80,0.513,26,39,0.667,15,41,0.366,22,25,0.88,38,81,0.469,30,54,0.556,8,27,0.296,22,29,0.759,8,26,34,12,26,38,27,10,2,19,25,27,9,3,22,21,119.4,106.4,0.313,0.513,0.654,0.606,0.275,106.4,119.4,0.358,0.333,0.565,0.519,0.272,23.5,68.4,52.8,31.6,76.5,52.8,65.9,10.0,3.7,17.3,71.1,9.0,7.7,19.0,1.0,2.0,99.627145,99.627145,99.627145
BRK,CHI,2024-11-01,W,H,120,112,240,49,94,0.521,38,58,0.655,11,36,0.306,11,13,0.846,38,88,0.432,21,44,0.477,17,44,0.386,19,24,0.792,9,37,46,10,34,44,34,11,6,11,20,24,5,3,16,15,118.6,110.7,0.138,0.383,0.602,0.58,0.117,110.7,118.6,0.273,0.5,0.568,0.528,0.216,20.9,78.7,48.9,21.3,79.1,48.9,69.4,10.9,13.6,9.9,63.2,4.9,5.2,14.0,2.0,2.0,101.170575,101.170575,101.170575
BRK,DET,2024-11-03,L,H,92,106,240,32,71,0.451,23,40,0.575,9,31,0.29,19,31,0.613,37,77,0.481,26,41,0.634,11,36,0.306,21,26,0.808,4,23,27,9,38,47,23,9,3,14,24,25,4,6,21,25,97.0,111.7,0.437,0.437,0.543,0.514,0.268,111.7,97.0,0.338,0.468,0.599,0.552,0.273,9.5,71.9,63.5,28.1,90.5,63.5,71.9,9.5,7.3,14.2,67.6,4.2,15.0,19.2,2.0,2.0,94.904425,94.904425,94.904425
BRK,MEM,2024-11-04,W,H,106,104,240,40,84,0.476,27,48,0.563,13,36,0.361,13,18,0.722,43,91,0.473,35,61,0.574,8,30,0.267,10,13,0.769,12,25,37,13,31,44,28,7,1,14,22,29,5,8,15,16,114.2,112.0,0.214,0.429,0.577,0.554,0.155,112.0,114.2,0.143,0.33,0.538,0.516,0.11,27.9,65.8,54.3,34.2,72.1,54.3,70.0,7.5,1.6,13.2,67.4,5.4,16.7,13.4,1.0,2.0,92.84978000000001,92.84978000000001,92.84978000000001
BRK,BOS,2024-11-08,L,A,104,108,265,41,100,0.41,31,62,0.5,10,38,0.263,12,15,0.8,39,90,0.433,25,37,0.676,14,53,0.264,16,19,0.842,12,39,51,4,35,39,24,6,3,13,22,23,7,9,13,15,99.8,103.6,0.15,0.38,0.488,0.46,0.12,103.6,99.8,0.211,0.589,0.549,0.511,0.178,25.5,90.7,43.3,9.3,74.5,43.3,58.5,5.8,8.1,10.9,59.0,6.7,14.5,11.7,4.0,2.0,104.21341999999999,94.38196528301886,94.38196528301886
BRK,CLE,2024-11-09,L,A,100,105,240,34,76,0.447,19,33,0.576,15,43,0.349,17,18,0.944,40,74,0.541,30,46,0.652,10,28,0.357,15,19,0.789,10,26,36,4,29,33,21,4,2,20,14,24,12,5,16,18,108.4,113.9,0.237,0.566,0.596,0.546,0.224,113.9,108.4,0.257,0.378,0.637,0.608,0.203,25.6,86.7,47.8,13.3,74.4,47.8,61.8,4.3,4.3,19.2,60.0,13.0,15.2,16.3,1.0,1.0,92.22841,92.22841,92.22841
