Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
DAL,SAS,2024-10-24,W,H,120,109,240,42,102,0.412,23,58,0.397,19,44,0.432,17,23,0.739,39,86,0.453,27,50,0.54,12,36,0.333,19,24,0.792,17,33,50,12,40,52,27,9,5,10,21,30,6,5,19,18,118.1,107.3,0.225,0.431,0.535,0.505,0.167,107.3,118.1,0.279,0.419,0.564,0.523,0.221,29.8,73.3,51.0,26.7,70.2,51.0,64.3,8.9,10.0,8.2,76.9,5.9,8.6,16.4,5.0,5.0,101.620485,101.620485,101.620485
DAL,PHO,2024-10-26,L,A,102,114,240,37,93,0.398,24,52,0.462,13,41,0.317,15,18,0.833,36,80,0.45,22,41,0.537,14,39,0.359,28,37,0.757,12,34,46,7,40,47,22,6,2,9,28,26,3,4,11,17,105.6,118.1,0.194,0.441,0.505,0.468,0.161,118.1,105.6,0.463,0.488,0.592,0.538,0.35,23.1,82.9,50.5,17.1,76.9,50.5,59.5,6.2,4.9,8.2,72.2,3.1,7.7,10.3,2.0,1.0,96.5539,96.5539,96.5539
DAL,UTA,2024-10-28,W,H,110,102,240,43,95,0.453,32,56,0.571,11,39,0.282,13,17,0.765,34,92,0.37,24,57,0.421,10,35,0.286,24,29,0.828,13,37,50,15,35,50,27,9,12,14,23,24,7,5,15,17,109.2,101.3,0.179,0.411,0.537,0.511,0.137,101.3,109.2,0.315,0.38,0.487,0.424,0.261,27.1,71.2,50.0,28.8,72.9,50.0,62.8,8.9,21.1,12.0,70.6,7.0,8.9,12.5,2.0,3.0,100.72414,100.72414,100.72414
DAL,MIN,2024-10-29,W,A,120,114,240,45,93,0.484,29,54,0.537,16,39,0.41,14,18,0.778,39,77,0.506,20,38,0.526,19,39,0.487,17,26,0.654,12,28,40,11,31,42,25,12,2,10,21,33,5,2,20,20,125.1,118.9,0.194,0.419,0.595,0.57,0.151,118.9,125.1,0.338,0.506,0.645,0.63,0.221,27.9,71.8,51.2,28.2,72.1,51.2,55.6,12.5,5.3,9.0,84.6,5.2,3.7,18.4,1.0,3.0,95.90222,95.90222,95.90222
DAL,HOU,2024-10-31,L,H,102,108,240,39,85,0.459,29,55,0.527,10,30,0.333,14,20,0.7,40,97,0.412,32,63,0.508,8,34,0.235,20,27,0.741,10,27,37,18,32,50,21,6,7,10,27,21,4,4,10,20,110.5,117.0,0.235,0.353,0.544,0.518,0.165,117.0,110.5,0.278,0.351,0.496,0.454,0.206,23.8,60.0,57.5,40.0,76.2,57.5,53.8,6.5,11.1,9.6,52.5,4.3,7.3,8.4,2.0,3.0,92.34482,92.34482,92.34482
DAL,ORL,2024-11-03,W,H,108,85,240,42,85,0.494,32,53,0.604,10,32,0.313,14,23,0.609,31,93,0.333,23,52,0.442,8,41,0.195,15,19,0.789,12,41,53,13,30,43,25,8,5,19,22,19,8,4,15,22,108.2,85.1,0.271,0.376,0.568,0.553,0.165,85.1,108.2,0.204,0.441,0.419,0.376,0.161,28.6,75.9,44.8,24.1,71.4,44.8,59.5,8.0,9.6,16.6,61.3,8.0,7.5,12.9,3.0,2.0,99.82659999999998,99.82659999999998,99.82659999999998
DAL,IND,2024-11-04,L,H,127,134,240,46,89,0.517,31,53,0.585,15,36,0.417,20,25,0.8,54,95,0.568,41,63,0.651,13,32,0.406,13,20,0.65,5,33,38,7,39,46,29,4,3,9,18,30,5,3,10,16,122.1,128.8,0.281,0.404,0.635,0.601,0.225,128.8,122.1,0.211,0.337,0.645,0.637,0.137,11.4,82.5,54.8,17.5,88.6,54.8,63.0,3.8,4.8,8.3,55.6,4.8,5.7,8.8,1.0,3.0,104.038805,104.038805,104.038805
DAL,CHI,2024-11-06,W,H,119,99,240,45,93,0.484,33,55,0.6,12,38,0.316,17,21,0.81,36,86,0.419,24,44,0.545,12,42,0.286,15,23,0.652,9,38,47,14,37,51,33,11,4,15,19,25,8,2,23,17,113.3,94.2,0.226,0.409,0.582,0.548,0.183,94.2,113.3,0.267,0.488,0.515,0.488,0.174,19.6,73.1,52.0,26.9,80.4,52.0,73.3,10.5,9.1,12.8,69.4,7.6,3.6,19.3,2.0,2.0,105.07097000000002,105.07097000000002,105.07097000000002
DAL,PHO,2024-11-08,L,H,113,114,240,41,80,0.513,30,47,0.638,11,33,0.333,20,22,0.909,43,86,0.5,28,47,0.596,15,39,0.385,13,18,0.722,8,31,39,11,26,37,18,5,1,11,22,26,6,2,9,18,125.5,126.6,0.275,0.413,0.63,0.581,0.25,126.6,125.5,0.209,0.453,0.607,0.587,0.151,23.5,73.8,48.7,26.2,76.5,48.7,43.9,5.6,2.1,10.9,60.5,6.7,4.3,8.7,2.0,2.0,90.06941499999999,90.06941499999999,90.06941499999999
DAL,DEN,2024-11-10,L,A,120,122,240,48,90,0.533,38,57,0.667,10,33,0.303,14,19,0.737,45,89,0.506,31,60,0.517,14,29,0.483,18,26,0.692,10,32,42,13,32,45,29,7,5,10,17,35,6,5,10,16,124.5,126.6,0.211,0.367,0.61,0.589,0.156,126.6,124.5,0.292,0.326,0.607,0.584,0.202,23.8,71.1,51.7,28.9,76.2,51.7,60.4,7.3,8.3,9.2,77.8,6.2,8.8,9.1,2.0,2.0,96.34908,96.34908,96.34908
