Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
DEN,OKC,2024-10-24,L,H,87,102,240,35,98,0.357,28,60,0.467,7,38,0.184,10,14,0.714,43,101,0.426,35,65,0.538,8,36,0.222,8,12,0.667,17,40,57,13,36,49,29,11,7,16,12,23,9,13,12,15,86.8,101.7,0.143,0.388,0.418,0.393,0.102,101.7,86.8,0.119,0.356,0.48,0.465,0.079,32.1,75.5,46.2,24.5,67.9,46.2,82.9,11.0,10.8,13.3,53.5,9.0,21.7,10.1,5.0,5.0,100.278345,100.278345,100.278345
DEN,LAC,2024-10-26,L,H,104,109,240,35,87,0.402,21,52,0.404,14,35,0.4,20,24,0.833,40,82,0.488,28,49,0.571,12,33,0.364,17,21,0.81,10,27,37,11,33,44,20,13,4,10,22,30,4,5,17,24,110.6,115.9,0.276,0.402,0.533,0.483,0.23,115.9,110.6,0.256,0.402,0.597,0.561,0.207,23.3,71.1,54.3,28.9,76.7,54.3,57.1,13.8,8.2,9.3,75.0,4.3,9.6,15.7,2.0,3.0,94.02411,94.02411,94.02411
DEN,TOR,2024-10-28,W,A,127,125,265,47,96,0.49,38,76,0.5,9,20,0.45,24,30,0.8,49,109,0.45,39,74,0.527,10,35,0.286,17,21,0.81,15,37,52,18,36,54,29,6,6,16,20,30,7,7,15,27,115.5,113.7,0.313,0.208,0.582,0.536,0.25,113.7,115.5,0.193,0.321,0.529,0.495,0.156,29.4,67.3,50.9,32.7,70.6,50.9,61.7,5.5,8.1,12.8,61.2,6.4,9.2,11.3,2.0,2.0,109.99609,99.61910037735849,99.61910037735849
DEN,BRK,2024-10-29,W,A,144,139,265,46,89,0.517,33,62,0.532,13,27,0.481,39,47,0.83,49,96,0.51,29,44,0.659,20,52,0.385,21,27,0.778,9,34,43,7,34,41,31,3,4,5,22,37,4,6,9,32,136.9,132.1,0.528,0.303,0.656,0.59,0.438,132.1,136.9,0.281,0.542,0.644,0.615,0.219,20.9,82.9,48.8,17.1,79.1,48.8,67.4,2.9,9.1,4.4,75.5,3.8,9.7,7.7,1.0,2.0,105.19216,95.26837132075472,95.26837132075472
DEN,MIN,2024-11-01,L,A,116,119,240,41,92,0.446,30,60,0.5,11,32,0.344,23,29,0.793,43,83,0.518,25,41,0.61,18,42,0.429,15,18,0.833,17,29,46,8,30,38,30,11,2,15,18,34,8,9,17,22,117.9,120.9,0.315,0.348,0.554,0.505,0.25,120.9,117.9,0.217,0.506,0.654,0.627,0.181,36.2,78.4,45.2,21.6,63.8,45.2,73.2,11.2,4.9,12.5,79.1,8.1,15.0,15.8,3.0,3.0,98.40043,98.40043,98.40043
DEN,UTA,2024-11-02,W,H,129,103,240,48,99,0.485,32,67,0.478,16,32,0.5,17,23,0.739,32,77,0.416,19,35,0.543,13,42,0.31,26,31,0.839,19,33,52,8,31,39,33,14,1,18,25,24,7,8,24,22,123.2,98.3,0.232,0.323,0.591,0.566,0.172,98.3,123.2,0.403,0.545,0.568,0.5,0.338,38.0,80.5,42.9,19.5,62.0,42.9,68.8,13.4,2.9,14.2,75.0,6.7,11.9,20.9,1.0,2.0,104.737075,104.737075,104.737075
DEN,TOR,2024-11-04,W,H,121,119,240,41,83,0.494,31,52,0.596,10,31,0.323,29,38,0.763,47,103,0.456,34,64,0.531,13,39,0.333,12,18,0.667,14,30,44,14,27,41,29,9,10,17,21,38,12,3,14,27,118.1,116.1,0.458,0.373,0.607,0.554,0.349,116.1,118.1,0.175,0.379,0.536,0.519,0.117,34.1,68.2,48.2,31.8,65.9,48.2,70.7,8.8,15.6,14.6,80.9,11.7,5.8,11.2,2.0,2.0,102.51045,102.51045,102.51045
DEN,OKC,2024-11-06,W,H,124,122,240,42,89,0.472,26,51,0.51,16,38,0.421,24,33,0.727,44,100,0.44,28,60,0.467,16,40,0.4,18,23,0.783,13,42,55,13,34,47,34,8,6,18,22,29,15,6,14,28,115.2,113.3,0.371,0.427,0.599,0.562,0.27,113.3,115.2,0.23,0.4,0.554,0.52,0.18,27.7,76.4,46.1,23.6,72.3,46.1,81.0,7.4,10.0,14.8,65.9,13.9,11.8,11.3,2.0,2.0,107.664275,107.664275,107.664275
DEN,MIA,2024-11-08,W,H,135,122,240,50,81,0.617,32,46,0.696,18,35,0.514,17,19,0.895,46,94,0.489,26,51,0.51,20,43,0.465,10,13,0.769,6,33,39,9,24,33,37,5,5,18,13,33,11,1,14,19,133.6,120.7,0.235,0.432,0.755,0.728,0.21,120.7,133.6,0.138,0.457,0.612,0.596,0.106,20.0,78.6,45.8,21.4,80.0,45.8,74.0,4.9,9.8,16.8,71.7,10.9,2.2,12.3,2.0,2.0,101.08748,101.08748,101.08748
DEN,DAL,2024-11-10,W,H,122,120,240,45,89,0.506,31,60,0.517,14,29,0.483,18,26,0.692,48,90,0.533,38,57,0.667,10,33,0.303,14,19,0.737,13,32,45,10,32,42,35,6,5,10,16,29,7,5,10,17,126.6,124.5,0.292,0.326,0.607,0.584,0.202,124.5,126.6,0.211,0.367,0.61,0.589,0.156,28.9,76.2,48.3,23.8,71.1,48.3,77.8,6.2,8.8,9.1,60.4,7.3,8.3,9.2,2.0,2.0,96.34908,96.34908,96.34908
