Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
HOU,CHO,2024-10-23,L,H,105,110,240,38,103,0.369,25,60,0.417,13,43,0.302,16,20,0.8,38,85,0.447,23,46,0.5,15,39,0.385,19,24,0.792,16,27,43,15,41,56,19,8,4,8,18,20,6,10,17,21,108.7,113.9,0.194,0.417,0.47,0.432,0.155,113.9,108.7,0.282,0.459,0.576,0.535,0.224,28.1,64.3,56.6,35.7,71.9,56.6,50.0,8.3,8.7,6.7,52.6,6.2,16.7,15.1,5.0,5.0,96.55145999999999,96.55145999999999,96.55145999999999
HOU,MEM,2024-10-25,W,H,128,108,240,43,98,0.439,26,55,0.473,17,43,0.395,25,36,0.694,38,91,0.418,28,63,0.444,10,28,0.357,22,36,0.611,23,41,64,14,29,43,20,10,4,19,32,24,8,8,19,25,118.9,100.3,0.367,0.439,0.562,0.526,0.255,100.3,118.9,0.396,0.308,0.505,0.473,0.242,44.2,74.5,40.2,25.5,55.8,40.2,46.5,9.3,6.3,14.3,63.2,7.4,14.5,15.1,2.0,2.0,107.663625,107.663625,107.663625
HOU,SAS,2024-10-26,L,A,106,109,240,38,92,0.413,25,51,0.49,13,41,0.317,17,21,0.81,39,79,0.494,31,59,0.525,8,20,0.4,23,28,0.821,8,26,34,10,39,49,21,10,3,11,24,23,6,7,17,18,107.7,110.7,0.228,0.446,0.524,0.484,0.185,110.7,107.7,0.354,0.253,0.597,0.544,0.291,17.0,72.2,59.0,27.8,83.0,59.0,55.3,10.2,5.1,9.8,59.0,6.1,13.7,15.7,1.0,2.0,98.43950000000001,98.43950000000001,98.43950000000001
HOU,SAS,2024-10-28,W,A,106,101,240,35,85,0.412,20,48,0.417,15,37,0.405,21,24,0.875,37,87,0.425,27,54,0.5,10,33,0.303,17,21,0.81,13,30,43,17,32,49,20,6,2,12,23,22,6,6,17,21,115.1,109.7,0.282,0.435,0.555,0.5,0.247,109.7,115.1,0.241,0.379,0.525,0.483,0.195,28.9,63.8,53.3,36.2,71.1,53.3,57.1,6.5,3.7,11.2,59.5,6.5,12.5,15.0,2.0,2.0,92.08574999999999,92.08574999999999,92.08574999999999
HOU,DAL,2024-10-31,W,A,108,102,240,40,97,0.412,32,63,0.508,8,34,0.235,20,27,0.741,39,85,0.459,29,55,0.527,10,30,0.333,14,20,0.7,18,32,50,10,27,37,21,4,4,10,20,21,6,7,10,27,117.0,110.5,0.278,0.351,0.496,0.454,0.206,110.5,117.0,0.235,0.353,0.544,0.518,0.165,40.0,76.2,42.5,23.8,60.0,42.5,52.5,4.3,7.3,8.4,53.8,6.5,11.1,9.6,3.0,2.0,92.34482,92.34482,92.34482
HOU,GSW,2024-11-02,L,H,121,127,265,44,107,0.411,29,62,0.468,15,45,0.333,18,24,0.75,40,78,0.513,25,46,0.543,15,32,0.469,32,50,0.64,18,31,49,9,38,47,27,10,6,11,32,26,5,4,14,22,115.9,121.7,0.224,0.421,0.515,0.481,0.168,121.7,115.9,0.641,0.41,0.635,0.609,0.41,32.1,77.5,49.0,22.5,67.9,49.0,61.4,9.6,13.0,8.6,65.0,4.8,6.5,12.3,2.0,3.0,104.40644499999999,94.55678037735848,94.55678037735848
HOU,NYK,2024-11-04,W,H,109,97,240,43,88,0.489,35,55,0.636,8,33,0.242,15,18,0.833,34,88,0.386,23,60,0.383,11,28,0.393,18,21,0.857,11,39,50,13,26,39,21,4,6,11,20,20,6,4,10,18,118.6,105.5,0.205,0.375,0.568,0.534,0.17,105.5,118.6,0.239,0.318,0.499,0.449,0.205,29.7,75.0,43.8,25.0,70.3,43.8,48.8,4.4,10.0,10.3,58.8,6.5,7.3,9.3,2.0,3.0,91.927225,91.927225,91.927225
HOU,SAS,2024-11-06,W,H,127,100,240,54,96,0.563,44,69,0.638,10,27,0.37,9,15,0.6,37,83,0.446,23,47,0.489,14,36,0.389,12,16,0.75,11,34,45,8,33,41,28,10,5,12,13,20,6,6,20,13,125.3,98.6,0.156,0.281,0.619,0.615,0.094,98.6,125.3,0.193,0.434,0.555,0.53,0.145,25.0,81.0,47.7,19.0,75.0,47.7,51.9,9.9,10.6,10.5,54.1,5.9,8.7,18.2,2.0,2.0,101.4066,101.4066,101.4066
HOU,OKC,2024-11-08,L,A,107,126,240,39,90,0.433,28,60,0.467,11,30,0.367,18,26,0.692,46,90,0.511,32,53,0.604,14,37,0.378,20,23,0.87,14,34,48,7,34,41,19,7,3,17,18,24,9,8,11,23,105.1,123.7,0.289,0.333,0.527,0.494,0.2,123.7,105.1,0.256,0.411,0.629,0.589,0.222,29.2,82.9,46.1,17.1,70.8,46.1,48.7,6.9,5.7,14.4,52.2,8.8,13.3,9.9,2.0,2.0,101.80744000000001,101.80744000000001,101.80744000000001
HOU,DET,2024-11-10,W,A,101,99,240,38,93,0.409,31,59,0.525,7,34,0.206,18,24,0.75,36,84,0.429,25,50,0.5,11,34,0.324,16,23,0.696,17,36,53,11,35,46,19,10,5,12,21,21,6,6,18,21,103.8,101.8,0.258,0.366,0.488,0.446,0.194,101.8,103.8,0.274,0.405,0.526,0.494,0.19,32.7,76.6,46.5,23.4,67.3,46.5,50.0,10.3,10.0,10.4,58.3,6.2,10.2,16.1,2.0,2.0,97.26890499999999,97.26890499999999,97.26890499999999
HOU,WAS,2024-11-11,W,H,107,92,240,40,87,0.46,35,64,0.547,5,23,0.217,22,25,0.88,36,88,0.409,25,57,0.439,11,31,0.355,9,13,0.692,17,41,58,8,26,34,13,12,10,21,17,21,14,5,19,17,106.3,91.4,0.287,0.264,0.546,0.489,0.253,91.4,106.3,0.148,0.352,0.491,0.472,0.102,39.5,83.7,37.0,16.3,60.5,37.0,32.5,11.9,17.5,17.6,58.3,13.9,7.8,16.9,1.0,1.0,100.63306499999999,100.63306499999999,100.63306499999999
