Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
IND,DET,2024-10-23,W,A,115,109,240,42,83,0.506,33,52,0.635,9,31,0.29,22,25,0.88,38,88,0.432,29,55,0.527,9,33,0.273,24,28,0.857,7,32,39,12,26,38,32,10,8,15,23,22,6,2,14,21,116.6,110.5,0.301,0.373,0.612,0.56,0.265,110.5,116.6,0.318,0.375,0.543,0.483,0.273,21.2,72.7,49.4,27.3,78.8,49.4,76.2,10.1,14.5,13.8,57.9,6.1,3.8,12.2,5.0,5.0,98.64703,98.64703,98.64703
IND,NYK,2024-10-25,L,A,98,123,240,41,83,0.494,38,53,0.717,3,30,0.1,13,20,0.65,44,84,0.524,32,57,0.561,12,27,0.444,23,29,0.793,9,24,33,11,32,43,28,8,6,16,24,19,5,4,12,18,102.5,128.6,0.241,0.361,0.534,0.512,0.157,128.6,102.5,0.345,0.321,0.636,0.595,0.274,22.0,68.6,56.6,31.4,78.0,56.6,68.3,8.4,10.5,14.8,43.2,5.2,7.5,11.0,2.0,3.0,95.637,95.637,95.637
IND,PHI,2024-10-27,L,H,114,118,265,39,84,0.464,26,52,0.5,13,32,0.406,23,34,0.676,42,98,0.429,31,56,0.554,11,42,0.262,23,31,0.742,7,30,37,20,34,54,28,8,4,20,26,15,9,4,20,26,105.6,109.4,0.405,0.381,0.576,0.542,0.274,109.4,105.6,0.316,0.429,0.528,0.485,0.235,17.1,60.0,59.3,40.0,82.9,59.3,71.8,7.4,7.1,16.8,35.7,8.3,7.7,15.2,2.0,2.0,107.899175,97.72000754716981,97.72000754716981
IND,ORL,2024-10-28,L,A,115,119,240,41,88,0.466,28,59,0.475,13,29,0.448,20,30,0.667,39,83,0.47,26,42,0.619,13,41,0.317,28,38,0.737,15,29,44,11,35,46,25,7,4,13,28,26,7,6,15,25,116.1,120.1,0.341,0.33,0.568,0.54,0.227,120.1,116.1,0.458,0.494,0.597,0.548,0.337,30.0,72.5,51.1,27.5,70.0,51.1,61.0,7.1,9.5,11.4,66.7,7.1,10.2,13.1,1.0,2.0,99.083,99.083,99.083
IND,BOS,2024-10-30,W,H,135,132,265,50,104,0.481,35,66,0.53,15,38,0.395,20,24,0.833,44,109,0.404,25,52,0.481,19,57,0.333,25,31,0.806,16,41,57,18,33,51,33,10,5,19,26,23,11,5,14,19,118.5,115.8,0.231,0.365,0.589,0.553,0.192,115.8,118.5,0.284,0.523,0.538,0.491,0.229,32.7,69.5,47.2,30.5,67.3,47.2,66.0,8.8,9.6,14.2,52.3,9.7,7.6,10.2,2.0,2.0,113.946595,103.1969162264151,103.1969162264151
IND,NOP,2024-11-01,L,A,118,125,240,46,89,0.517,30,51,0.588,16,38,0.421,10,13,0.769,49,101,0.485,37,70,0.529,12,31,0.387,15,19,0.789,6,33,39,15,31,46,35,3,3,14,21,28,8,4,8,15,118.0,125.0,0.146,0.427,0.623,0.607,0.112,125.0,118.0,0.188,0.307,0.572,0.545,0.149,16.2,68.8,54.1,31.3,83.8,54.1,76.1,3.0,4.3,12.9,57.1,8.0,7.8,6.8,2.0,2.0,99.96553,99.96553,99.96553
IND,DAL,2024-11-04,W,A,134,127,240,54,95,0.568,41,63,0.651,13,32,0.406,13,20,0.65,46,89,0.517,31,53,0.585,15,36,0.417,20,25,0.8,7,39,46,5,33,38,30,5,3,10,16,29,4,3,9,18,128.8,122.1,0.211,0.337,0.645,0.637,0.137,122.1,128.8,0.281,0.404,0.635,0.601,0.225,17.5,88.6,45.2,11.4,82.5,45.2,55.6,4.8,5.7,8.8,63.0,3.8,4.8,8.3,3.0,1.0,104.038805,104.038805,104.038805
IND,ORL,2024-11-06,W,H,118,111,240,41,76,0.539,29,50,0.58,12,26,0.462,24,26,0.923,42,82,0.512,35,57,0.614,7,25,0.28,20,26,0.769,4,32,36,10,28,38,21,7,3,11,24,26,6,5,16,22,123.6,116.3,0.342,0.342,0.675,0.618,0.316,116.3,123.6,0.317,0.305,0.594,0.555,0.244,12.5,76.2,51.4,23.8,87.5,51.4,51.2,7.3,5.3,11.2,61.9,6.3,10.0,14.6,2.0,2.0,95.46617499999999,95.46617499999999,95.46617499999999
IND,CHO,2024-11-08,L,A,83,103,240,33,83,0.398,24,54,0.444,9,29,0.31,8,14,0.571,38,90,0.422,21,40,0.525,17,50,0.34,10,12,0.833,7,30,37,13,43,56,24,10,4,14,16,23,6,7,15,16,88.3,109.5,0.169,0.349,0.465,0.452,0.096,109.5,88.3,0.133,0.556,0.541,0.517,0.111,14.0,69.8,60.2,30.2,86.0,60.2,72.7,10.6,10.0,13.6,60.5,6.4,13.0,13.6,2.0,2.0,94.05336,94.05336,94.05336
IND,NYK,2024-11-10,W,H,132,121,240,45,88,0.511,24,42,0.571,21,46,0.457,21,25,0.84,46,83,0.554,39,58,0.672,7,25,0.28,22,27,0.815,5,27,32,8,31,39,27,6,4,10,22,23,5,3,14,20,131.8,120.8,0.284,0.523,0.667,0.631,0.239,120.8,131.8,0.325,0.301,0.638,0.596,0.265,13.9,77.1,54.9,22.9,86.1,54.9,60.0,6.0,6.9,9.2,50.0,5.0,7.1,12.9,2.0,2.0,100.16925,100.16925,100.16925
