Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
LAL,MIN,2024-10-22,W,H,110,103,240,42,95,0.442,37,65,0.569,5,30,0.167,21,25,0.84,35,85,0.412,22,44,0.5,13,41,0.317,20,27,0.741,15,31,46,12,35,47,22,7,8,7,22,17,4,1,16,22,114.7,107.4,0.263,0.316,0.519,0.468,0.221,107.4,114.7,0.318,0.482,0.532,0.488,0.235,30.0,72.1,50.5,27.9,70.0,50.5,52.4,7.3,18.2,6.2,48.6,4.2,1.5,14.2,5.0,5.0,95.93025,95.93025,95.93025
LAL,PHO,2024-10-25,W,H,123,116,240,40,75,0.533,26,48,0.542,14,27,0.519,29,39,0.744,42,82,0.512,25,45,0.556,17,37,0.459,15,17,0.882,6,31,37,5,29,34,33,10,5,13,18,35,8,4,17,26,124.9,117.7,0.52,0.36,0.667,0.627,0.387,117.7,124.9,0.207,0.451,0.648,0.616,0.183,17.1,86.1,47.9,13.9,82.9,47.9,82.5,10.2,11.1,12.4,83.3,8.1,8.3,16.0,3.0,2.0,98.523425,98.523425,98.523425
LAL,SAC,2024-10-26,W,H,131,127,240,48,92,0.522,34,58,0.586,14,34,0.412,21,24,0.875,45,88,0.511,30,44,0.682,15,44,0.341,22,25,0.88,13,32,45,5,27,32,32,8,3,19,19,32,12,5,14,19,124.1,120.3,0.261,0.37,0.639,0.598,0.228,120.3,124.1,0.284,0.5,0.641,0.597,0.25,32.5,86.5,41.6,13.5,67.5,41.6,66.7,7.6,6.8,15.6,71.1,11.4,8.6,12.4,1.0,2.0,105.543825,105.543825,105.543825
LAL,PHO,2024-10-28,L,A,105,109,240,39,94,0.415,25,62,0.403,14,32,0.438,13,18,0.722,40,87,0.46,29,51,0.569,11,36,0.306,18,20,0.9,11,35,46,9,37,46,25,5,6,12,19,21,7,11,11,22,107.5,111.6,0.191,0.34,0.515,0.489,0.138,111.6,107.5,0.23,0.414,0.569,0.523,0.207,22.9,79.5,50.0,20.5,77.1,50.0,64.1,5.1,11.8,10.5,52.5,7.2,17.7,10.3,2.0,2.0,97.70695,97.70695,97.70695
LAL,CLE,2024-10-30,L,A,110,134,240,38,77,0.494,32,49,0.653,6,28,0.214,28,33,0.848,56,97,0.577,39,56,0.696,17,41,0.415,5,8,0.625,5,32,37,6,30,36,21,6,0,21,7,37,14,2,12,26,104.5,127.3,0.429,0.364,0.601,0.532,0.364,127.3,104.5,0.082,0.423,0.667,0.665,0.052,14.3,84.2,49.3,15.8,85.7,49.3,55.3,5.7,0.0,18.7,66.1,13.3,4.1,10.7,2.0,2.0,105.250575,105.250575,105.250575
LAL,TOR,2024-11-01,W,A,131,125,240,42,88,0.477,31,56,0.554,11,32,0.344,36,41,0.878,52,107,0.486,42,72,0.583,10,35,0.286,11,13,0.846,9,34,43,15,29,44,29,6,5,10,17,35,4,6,11,29,126.0,120.2,0.466,0.364,0.618,0.54,0.409,120.2,126.0,0.121,0.327,0.554,0.533,0.103,23.7,69.4,50.6,30.6,76.3,50.6,69.0,5.8,6.9,8.6,67.3,3.8,10.7,8.9,2.0,2.0,103.96338,103.96338,103.96338
LAL,DET,2024-11-04,L,A,103,115,240,37,85,0.435,28,60,0.467,9,25,0.36,20,27,0.741,45,96,0.469,37,62,0.597,8,34,0.235,17,22,0.773,7,30,37,17,38,55,28,8,1,13,16,22,6,5,12,25,104.1,116.2,0.318,0.294,0.532,0.488,0.235,116.2,104.1,0.229,0.354,0.544,0.51,0.177,15.6,63.8,59.8,36.2,84.4,59.8,75.7,8.1,1.6,11.8,48.9,6.1,8.3,10.2,3.0,1.0,98.91675,98.91675,98.91675
LAL,MEM,2024-11-06,L,A,114,131,240,41,93,0.441,26,45,0.578,15,48,0.313,17,21,0.81,48,93,0.516,31,59,0.525,17,34,0.5,18,23,0.783,9,28,37,12,38,50,23,10,1,11,18,28,5,6,18,17,109.9,126.3,0.226,0.516,0.558,0.522,0.183,126.3,109.9,0.247,0.366,0.635,0.608,0.194,19.1,70.0,57.5,30.0,80.9,57.5,56.1,9.6,1.7,9.7,58.3,4.8,13.3,14.9,2.0,2.0,103.76388,103.76388,103.76388
LAL,PHI,2024-11-08,W,H,116,106,240,44,85,0.518,28,50,0.56,16,35,0.457,12,14,0.857,39,96,0.406,26,57,0.456,13,39,0.333,15,23,0.652,5,40,45,13,31,44,28,1,13,13,17,28,6,4,8,14,118.5,108.3,0.165,0.412,0.636,0.612,0.141,108.3,118.5,0.24,0.406,0.499,0.474,0.156,13.9,75.5,49.4,24.5,86.1,49.4,63.6,1.0,22.8,12.5,71.8,6.1,8.0,7.0,2.0,2.0,97.87976,97.87976,97.87976
LAL,TOR,2024-11-10,W,H,123,103,240,44,86,0.512,32,49,0.653,12,37,0.324,23,28,0.821,37,82,0.451,27,53,0.509,10,29,0.345,19,22,0.864,10,23,33,12,28,40,30,9,4,5,15,26,2,2,18,23,134.7,112.8,0.326,0.43,0.626,0.581,0.267,112.8,134.7,0.268,0.354,0.562,0.512,0.232,26.3,65.7,54.8,34.3,73.7,54.8,68.2,9.9,7.5,4.8,70.3,2.2,4.1,16.4,2.0,1.0,91.33266499999999,91.33266499999999,91.33266499999999
LAL,MEM,2024-11-13,W,H,128,123,240,43,85,0.506,23,44,0.523,20,41,0.488,22,32,0.688,42,89,0.472,30,56,0.536,12,33,0.364,27,33,0.818,7,35,42,12,29,41,31,7,5,18,22,28,11,6,14,25,121.7,116.9,0.376,0.482,0.646,0.624,0.259,116.9,121.7,0.371,0.371,0.594,0.539,0.303,19.4,74.5,49.4,25.5,80.6,49.4,72.1,6.7,8.9,15.4,66.7,10.5,13.6,11.9,3.0,3.0,105.228845,105.228845,105.228845
LAL,SAS,2024-11-15,W,A,120,115,240,44,88,0.5,30,57,0.526,14,31,0.452,18,23,0.783,43,88,0.489,26,43,0.605,17,45,0.378,12,16,0.75,10,31,41,11,29,40,27,10,3,12,11,32,6,5,13,19,125.1,119.8,0.261,0.352,0.611,0.58,0.205,119.8,125.1,0.182,0.511,0.605,0.585,0.136,25.6,73.8,49.4,26.2,74.4,49.4,61.4,10.4,7.0,10.9,74.4,6.3,8.8,12.0,2.0,2.0,95.96611,95.96611,95.96611
LAL,NOP,2024-11-16,W,A,104,99,240,39,89,0.438,27,49,0.551,12,40,0.3,14,18,0.778,35,83,0.422,24,54,0.444,11,29,0.379,18,23,0.783,17,26,43,18,32,50,24,10,3,11,14,24,7,4,17,19,117.6,112.0,0.202,0.449,0.537,0.506,0.157,112.0,117.6,0.277,0.349,0.532,0.488,0.217,34.7,59.1,53.8,40.9,65.3,53.8,61.5,11.3,5.6,10.2,68.6,7.9,8.2,15.4,1.0,1.0,88.41463,88.41463,88.41463
LAL,UTA,2024-11-19,W,H,124,118,240,42,76,0.553,28,45,0.622,14,31,0.452,26,36,0.722,45,90,0.5,33,54,0.611,12,36,0.333,16,19,0.842,6,28,34,11,31,42,30,9,5,14,16,28,9,0,16,24,124.9,118.9,0.474,0.408,0.675,0.645,0.342,118.9,124.9,0.211,0.4,0.6,0.567,0.178,16.2,71.8,55.3,28.2,83.8,55.3,71.4,9.1,9.3,13.2,62.2,9.1,0.0,14.0,3.0,2.0,99.26407,99.26407,99.26407
LAL,ORL,2024-11-21,L,H,118,119,240,44,87,0.506,31,56,0.554,13,31,0.419,17,26,0.654,43,91,0.473,28,51,0.549,15,40,0.375,18,21,0.857,9,27,36,15,33,48,21,4,6,10,15,31,8,5,17,25,120.7,121.7,0.299,0.356,0.599,0.58,0.195,121.7,120.7,0.231,0.44,0.594,0.555,0.198,21.4,64.3,57.1,35.7,78.6,57.1,47.7,4.1,11.8,9.2,72.1,8.2,8.9,14.5,2.0,1.0,97.80917,97.80917,97.80917
