Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
MEM,UTA,2024-10-23,W,A,126,124,240,43,91,0.473,26,46,0.565,17,45,0.378,23,32,0.719,40,85,0.471,30,59,0.508,10,26,0.385,34,45,0.756,13,28,41,14,35,49,28,7,5,13,35,21,7,9,17,24,121.8,119.9,0.352,0.495,0.6,0.566,0.253,119.9,121.8,0.529,0.306,0.592,0.529,0.4,27.1,66.7,54.4,33.3,72.9,54.4,65.1,6.8,8.5,11.0,52.5,6.8,19.6,14.0,5.0,5.0,103.423745,103.423745,103.423745
MEM,HOU,2024-10-25,L,A,108,128,240,38,91,0.418,28,63,0.444,10,28,0.357,22,36,0.611,43,98,0.439,26,55,0.473,17,43,0.395,25,36,0.694,14,29,43,23,41,64,24,8,8,19,25,20,10,4,19,32,100.3,118.9,0.396,0.308,0.505,0.473,0.242,118.9,100.3,0.367,0.439,0.562,0.526,0.255,25.5,55.8,59.8,44.2,74.5,59.8,63.2,7.4,14.5,15.1,46.5,9.3,6.3,14.3,2.0,2.0,107.663625,107.663625,107.663625
MEM,ORL,2024-10-26,W,H,124,111,240,46,86,0.535,33,52,0.635,13,34,0.382,19,24,0.792,37,87,0.425,20,39,0.513,17,48,0.354,20,28,0.714,6,36,42,12,29,41,38,10,5,18,24,21,10,6,19,20,118.0,105.7,0.279,0.395,0.642,0.61,0.221,105.7,118.0,0.322,0.552,0.559,0.523,0.23,17.1,75.0,49.4,25.0,82.9,49.4,82.6,9.5,12.8,15.7,56.8,9.5,11.5,16.1,1.0,1.0,105.0531,105.0531,105.0531
MEM,CHI,2024-10-28,L,H,123,126,240,51,111,0.459,37,68,0.544,14,43,0.326,7,13,0.538,45,100,0.45,20,47,0.426,25,53,0.472,11,17,0.647,18,42,60,11,39,50,37,5,9,10,21,36,5,6,9,15,117.4,120.3,0.117,0.387,0.527,0.523,0.063,120.3,117.4,0.17,0.53,0.586,0.575,0.11,31.6,79.2,45.5,20.8,68.4,45.5,72.5,4.8,19.1,7.9,80.0,4.8,8.8,7.7,2.0,2.0,104.73599999999999,104.73599999999999,104.73599999999999
MEM,BRK,2024-10-30,L,H,106,119,240,38,81,0.469,30,54,0.556,8,27,0.296,22,29,0.759,41,80,0.513,26,39,0.667,15,41,0.366,22,25,0.88,12,26,38,8,26,34,27,9,3,22,21,27,10,2,19,25,106.4,119.4,0.358,0.333,0.565,0.519,0.272,119.4,106.4,0.313,0.513,0.654,0.606,0.275,31.6,76.5,47.2,23.5,68.4,47.2,71.1,9.0,7.7,19.0,65.9,10.0,3.7,17.3,2.0,1.0,99.627145,99.627145,99.627145
MEM,MIL,2024-10-31,W,H,122,99,240,43,82,0.524,35,54,0.648,8,28,0.286,28,31,0.903,41,96,0.427,32,54,0.593,9,42,0.214,8,19,0.421,7,49,56,9,29,38,26,6,3,17,21,20,10,4,10,27,117.4,95.3,0.378,0.341,0.638,0.573,0.341,95.3,117.4,0.198,0.438,0.474,0.474,0.083,19.4,84.5,40.4,15.5,80.6,40.4,60.5,5.8,5.6,15.1,48.8,9.6,7.4,8.7,1.0,3.0,103.89131499999999,103.89131499999999,103.89131499999999
MEM,PHI,2024-11-02,W,A,124,107,240,48,87,0.552,36,60,0.6,12,27,0.444,16,21,0.762,36,89,0.404,17,43,0.395,19,46,0.413,16,20,0.8,11,41,52,8,25,33,35,9,6,17,22,22,11,5,14,19,123.1,106.3,0.241,0.31,0.644,0.621,0.184,106.3,123.1,0.225,0.517,0.547,0.511,0.18,30.6,83.7,38.8,16.3,69.4,38.8,72.9,8.9,14.0,15.0,61.1,10.9,8.3,12.5,2.0,3.0,100.693445,100.693445,100.693445
MEM,BRK,2024-11-04,L,A,104,106,240,43,91,0.473,35,61,0.574,8,30,0.267,10,13,0.769,40,84,0.476,27,48,0.563,13,36,0.361,13,18,0.722,13,31,44,12,25,37,29,5,8,15,16,28,7,1,14,22,112.0,114.2,0.143,0.33,0.538,0.516,0.11,114.2,112.0,0.214,0.429,0.577,0.554,0.155,34.2,72.1,45.7,27.9,65.8,45.7,67.4,5.4,16.7,13.4,70.0,7.5,1.6,13.2,2.0,1.0,92.84978000000001,92.84978000000001,92.84978000000001
MEM,LAL,2024-11-06,W,H,131,114,240,48,93,0.516,31,59,0.525,17,34,0.5,18,23,0.783,41,93,0.441,26,45,0.578,15,48,0.313,17,21,0.81,12,38,50,9,28,37,28,5,6,18,17,23,10,1,11,18,126.3,109.9,0.247,0.366,0.635,0.608,0.194,109.9,126.3,0.226,0.516,0.558,0.522,0.183,30.0,80.9,42.5,19.1,70.0,42.5,58.3,4.8,13.3,14.9,56.1,9.6,1.7,9.7,2.0,2.0,103.76388,103.76388,103.76388
MEM,WAS,2024-11-08,W,H,128,104,240,46,97,0.474,32,54,0.593,14,43,0.326,22,25,0.88,38,93,0.409,29,58,0.5,9,35,0.257,19,23,0.826,13,37,50,11,30,41,30,10,10,19,19,27,14,8,18,27,118.4,96.2,0.258,0.443,0.593,0.546,0.227,96.2,118.4,0.247,0.376,0.504,0.457,0.204,30.2,77.1,45.1,22.9,69.8,45.1,65.2,9.3,17.2,15.0,71.1,13.0,14.8,14.9,2.0,4.0,108.121605,108.121605,108.121605
