Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
MIL,PHI,2024-10-23,W,A,124,109,240,43,80,0.538,27,43,0.628,16,37,0.432,22,31,0.71,41,98,0.418,33,67,0.493,8,31,0.258,19,27,0.704,8,38,46,17,32,49,27,4,9,14,23,18,4,2,10,28,125.0,109.9,0.388,0.463,0.662,0.638,0.275,109.9,125.0,0.276,0.316,0.496,0.459,0.194,20.0,69.1,51.6,30.9,80.0,51.6,62.8,4.0,13.4,13.0,43.9,4.0,4.7,8.3,5.0,5.0,99.21804499999999,99.21804499999999,99.21804499999999
MIL,CHI,2024-10-25,L,H,122,133,240,46,93,0.495,33,53,0.623,13,40,0.325,17,25,0.68,46,96,0.479,25,49,0.51,21,47,0.447,20,23,0.87,8,39,47,9,37,46,24,5,3,15,14,30,10,4,10,17,113.9,124.2,0.269,0.43,0.587,0.565,0.183,124.2,113.9,0.24,0.49,0.627,0.589,0.208,17.8,81.3,49.5,18.8,82.2,49.5,52.2,4.7,6.1,12.6,65.2,9.3,7.5,8.6,2.0,2.0,107.09519,107.09519,107.09519
MIL,BRK,2024-10-27,L,A,102,115,240,33,74,0.446,23,41,0.561,10,33,0.303,26,31,0.839,39,91,0.429,23,46,0.5,16,45,0.356,21,23,0.913,7,36,43,12,35,47,20,7,3,18,17,23,9,3,12,26,104.4,117.7,0.419,0.446,0.582,0.514,0.351,117.7,104.4,0.253,0.495,0.569,0.516,0.231,16.7,75.0,52.2,25.0,83.3,52.2,60.6,7.2,6.5,17.0,59.0,9.2,7.3,10.6,2.0,2.0,97.68185500000001,97.68185500000001,97.68185500000001
MIL,BOS,2024-10-28,L,A,108,119,240,37,82,0.451,29,51,0.569,8,31,0.258,26,31,0.839,43,87,0.494,25,40,0.625,18,47,0.383,15,19,0.789,8,35,43,4,34,38,18,7,6,17,24,24,5,5,14,18,104.9,115.5,0.378,0.378,0.565,0.5,0.317,115.5,104.9,0.218,0.54,0.624,0.598,0.172,19.0,89.7,46.9,10.3,81.0,46.9,48.6,6.8,15.0,15.1,55.8,4.9,9.8,12.8,1.0,2.0,103.00113,103.00113,103.00113
MIL,MEM,2024-10-31,L,A,99,122,240,41,96,0.427,32,54,0.593,9,42,0.214,8,19,0.421,43,82,0.524,35,54,0.648,8,28,0.286,28,31,0.903,9,29,38,7,49,56,20,10,4,10,27,26,6,3,17,21,95.3,117.4,0.198,0.438,0.474,0.474,0.083,117.4,95.3,0.378,0.341,0.638,0.573,0.341,15.5,80.6,59.6,19.4,84.5,59.6,48.8,9.6,7.4,8.7,60.5,5.8,5.6,15.1,3.0,1.0,103.89131499999999,103.89131499999999,103.89131499999999
MIL,CLE,2024-11-02,L,H,113,114,240,43,89,0.483,25,50,0.5,18,39,0.462,9,15,0.6,44,91,0.484,29,53,0.547,15,38,0.395,11,15,0.733,10,35,45,10,35,45,24,3,3,13,23,31,3,2,7,20,119.0,120.1,0.169,0.438,0.591,0.584,0.101,120.1,119.0,0.165,0.418,0.584,0.566,0.121,22.2,77.8,50.0,22.2,77.8,50.0,55.8,3.2,5.7,12.0,70.5,3.2,4.0,6.7,2.0,1.0,94.95439,94.95439,94.95439
MIL,CLE,2024-11-04,L,A,114,116,240,42,86,0.488,25,51,0.49,17,35,0.486,13,15,0.867,46,91,0.505,29,54,0.537,17,37,0.459,7,13,0.538,7,42,49,5,34,39,21,6,6,15,15,28,10,4,10,15,114.0,116.0,0.174,0.407,0.616,0.587,0.151,116.0,114.0,0.143,0.407,0.6,0.599,0.077,17.1,89.4,44.3,10.6,82.9,44.3,50.0,6.0,11.1,13.9,60.9,10.0,7.8,9.4,2.0,2.0,100.02271,100.02271,100.02271
MIL,UTA,2024-11-07,W,H,123,100,240,43,84,0.512,28,49,0.571,15,35,0.429,22,30,0.733,33,77,0.429,16,36,0.444,17,41,0.415,17,18,0.944,11,30,41,8,31,39,20,13,3,11,21,24,5,5,22,19,128.3,104.3,0.357,0.417,0.633,0.601,0.262,104.3,128.3,0.234,0.532,0.589,0.539,0.221,26.2,78.9,48.8,21.1,73.8,48.8,46.5,13.6,8.3,10.2,72.7,5.2,10.2,20.6,3.0,3.0,95.88609,95.88609,95.88609
MIL,NYK,2024-11-08,L,A,94,116,240,36,83,0.434,29,53,0.547,7,30,0.233,15,23,0.652,43,91,0.473,29,45,0.644,14,46,0.304,16,19,0.842,11,30,41,14,34,48,20,1,5,12,16,35,7,3,11,20,101.5,125.3,0.277,0.361,0.505,0.476,0.181,125.3,101.5,0.209,0.505,0.584,0.549,0.176,24.4,68.2,53.9,31.8,75.6,53.9,55.6,1.1,11.1,11.4,81.4,7.6,5.7,10.0,1.0,2.0,92.59837999999999,92.59837999999999,92.59837999999999
MIL,BOS,2024-11-10,L,H,107,113,240,39,81,0.481,26,49,0.531,13,32,0.406,16,21,0.762,35,86,0.407,16,36,0.444,19,50,0.38,24,27,0.889,5,36,41,8,34,42,21,9,8,13,18,27,5,2,12,16,109.5,115.6,0.259,0.395,0.593,0.562,0.198,115.6,109.5,0.314,0.581,0.577,0.517,0.279,12.8,81.8,50.6,18.2,87.2,50.6,53.8,9.2,22.2,12.6,77.1,5.1,4.1,10.9,2.0,2.0,97.75797,97.75797,97.75797
