Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
MIN,LAL,2024-10-22,L,A,103,110,240,35,85,0.412,22,44,0.5,13,41,0.317,20,27,0.741,42,95,0.442,37,65,0.569,5,30,0.167,21,25,0.84,12,35,47,15,31,46,17,4,1,16,22,22,7,8,7,22,107.4,114.7,0.318,0.482,0.532,0.488,0.235,114.7,107.4,0.263,0.316,0.519,0.468,0.221,27.9,70.0,49.5,30.0,72.1,49.5,48.6,4.2,1.5,14.2,52.4,7.3,18.2,6.2,5.0,5.0,95.93025,95.93025,95.93025
MIN,SAC,2024-10-24,W,A,117,115,240,41,86,0.477,21,36,0.583,20,50,0.4,15,17,0.882,38,82,0.463,27,53,0.509,11,29,0.379,28,35,0.8,6,36,42,4,34,38,24,3,2,17,24,21,7,2,9,18,115.3,113.4,0.198,0.581,0.626,0.593,0.174,113.4,115.3,0.427,0.354,0.59,0.53,0.341,15.0,90.0,47.5,10.0,85.0,47.5,58.5,3.0,3.8,15.4,55.3,6.9,5.6,8.5,2.0,5.0,101.43475000000001,101.43475000000001,101.43475000000001
MIN,TOR,2024-10-26,W,H,112,101,240,39,83,0.47,25,46,0.543,14,37,0.378,20,26,0.769,41,90,0.456,31,61,0.508,10,29,0.345,9,13,0.692,9,32,41,12,34,46,29,9,8,13,16,29,9,4,20,22,113.4,102.3,0.313,0.446,0.593,0.554,0.241,102.3,113.4,0.144,0.322,0.528,0.511,0.1,20.9,72.7,52.9,27.3,79.1,52.9,74.4,9.1,13.1,12.1,70.7,9.1,8.7,17.3,2.0,1.0,98.723445,98.723445,98.723445
MIN,DAL,2024-10-29,L,H,114,120,240,39,77,0.506,20,38,0.526,19,39,0.487,17,26,0.654,45,93,0.484,29,54,0.537,16,39,0.41,14,18,0.778,11,31,42,12,28,40,33,5,2,20,20,25,12,2,10,21,118.9,125.1,0.338,0.506,0.645,0.63,0.221,125.1,118.9,0.194,0.419,0.595,0.57,0.151,28.2,72.1,48.8,27.9,71.8,48.8,84.6,5.2,3.7,18.4,55.6,12.5,5.3,9.0,3.0,1.0,95.90222,95.90222,95.90222
MIN,DEN,2024-11-01,W,H,119,116,240,43,83,0.518,25,41,0.61,18,42,0.429,15,18,0.833,41,92,0.446,30,60,0.5,11,32,0.344,23,29,0.793,8,30,38,17,29,46,34,8,9,17,22,30,11,2,15,18,120.9,117.9,0.217,0.506,0.654,0.627,0.181,117.9,120.9,0.315,0.348,0.554,0.505,0.25,21.6,63.8,54.8,36.2,78.4,54.8,79.1,8.1,15.0,15.8,73.2,11.2,4.9,12.5,3.0,3.0,98.40043,98.40043,98.40043
MIN,SAS,2024-11-02,L,A,103,113,240,39,82,0.476,28,45,0.622,11,37,0.297,14,20,0.7,43,83,0.518,30,41,0.732,13,42,0.31,14,17,0.824,6,26,32,7,37,44,21,7,2,13,16,32,6,5,13,16,108.2,118.8,0.244,0.451,0.567,0.543,0.171,118.8,108.2,0.205,0.506,0.624,0.596,0.169,14.0,78.8,57.9,21.2,86.0,57.9,53.8,7.4,4.9,12.5,74.4,6.3,11.1,12.6,1.0,2.0,95.1425,95.1425,95.1425
MIN,CHO,2024-11-04,W,H,114,93,240,39,79,0.494,21,41,0.512,18,38,0.474,18,26,0.692,35,88,0.398,25,46,0.543,10,42,0.238,13,16,0.813,9,36,45,9,29,38,23,7,8,15,19,19,10,1,14,22,119.2,97.2,0.329,0.481,0.63,0.608,0.228,97.2,119.2,0.182,0.477,0.489,0.455,0.148,23.7,80.0,45.8,20.0,76.3,45.8,59.0,7.3,17.4,14.2,54.3,10.5,2.4,12.8,2.0,2.0,95.65720000000002,95.65720000000002,95.65720000000002
MIN,CHI,2024-11-07,W,A,135,119,240,51,93,0.548,35,55,0.636,16,38,0.421,17,17,1.0,47,88,0.534,32,52,0.615,15,36,0.417,10,15,0.667,10,30,40,10,22,32,29,7,4,14,17,30,9,4,13,20,137.9,121.6,0.183,0.409,0.672,0.634,0.183,121.6,137.9,0.17,0.409,0.629,0.619,0.114,31.3,75.0,44.4,25.0,68.8,44.4,56.9,7.2,7.7,12.2,63.8,9.2,7.3,12.1,3.0,1.0,97.88314,97.88314,97.88314
MIN,POR,2024-11-08,W,H,127,102,240,47,97,0.485,25,47,0.532,22,50,0.44,11,14,0.786,39,91,0.429,33,66,0.5,6,25,0.24,18,24,0.75,10,39,49,12,25,37,32,9,7,20,21,13,11,7,17,17,119.9,96.3,0.144,0.515,0.616,0.598,0.113,96.3,119.9,0.264,0.275,0.502,0.462,0.198,28.6,76.5,43.0,23.5,71.4,43.0,68.1,8.5,10.6,16.2,33.3,10.4,14.9,14.3,1.0,1.0,105.9118,105.9118,105.9118
MIN,MIA,2024-11-10,L,H,94,95,240,35,88,0.398,22,43,0.512,13,45,0.289,11,13,0.846,34,77,0.442,23,46,0.5,11,31,0.355,16,22,0.727,16,31,47,6,37,43,22,13,5,20,20,18,14,9,23,20,95.2,96.2,0.148,0.511,0.501,0.472,0.125,96.2,95.2,0.286,0.403,0.548,0.513,0.208,30.2,83.8,47.8,16.2,69.8,47.8,62.9,13.2,10.9,17.6,52.9,14.2,20.9,21.0,2.0,2.0,98.70998,98.70998,98.70998
