Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
NYK,BOS,2024-10-22,L,A,109,132,240,43,78,0.551,32,48,0.667,11,30,0.367,12,16,0.75,48,95,0.505,19,34,0.559,29,61,0.475,7,8,0.875,5,29,34,11,29,40,20,2,3,12,12,33,6,3,4,15,121.6,147.3,0.205,0.385,0.641,0.622,0.154,147.3,121.6,0.084,0.642,0.67,0.658,0.074,14.7,72.5,54.1,27.5,85.3,54.1,46.5,2.2,8.8,12.4,68.8,6.7,6.3,3.9,5.0,5.0,89.63255000000001,89.63255000000001,89.63255000000001
NYK,IND,2024-10-25,W,H,123,98,240,44,84,0.524,32,57,0.561,12,27,0.444,23,29,0.793,41,83,0.494,38,53,0.717,3,30,0.1,13,20,0.65,11,32,43,9,24,33,19,5,4,12,18,28,8,6,16,24,128.6,102.5,0.345,0.321,0.636,0.595,0.274,102.5,128.6,0.241,0.361,0.534,0.512,0.157,31.4,78.0,43.4,22.0,68.6,43.4,43.2,5.2,7.5,11.0,68.3,8.4,10.5,14.8,3.0,2.0,95.637,95.637,95.637
NYK,CLE,2024-10-28,L,H,104,110,240,40,90,0.444,31,62,0.5,9,28,0.321,15,18,0.833,39,82,0.476,27,46,0.587,12,36,0.333,20,24,0.833,13,30,43,9,32,41,22,8,3,16,21,21,10,5,14,20,107.9,114.2,0.2,0.311,0.531,0.494,0.167,114.2,107.9,0.293,0.439,0.594,0.549,0.244,28.9,76.9,48.8,23.1,71.1,48.8,55.0,8.3,6.5,14.0,53.8,10.4,8.1,13.1,3.0,2.0,96.355095,96.355095,96.355095
NYK,MIA,2024-10-30,W,A,116,107,240,40,82,0.488,22,42,0.524,18,40,0.45,18,20,0.9,37,81,0.457,20,41,0.488,17,40,0.425,16,24,0.667,7,35,42,7,32,39,30,8,4,11,16,27,6,3,10,17,124.9,115.2,0.244,0.488,0.639,0.598,0.22,115.2,124.9,0.296,0.494,0.584,0.562,0.198,17.9,83.3,48.1,16.7,82.1,48.1,75.0,8.6,9.8,10.8,73.0,6.5,7.1,9.8,2.0,2.0,92.84669,92.84669,92.84669
NYK,DET,2024-11-01,W,A,128,98,240,52,101,0.515,34,63,0.54,18,38,0.474,6,10,0.6,41,81,0.506,30,47,0.638,11,34,0.324,5,7,0.714,12,33,45,6,32,38,31,16,3,10,14,23,6,9,22,12,128.1,98.0,0.099,0.376,0.607,0.604,0.059,98.0,128.1,0.086,0.42,0.583,0.574,0.062,27.3,84.6,45.8,15.4,72.7,45.8,59.6,16.0,6.4,8.7,56.1,6.0,14.3,20.7,2.0,2.0,99.947705,99.947705,99.947705
NYK,HOU,2024-11-04,L,A,97,109,240,34,88,0.386,23,60,0.383,11,28,0.393,18,21,0.857,43,88,0.489,35,55,0.636,8,33,0.242,15,18,0.833,13,26,39,11,39,50,20,6,4,10,18,21,4,6,11,20,105.5,118.6,0.239,0.318,0.499,0.449,0.205,118.6,105.5,0.205,0.375,0.568,0.534,0.17,25.0,70.3,56.2,29.7,75.0,56.2,58.8,6.5,7.3,9.3,48.8,4.4,10.0,10.3,3.0,2.0,91.927225,91.927225,91.927225
NYK,ATL,2024-11-06,L,A,116,121,240,41,84,0.488,19,37,0.514,22,47,0.468,12,15,0.8,45,100,0.45,30,62,0.484,15,38,0.395,16,22,0.727,7,34,41,16,32,48,29,5,5,16,18,31,12,4,8,14,118.5,123.7,0.179,0.56,0.64,0.619,0.143,123.7,118.5,0.22,0.38,0.552,0.525,0.16,17.9,68.0,53.9,32.0,82.1,53.9,70.7,5.1,8.1,15.0,68.9,12.3,10.8,6.8,2.0,2.0,97.866105,97.866105,97.866105
NYK,MIL,2024-11-08,W,H,116,94,240,43,91,0.473,29,45,0.644,14,46,0.304,16,19,0.842,36,83,0.434,29,53,0.547,7,30,0.233,15,23,0.652,14,34,48,11,30,41,35,7,3,11,20,20,1,5,12,16,125.3,101.5,0.209,0.505,0.584,0.549,0.176,101.5,125.3,0.277,0.361,0.505,0.476,0.181,31.8,75.6,46.1,24.4,68.2,46.1,81.4,7.6,5.7,10.0,55.6,1.1,11.1,11.4,2.0,1.0,92.59837999999999,92.59837999999999,92.59837999999999
NYK,IND,2024-11-10,L,A,121,132,240,46,83,0.554,39,58,0.672,7,25,0.28,22,27,0.815,45,88,0.511,24,42,0.571,21,46,0.457,21,25,0.84,8,31,39,5,27,32,23,5,3,14,20,27,6,4,10,22,120.8,131.8,0.325,0.301,0.638,0.596,0.265,131.8,120.8,0.284,0.523,0.667,0.631,0.239,22.9,86.1,45.1,13.9,77.1,45.1,50.0,5.0,7.1,12.9,60.0,6.0,6.9,9.2,2.0,2.0,100.16925,100.16925,100.16925
NYK,PHI,2024-11-12,W,A,111,99,240,44,89,0.494,35,58,0.603,9,31,0.29,14,15,0.933,31,83,0.373,17,41,0.415,14,42,0.333,23,24,0.958,8,39,47,9,31,40,31,8,5,15,15,19,10,6,15,20,112.5,100.4,0.169,0.348,0.581,0.545,0.157,100.4,112.5,0.289,0.506,0.529,0.458,0.277,20.5,81.3,46.0,18.8,79.5,46.0,70.5,8.1,12.2,13.6,61.3,10.1,10.3,13.8,2.0,2.0,98.634465,98.634465,98.634465
