Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
OKC,DEN,2024-10-24,W,A,102,87,240,43,101,0.426,35,65,0.538,8,36,0.222,8,12,0.667,35,98,0.357,28,60,0.467,7,38,0.184,10,14,0.714,13,36,49,17,40,57,23,9,13,12,15,29,11,7,16,12,101.7,86.8,0.119,0.356,0.48,0.465,0.079,86.8,101.7,0.143,0.388,0.418,0.393,0.102,24.5,67.9,53.8,32.1,75.5,53.8,53.5,9.0,21.7,10.1,82.9,11.0,10.8,13.3,5.0,5.0,100.278345,100.278345,100.278345
OKC,CHI,2024-10-26,W,A,114,95,240,45,107,0.421,37,67,0.552,8,40,0.2,16,20,0.8,32,92,0.348,17,39,0.436,15,53,0.283,16,22,0.727,9,45,54,11,50,61,21,15,5,10,18,23,6,2,26,19,99.5,82.9,0.187,0.374,0.492,0.458,0.15,82.9,99.5,0.239,0.576,0.467,0.429,0.174,15.3,80.4,53.0,19.6,84.7,53.0,46.7,13.1,12.8,7.9,71.9,5.2,3.0,20.4,2.0,1.0,114.53339,114.53339,114.53339
OKC,ATL,2024-10-27,W,H,128,104,240,44,89,0.494,28,49,0.571,16,40,0.4,24,32,0.75,36,91,0.396,26,60,0.433,10,31,0.323,22,29,0.759,11,34,45,17,32,49,26,13,12,10,23,24,7,4,20,23,126.4,102.7,0.36,0.449,0.621,0.584,0.27,102.7,126.4,0.319,0.341,0.501,0.451,0.242,25.6,66.7,52.1,33.3,74.4,52.1,59.1,12.8,20.0,8.8,66.7,6.9,8.2,16.2,1.0,2.0,101.238275,101.238275,101.238275
OKC,SAS,2024-10-30,W,H,105,93,240,41,89,0.461,24,48,0.5,17,41,0.415,6,8,0.75,35,85,0.412,23,49,0.469,12,36,0.333,11,13,0.846,5,34,39,13,39,52,28,18,6,14,15,22,6,6,22,8,106.2,94.1,0.09,0.461,0.567,0.556,0.067,94.1,106.2,0.153,0.424,0.513,0.482,0.129,11.4,72.3,57.1,27.7,88.6,57.1,68.3,18.2,12.2,13.1,62.9,6.1,12.5,19.5,3.0,2.0,98.86273,98.86273,98.86273
OKC,POR,2024-11-01,W,A,137,114,240,51,95,0.537,32,46,0.696,19,49,0.388,16,19,0.842,39,83,0.47,24,48,0.5,15,35,0.429,21,31,0.677,14,31,45,11,25,36,31,14,9,13,29,27,8,5,19,17,136.5,113.6,0.2,0.516,0.663,0.637,0.168,113.6,136.5,0.373,0.422,0.59,0.56,0.253,35.9,73.8,44.4,26.2,64.1,44.4,60.8,13.9,18.8,11.2,69.2,8.0,10.9,16.4,2.0,2.0,100.38166000000001,100.38166000000001,100.38166000000001
OKC,LAC,2024-11-02,W,A,105,92,240,36,84,0.429,20,45,0.444,16,39,0.41,17,19,0.895,32,79,0.405,21,44,0.477,11,35,0.314,17,26,0.654,3,38,41,10,40,50,25,11,3,12,22,23,10,7,22,17,104.5,91.6,0.226,0.464,0.568,0.524,0.202,91.6,104.5,0.329,0.443,0.509,0.475,0.215,7.0,79.2,54.9,20.8,93.0,54.9,69.4,10.9,6.8,11.5,71.9,10.0,15.6,19.6,1.0,2.0,100.47224,100.47224,100.47224
OKC,ORL,2024-11-04,W,H,102,86,240,39,85,0.459,27,54,0.5,12,31,0.387,12,16,0.75,29,82,0.354,24,48,0.5,5,34,0.147,23,27,0.852,5,37,42,7,34,41,23,12,4,17,21,20,12,5,19,16,99.6,84.0,0.188,0.365,0.554,0.529,0.141,84.0,99.6,0.329,0.415,0.458,0.384,0.28,12.8,84.1,49.4,15.9,87.2,49.4,59.0,11.7,8.3,15.6,69.0,11.7,9.3,16.8,2.0,1.0,102.441475,102.441475,102.441475
OKC,DEN,2024-11-06,L,A,122,124,240,44,100,0.44,28,60,0.467,16,40,0.4,18,23,0.783,42,89,0.472,26,51,0.51,16,38,0.421,24,33,0.727,13,34,47,13,42,55,29,15,6,14,28,34,8,6,18,22,113.3,115.2,0.23,0.4,0.554,0.52,0.18,115.2,113.3,0.371,0.427,0.599,0.562,0.27,23.6,72.3,53.9,27.7,76.4,53.9,65.9,13.9,11.8,11.3,81.0,7.4,10.0,14.8,2.0,2.0,107.664275,107.664275,107.664275
OKC,HOU,2024-11-08,W,H,126,107,240,46,90,0.511,32,53,0.604,14,37,0.378,20,23,0.87,39,90,0.433,28,60,0.467,11,30,0.367,18,26,0.692,7,34,41,14,34,48,24,9,8,11,23,19,7,3,17,18,123.7,105.1,0.256,0.411,0.629,0.589,0.222,105.1,123.7,0.289,0.333,0.527,0.494,0.2,17.1,70.8,53.9,29.2,82.9,53.9,52.2,8.8,13.3,9.9,48.7,6.9,5.7,14.4,2.0,2.0,101.80744000000001,101.80744000000001,101.80744000000001
OKC,GSW,2024-11-10,L,H,116,127,240,42,94,0.447,31,61,0.508,11,33,0.333,21,26,0.808,45,89,0.506,24,46,0.522,21,43,0.488,16,23,0.696,14,27,41,13,33,46,25,4,6,11,18,35,8,3,15,26,117.9,129.1,0.277,0.351,0.55,0.505,0.223,129.1,117.9,0.258,0.483,0.641,0.624,0.18,29.8,67.5,52.9,32.5,70.2,52.9,59.5,4.1,13.0,9.4,77.8,8.1,4.9,13.1,2.0,2.0,98.35914,98.35914,98.35914
