Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
PHI,MIL,2024-10-23,L,H,109,124,240,41,98,0.418,33,67,0.493,8,31,0.258,19,27,0.704,43,80,0.538,27,43,0.628,16,37,0.432,22,31,0.71,17,32,49,8,38,46,18,4,2,10,28,27,4,9,14,23,109.9,125.0,0.276,0.316,0.496,0.459,0.194,125.0,109.9,0.388,0.463,0.662,0.638,0.275,30.9,80.0,48.4,20.0,69.1,48.4,43.9,4.0,4.7,8.3,62.8,4.0,13.4,13.0,5.0,5.0,99.21804499999999,99.21804499999999,99.21804499999999
PHI,TOR,2024-10-25,L,A,107,115,240,29,76,0.382,20,47,0.426,9,29,0.31,40,53,0.755,35,76,0.461,29,53,0.547,6,23,0.261,39,46,0.848,10,18,28,18,36,54,19,11,5,16,32,25,11,13,27,34,106.1,114.0,0.697,0.382,0.539,0.441,0.526,114.0,106.1,0.605,0.303,0.597,0.5,0.513,21.7,50.0,65.9,50.0,78.3,65.9,65.5,10.9,9.4,13.9,71.4,10.9,27.7,21.9,2.0,2.0,100.876035,100.876035,100.876035
PHI,IND,2024-10-27,W,A,118,114,265,42,98,0.429,31,56,0.554,11,42,0.262,23,31,0.742,39,84,0.464,26,52,0.5,13,32,0.406,23,34,0.676,20,34,54,7,30,37,15,9,4,20,26,28,8,4,20,26,109.4,105.6,0.316,0.429,0.528,0.485,0.235,105.6,109.4,0.405,0.381,0.576,0.542,0.274,40.0,82.9,40.7,17.1,60.0,40.7,35.7,8.3,7.7,15.2,71.8,7.4,7.1,16.8,2.0,2.0,107.899175,97.72000754716981,97.72000754716981
PHI,DET,2024-10-30,L,H,95,105,240,33,79,0.418,25,51,0.49,8,28,0.286,21,28,0.75,36,78,0.462,21,42,0.5,15,36,0.417,18,22,0.818,8,29,37,12,37,49,17,7,4,9,21,23,4,5,17,25,104.9,116.0,0.354,0.354,0.52,0.468,0.266,116.0,104.9,0.282,0.462,0.599,0.558,0.231,17.8,70.7,57.0,29.3,82.2,57.0,51.5,7.7,9.5,9.0,63.9,4.4,9.8,16.2,3.0,2.0,90.53571,90.53571,90.53571
PHI,MEM,2024-11-02,L,H,107,124,240,36,89,0.404,17,43,0.395,19,46,0.413,16,20,0.8,48,87,0.552,36,60,0.6,12,27,0.444,16,21,0.762,8,25,33,11,41,52,22,11,5,14,19,35,9,6,17,22,106.3,123.1,0.225,0.517,0.547,0.511,0.18,123.1,106.3,0.241,0.31,0.644,0.621,0.184,16.3,69.4,61.2,30.6,83.7,61.2,61.1,10.9,8.3,12.5,72.9,8.9,14.0,15.0,3.0,2.0,100.693445,100.693445,100.693445
PHI,PHO,2024-11-04,L,A,116,118,240,40,87,0.46,20,36,0.556,20,51,0.392,16,18,0.889,42,82,0.512,31,50,0.62,11,32,0.344,23,26,0.885,9,29,38,9,34,43,27,10,4,15,22,24,6,4,14,16,119.0,121.1,0.207,0.586,0.611,0.575,0.184,121.1,119.0,0.317,0.39,0.631,0.579,0.28,20.9,76.3,53.1,23.7,79.1,53.1,67.5,10.3,8.0,13.6,57.1,6.2,11.1,13.0,2.0,2.0,97.47289500000001,97.47289500000001,97.47289500000001
PHI,LAC,2024-11-06,L,A,98,110,240,40,73,0.548,33,48,0.688,7,25,0.28,11,19,0.579,41,72,0.569,29,44,0.659,12,28,0.429,16,19,0.842,10,22,32,8,21,29,19,10,2,20,22,27,12,1,19,16,109.5,122.9,0.26,0.342,0.602,0.596,0.151,122.9,109.5,0.264,0.389,0.684,0.653,0.222,32.3,73.3,47.5,26.7,67.7,47.5,47.5,11.2,4.5,19.7,65.9,13.4,2.1,19.1,2.0,2.0,89.46923999999999,89.46923999999999,89.46923999999999
PHI,LAL,2024-11-08,L,A,106,116,240,39,96,0.406,26,57,0.456,13,39,0.333,15,23,0.652,44,85,0.518,28,50,0.56,16,35,0.457,12,14,0.857,13,31,44,5,40,45,28,6,4,8,14,28,1,13,13,17,108.3,118.5,0.24,0.406,0.499,0.474,0.156,118.5,108.3,0.165,0.412,0.636,0.612,0.141,24.5,86.1,50.6,13.9,75.5,50.6,71.8,6.1,8.0,7.0,63.6,1.0,22.8,12.5,2.0,2.0,97.87976,97.87976,97.87976
PHI,CHO,2024-11-10,W,H,107,105,265,39,84,0.464,30,51,0.588,9,33,0.273,20,26,0.769,36,95,0.379,22,41,0.537,14,54,0.259,19,22,0.864,8,32,40,12,38,50,24,8,1,17,23,22,10,5,21,22,101.6,99.7,0.31,0.393,0.561,0.518,0.238,99.7,101.6,0.232,0.568,0.502,0.453,0.2,17.4,72.7,55.6,27.3,82.6,55.6,61.5,7.6,2.4,15.1,61.1,9.5,9.8,16.7,2.0,2.0,105.29370499999999,95.36033660377358,95.36033660377358
PHI,NYK,2024-11-12,L,H,99,111,240,31,83,0.373,17,41,0.415,14,42,0.333,23,24,0.958,44,89,0.494,35,58,0.603,9,31,0.29,14,15,0.933,9,31,40,8,39,47,19,10,6,15,20,31,8,5,15,15,100.4,112.5,0.289,0.506,0.529,0.458,0.277,112.5,100.4,0.169,0.348,0.581,0.545,0.157,18.8,79.5,54.0,20.5,81.3,54.0,61.3,10.1,10.3,13.8,70.5,8.1,12.2,13.6,2.0,2.0,98.634465,98.634465,98.634465
PHI,CLE,2024-11-13,L,H,106,114,240,41,92,0.446,27,49,0.551,14,43,0.326,10,11,0.909,42,85,0.494,26,45,0.578,16,40,0.4,14,17,0.824,12,33,45,9,37,46,24,8,2,12,13,25,8,1,11,14,112.8,121.3,0.12,0.467,0.547,0.522,0.109,121.3,112.8,0.2,0.471,0.616,0.588,0.165,24.5,78.6,50.5,21.4,75.5,50.5,58.5,8.5,4.4,11.0,59.5,8.5,2.0,10.6,1.0,2.0,93.992105,93.992105,93.992105
PHI,ORL,2024-11-15,L,A,86,98,240,29,72,0.403,19,41,0.463,10,31,0.323,18,21,0.857,34,78,0.436,23,41,0.561,11,37,0.297,19,22,0.864,6,28,34,11,32,43,19,10,3,18,23,15,11,6,18,21,94.2,107.3,0.292,0.431,0.529,0.472,0.25,107.3,94.2,0.282,0.474,0.559,0.506,0.244,15.8,71.8,55.8,28.2,84.2,55.8,65.5,10.9,7.3,18.1,44.1,12.0,14.6,17.0,2.0,2.0,91.32693,91.32693,91.32693
PHI,MIA,2024-11-18,L,A,89,106,240,35,84,0.417,25,43,0.581,10,41,0.244,9,12,0.75,36,87,0.414,23,43,0.535,13,44,0.295,21,23,0.913,2,40,42,9,44,53,25,10,3,15,17,26,10,2,15,13,87.8,104.6,0.143,0.488,0.498,0.476,0.107,104.6,87.8,0.264,0.506,0.546,0.489,0.241,4.3,81.6,55.8,18.4,95.7,55.8,71.4,9.9,7.0,14.4,72.2,9.9,4.7,13.4,3.0,1.0,101.352315,101.352315,101.352315
PHI,MEM,2024-11-20,L,A,111,117,240,39,87,0.448,28,54,0.519,11,33,0.333,22,24,0.917,41,85,0.482,22,42,0.524,19,43,0.442,16,16,1.0,14,27,41,9,32,41,21,12,6,14,19,29,5,6,20,17,114.1,120.2,0.276,0.379,0.569,0.511,0.253,120.2,114.1,0.188,0.506,0.636,0.594,0.188,30.4,75.0,50.0,25.0,69.6,50.0,53.8,12.3,14.3,12.5,70.7,5.1,11.1,17.9,2.0,1.0,97.30828,97.30828,97.30828
PHI,BRK,2024-11-22,W,H,113,98,240,41,92,0.446,25,49,0.51,16,43,0.372,15,20,0.75,39,79,0.494,26,42,0.619,13,37,0.351,7,7,1.0,15,25,40,7,27,34,25,13,9,12,16,28,1,4,19,17,122.9,106.6,0.217,0.467,0.561,0.533,0.163,106.6,122.9,0.089,0.468,0.597,0.576,0.089,35.7,78.1,45.9,21.9,64.3,45.9,61.0,14.1,21.4,10.6,71.8,1.1,8.2,18.8,2.0,3.0,91.972655,91.972655,91.972655
PHI,LAC,2024-11-24,L,H,99,125,240,34,86,0.395,25,47,0.532,9,39,0.231,22,26,0.846,47,81,0.58,35,51,0.686,12,30,0.4,19,25,0.76,13,20,33,10,34,44,22,8,5,14,17,31,9,5,17,22,103.7,131.0,0.302,0.453,0.508,0.448,0.256,131.0,103.7,0.309,0.37,0.679,0.654,0.235,27.7,66.7,57.1,33.3,72.3,57.1,64.7,8.4,9.8,12.6,66.0,9.4,10.6,15.6,2.0,2.0,95.43659,95.43659,95.43659
PHI,HOU,2024-11-27,L,H,115,122,265,43,96,0.448,31,63,0.492,12,33,0.364,17,23,0.739,40,88,0.455,30,57,0.526,10,31,0.323,32,38,0.842,10,32,42,14,37,51,19,12,7,16,26,23,10,14,21,19,105.6,112.1,0.24,0.344,0.542,0.51,0.177,112.1,105.6,0.432,0.352,0.583,0.511,0.364,21.3,69.6,54.8,30.4,78.7,54.8,44.2,11.0,12.3,13.1,57.5,9.2,22.2,16.7,3.0,1.0,108.853665,98.58445132075472,98.58445132075472
PHI,DET,2024-11-30,W,A,111,96,240,42,85,0.494,31,54,0.574,11,31,0.355,16,22,0.727,35,91,0.385,24,51,0.471,11,40,0.275,15,18,0.833,12,38,50,10,32,42,19,9,8,17,21,22,6,5,17,19,110.5,95.5,0.259,0.365,0.586,0.559,0.188,95.5,110.5,0.198,0.44,0.485,0.445,0.165,27.3,79.2,45.7,20.8,72.7,45.7,45.2,9.0,15.7,15.2,62.9,6.0,9.3,14.7,3.0,1.0,100.487955,100.487955,100.487955
PHI,CHO,2024-12-03,W,A,110,104,240,38,82,0.463,22,42,0.524,16,40,0.4,18,20,0.9,34,77,0.442,21,43,0.488,13,34,0.382,23,28,0.821,8,23,31,15,32,47,26,9,3,12,22,22,5,3,19,17,121.1,114.5,0.244,0.488,0.606,0.561,0.22,114.5,121.1,0.364,0.442,0.582,0.526,0.299,20.0,60.5,60.3,39.5,80.0,60.3,68.4,9.9,7.0,11.7,64.7,5.5,7.1,17.5,3.0,3.0,90.805025,90.805025,90.805025
PHI,ORL,2024-12-04,L,H,102,106,240,40,82,0.488,29,52,0.558,11,30,0.367,11,19,0.579,41,84,0.488,33,55,0.6,8,29,0.276,16,21,0.762,10,25,35,16,26,42,23,9,1,14,19,21,13,7,14,18,113.6,118.1,0.232,0.366,0.564,0.555,0.134,118.1,113.6,0.25,0.345,0.568,0.536,0.19,27.8,61.0,54.5,39.0,72.2,54.5,57.5,10.0,1.8,13.4,51.2,14.5,13.5,13.1,1.0,1.0,89.78139,89.78139,89.78139
PHI,ORL,2024-12-06,W,H,102,94,240,38,79,0.481,31,53,0.585,7,26,0.269,19,29,0.655,33,78,0.423,20,32,0.625,13,46,0.283,15,17,0.882,10,27,37,8,30,38,23,11,0,16,19,21,8,6,21,23,107.1,98.7,0.367,0.329,0.556,0.525,0.241,98.7,107.1,0.218,0.59,0.55,0.506,0.192,25.0,77.1,50.7,22.9,75.0,50.7,60.5,11.6,0.0,14.8,63.6,8.4,11.3,19.7,2.0,2.0,95.203075,95.203075,95.203075
PHI,CHI,2024-12-08,W,A,108,100,240,43,92,0.467,34,56,0.607,9,36,0.25,13,14,0.929,35,86,0.407,16,32,0.5,19,54,0.352,11,12,0.917,10,46,56,2,33,35,25,8,5,16,15,29,9,3,15,18,105.4,97.6,0.152,0.391,0.55,0.516,0.141,97.6,105.4,0.14,0.628,0.548,0.517,0.128,23.3,95.8,38.5,4.2,76.7,38.5,58.1,7.8,15.6,14.0,82.9,8.8,5.4,14.1,2.0,2.0,102.44593499999999,102.44593499999999,102.44593499999999
PHI,IND,2024-12-13,L,H,107,121,240,37,85,0.435,27,60,0.45,10,25,0.4,23,32,0.719,47,91,0.516,33,53,0.623,14,38,0.368,13,17,0.765,15,32,47,8,33,41,18,5,4,15,16,35,9,4,10,21,109.7,124.0,0.376,0.294,0.54,0.494,0.271,124.0,109.7,0.187,0.418,0.614,0.593,0.143,31.3,80.0,46.6,20.0,68.8,46.6,48.6,5.1,7.5,13.1,74.5,9.2,6.7,9.2,5.0,5.0,97.55416,97.55416,97.55416
PHI,CHO,2024-12-16,W,A,121,108,240,41,80,0.513,25,42,0.595,16,38,0.421,23,30,0.767,42,83,0.506,30,45,0.667,12,38,0.316,12,21,0.571,9,33,42,9,29,38,21,14,4,20,20,30,12,8,20,27,118.6,105.8,0.375,0.475,0.649,0.613,0.288,105.8,118.6,0.253,0.458,0.585,0.578,0.145,23.7,78.6,47.5,21.4,76.3,47.5,51.2,13.7,8.9,17.7,71.4,11.8,19.0,17.8,3.0,3.0,102.06090499999999,102.06090499999999,102.06090499999999
