Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
PHO,LAC,2024-10-23,W,A,116,113,265,38,78,0.487,23,40,0.575,15,38,0.395,25,34,0.735,42,92,0.457,34,63,0.54,8,29,0.276,21,30,0.7,4,38,42,13,38,51,25,12,9,22,23,27,9,1,22,29,104.6,101.9,0.436,0.487,0.624,0.583,0.321,101.9,104.6,0.326,0.315,0.537,0.5,0.228,9.5,74.5,54.8,25.5,90.5,54.8,65.8,10.8,14.3,19.1,64.3,8.1,2.5,17.3,5.0,5.0,110.94575,100.47916981132076,100.47916981132076
PHO,LAL,2024-10-25,L,A,116,123,240,42,82,0.512,25,45,0.556,17,37,0.459,15,17,0.882,40,75,0.533,26,48,0.542,14,27,0.519,29,39,0.744,5,29,34,6,31,37,35,8,4,17,26,33,10,5,13,18,117.7,124.9,0.207,0.451,0.648,0.616,0.183,124.9,117.7,0.52,0.36,0.667,0.627,0.387,13.9,82.9,52.1,17.1,86.1,52.1,83.3,8.1,8.3,16.0,82.5,10.2,11.1,12.4,2.0,3.0,98.523425,98.523425,98.523425
PHO,DAL,2024-10-26,W,H,114,102,240,36,80,0.45,22,41,0.537,14,39,0.359,28,37,0.757,37,93,0.398,24,52,0.462,13,41,0.317,15,18,0.833,7,40,47,12,34,46,26,3,4,11,17,22,6,2,9,28,118.1,105.6,0.463,0.488,0.592,0.538,0.35,105.6,118.1,0.194,0.441,0.505,0.468,0.161,17.1,76.9,49.5,23.1,82.9,49.5,72.2,3.1,7.7,10.3,59.5,6.2,4.9,8.2,1.0,2.0,96.5539,96.5539,96.5539
PHO,LAL,2024-10-28,W,H,109,105,240,40,87,0.46,29,51,0.569,11,36,0.306,18,20,0.9,39,94,0.415,25,62,0.403,14,32,0.438,13,18,0.722,9,37,46,11,35,46,21,7,11,11,22,25,5,6,12,19,111.6,107.5,0.23,0.414,0.569,0.523,0.207,107.5,111.6,0.191,0.34,0.515,0.489,0.138,20.5,77.1,50.0,22.9,79.5,50.0,52.5,7.2,17.7,10.3,64.1,5.1,11.8,10.5,2.0,2.0,97.70695,97.70695,97.70695
PHO,LAC,2024-10-31,W,A,125,119,240,42,82,0.512,24,43,0.558,18,39,0.462,23,28,0.821,45,93,0.484,33,58,0.569,12,35,0.343,17,21,0.81,8,31,39,15,33,48,29,12,4,12,20,27,8,8,14,22,127.9,121.7,0.341,0.476,0.663,0.622,0.28,121.7,127.9,0.226,0.376,0.582,0.548,0.183,19.5,67.4,55.2,32.6,80.5,55.2,69.0,12.3,6.9,11.3,60.0,8.2,18.6,12.0,3.0,1.0,97.75532000000001,97.75532000000001,97.75532000000001
PHO,POR,2024-11-02,W,H,103,97,240,35,93,0.376,18,41,0.439,17,52,0.327,16,22,0.727,37,111,0.333,23,68,0.338,14,43,0.326,9,11,0.818,13,50,63,14,42,56,29,4,8,14,10,17,10,5,6,18,100.4,94.5,0.237,0.559,0.502,0.468,0.172,94.5,100.4,0.099,0.387,0.419,0.396,0.081,23.6,78.1,47.1,21.9,76.4,47.1,82.9,3.9,11.8,12.0,45.9,9.7,12.2,4.9,2.0,1.0,102.60671,102.60671,102.60671
PHO,PHI,2024-11-04,W,H,118,116,240,42,82,0.512,31,50,0.62,11,32,0.344,23,26,0.885,40,87,0.46,20,36,0.556,20,51,0.392,16,18,0.889,9,34,43,9,29,38,24,6,4,14,16,27,10,4,15,22,121.1,119.0,0.317,0.39,0.631,0.579,0.28,119.0,121.1,0.207,0.586,0.611,0.575,0.184,23.7,79.1,46.9,20.9,76.3,46.9,57.1,6.2,11.1,13.0,67.5,10.3,8.0,13.6,2.0,2.0,97.47289500000001,97.47289500000001,97.47289500000001
PHO,MIA,2024-11-06,W,H,115,112,240,42,84,0.5,24,41,0.585,18,43,0.419,13,18,0.722,40,92,0.435,27,58,0.466,13,34,0.382,19,20,0.95,10,36,46,13,30,43,29,5,6,16,14,27,12,3,10,16,120.3,117.2,0.214,0.512,0.626,0.607,0.155,117.2,120.3,0.217,0.37,0.556,0.505,0.207,25.0,73.5,48.3,26.5,75.0,48.3,69.0,5.2,10.3,14.8,67.5,12.6,7.3,9.0,2.0,2.0,95.61019999999999,95.61019999999999,95.61019999999999
PHO,DAL,2024-11-08,W,A,114,113,240,43,86,0.5,28,47,0.596,15,39,0.385,13,18,0.722,41,80,0.513,30,47,0.638,11,33,0.333,20,22,0.909,11,26,37,8,31,39,26,6,2,9,18,18,5,1,11,22,126.6,125.5,0.209,0.453,0.607,0.587,0.151,125.5,126.6,0.275,0.413,0.63,0.581,0.25,26.2,76.5,51.3,23.5,73.8,51.3,60.5,6.7,4.3,8.7,43.9,5.6,2.1,10.9,2.0,2.0,90.06941499999999,90.06941499999999,90.06941499999999
PHO,SAC,2024-11-10,L,H,118,127,265,44,105,0.419,26,48,0.542,18,57,0.316,12,15,0.8,50,102,0.49,39,65,0.6,11,37,0.297,16,19,0.842,8,40,48,8,49,57,30,11,3,12,19,23,7,3,15,20,103.0,110.8,0.143,0.543,0.529,0.505,0.114,110.8,103.0,0.186,0.363,0.575,0.544,0.157,14.0,83.3,54.3,16.7,86.0,54.3,68.2,9.6,4.6,9.7,46.0,6.1,6.3,12.0,2.0,2.0,114.58516,103.77523924528302,103.77523924528302
PHO,UTA,2024-11-12,W,A,120,112,240,43,86,0.5,25,47,0.532,18,39,0.462,16,22,0.727,45,92,0.489,30,54,0.556,15,38,0.395,7,9,0.778,10,32,42,12,27,39,21,6,11,10,11,32,7,3,13,17,128.2,119.6,0.256,0.453,0.627,0.605,0.186,119.6,128.2,0.098,0.413,0.584,0.571,0.076,27.0,72.7,48.1,27.3,73.0,48.1,48.8,6.4,20.4,9.5,71.1,7.5,6.4,11.9,2.0,3.0,93.624065,93.624065,93.624065
