Team,G,W,L,W/L%,MP,Tm_FG,Tm_FGA,Tm_2P,Tm_2PA,Tm_3P,Tm_3PA,Tm_FT,Tm_FTA,Tm_ORB,Tm_DRB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Tm_PTS,Opp_FG,Opp_FGA,Opp_2P,Opp_2PA,Opp_3P,Opp_3PA,Opp_FT,Opp_FTA,Opp_ORB,Opp_DRB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Opp_PTS
WAS,59,11,48,.186,240.8,39.6,89.8,26.6,51.0,13.0,38.8,16.3,20.9,10.6,33.3,43.8,25.2,7.6,5.1,16.2,20.4,108.4,43.7,92.4,29.4,53.2,14.3,39.1,19.1,24.0,12.2,35.4,47.6,28.7,9.3,5.4,13.5,18.7,120.8
UTA,59,15,44,.254,241.7,40.3,87.8,26.3,48.5,14.0,39.3,17.6,22.7,12.2,33.5,45.7,25.9,6.6,4.7,17.3,19.0,112.3,43.7,91.9,28.9,51.1,14.7,40.8,17.3,22.6,11.3,31.6,42.9,29.0,9.6,6.3,11.8,19.7,119.3
TOR,60,18,42,.300,242.1,41.6,89.5,30.1,56.6,11.5,33.0,15.7,21.0,11.7,32.2,43.9,28.6,7.8,4.4,15.6,21.3,110.4,41.6,88.4,28.2,50.3,13.5,38.1,19.7,25.5,11.4,32.9,44.3,26.2,9.3,5.7,14.6,18.4,116.4
SAS,58,25,33,.431,240.9,41.2,89.8,27.6,50.3,13.7,39.5,16.6,21.3,11.0,33.6,44.6,28.9,8.2,6.3,14.1,16.5,112.7,43.4,93.2,29.9,55.0,13.5,38.3,14.4,18.3,12.4,34.3,46.8,26.7,8.2,4.6,13.7,17.9,114.7
SAC,59,31,28,.525,243.0,43.4,90.9,30.9,55.2,12.5,35.7,17.6,21.8,11.1,33.9,45.0,26.8,7.9,4.7,13.6,19.0,116.8,41.5,88.9,27.0,50.3,14.5,38.6,17.8,22.5,10.2,32.7,42.9,26.8,8.1,4.5,14.3,18.8,115.3
POR,60,27,33,.450,240.4,40.3,88.9,27.8,52.8,12.5,36.1,17.1,22.2,12.5,31.2,43.7,23.9,8.1,5.5,16.1,19.6,110.2,41.5,88.0,28.8,52.7,12.7,35.3,18.5,23.2,12.0,32.1,44.1,26.1,9.5,5.5,15.3,19.2,114.1
PHO,60,28,32,.467,242.1,41.1,86.1,26.8,48.4,14.3,37.7,17.6,21.9,9.1,33.4,42.5,27.7,7.4,5.1,14.0,18.2,114.0,42.3,91.1,28.4,52.6,13.9,38.6,17.4,22.2,12.3,33.1,45.4,26.8,8.4,4.2,12.4,19.1,115.9
PHI,59,21,38,.356,241.7,39.2,86.3,26.6,49.9,12.6,36.4,18.1,22.9,10.0,29.2,39.2,22.9,9.4,4.1,13.5,19.6,109.2,41.3,84.9,27.7,47.9,13.6,37.0,17.3,21.5,10.8,33.8,44.6,27.6,7.2,5.2,16.5,19.2,113.5
ORL,61,29,32,.475,240.8,37.8,86.0,27.0,50.5,10.8,35.6,17.6,23.1,11.4,30.6,42.0,23.0,9.0,6.2,14.6,20.4,104.1,38.0,80.7,26.7,49.9,11.4,30.9,18.3,23.8,8.6,33.1,41.7,23.0,8.0,4.4,16.4,20.5,105.8
OKC,59,48,11,.814,240.4,44.2,92.8,30.1,53.8,14.2,39.0,16.3,19.8,11.0,33.6,44.7,26.7,10.8,5.6,11.9,20.5,118.9,37.1,85.9,24.3,47.3,12.9,38.6,19.1,24.8,12.1,33.5,45.6,24.4,6.7,4.7,17.9,18.2,106.2
