Rk,Team,Date,H/A,Opp,Result,MP,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB
1,TOR,2025-03-10,,WAS,"W, 119-104",240,28,45,73,16,38,54
2,UTA,2025-02-07,@,PHO,"L, 127-135 (OT)",265,25,38,63,12,37,49
3,HOU,2025-03-04,@,IND,"L, 102-115",240,24,34,58,5,30,35
4,MEM,2025-02-05,@,TOR,"W, 138-107",240,24,37,61,14,20,34
5,MEM,2024-12-26,,TOR,"W, 155-126",240,24,39,63,13,27,40
6,HOU,2025-03-17,,PHI,"W, 144-137 (OT)",265,23,35,58,8,27,35
7,HOU,2025-01-18,@,POR,"W, 125-103",240,23,38,61,8,32,40
8,HOU,2024-10-25,,MEM,"W, 128-108",240,23,41,64,14,29,43
9,MEM,2025-03-09,@,NOP,"W, 107-104",240,23,34,57,10,29,39
10,MIN,2025-02-05,,CHI,"W, 127-108",240,23,36,59,6,28,34
11,TOR,2024-11-25,@,DET,"L, 100-102",240,23,27,50,6,32,38
12,UTA,2025-01-22,@,OKC,"L, 114-123",240,23,29,52,13,26,39
13,ATL,2024-12-11,@,NYK,"W, 108-100",240,22,36,58,12,37,49
14,CHO,2025-03-08,,BRK,"W, 105-102",240,22,28,50,8,29,37
15,CHO,2024-12-19,@,WAS,"L, 114-123",240,22,30,52,12,40,52
16,CHO,2024-10-25,@,ATL,"L, 120-125",240,22,31,53,7,32,39
17,CLE,2025-02-23,,MEM,"W, 129-123",240,22,35,57,12,25,37
18,MEM,2025-02-02,@,MIL,"W, 132-119",240,22,39,61,8,28,36
19,POR,2025-03-19,,MEM,"W, 115-99",240,22,43,65,10,30,40
20,POR,2025-03-03,@,PHI,"W, 119-102",240,22,39,61,14,29,43
21,POR,2024-10-27,,NOP,"W, 125-103",240,22,29,51,15,24,39
22,TOR,2025-03-08,,WAS,"L, 117-118",240,22,27,49,22,28,50
23,TOR,2025-03-07,,UTA,"W, 118-109",240,22,26,48,19,37,56
24,WAS,2025-03-08,@,TOR,"W, 118-117",240,22,28,50,22,27,49
25,ATL,2024-11-20,@,GSW,"L, 97-120",240,21,44,65,9,45,54
26,DAL,2025-01-03,,CLE,"L, 122-134",240,21,32,53,10,36,46
27,DET,2025-02-07,,PHI,"W, 125-112",240,21,35,56,7,31,38
28,DET,2024-11-21,@,CHO,"L, 121-123 (OT)",265,21,35,56,11,32,43
29,HOU,2024-12-23,@,CHO,"W, 114-101",240,21,39,60,11,33,44
30,MEM,2025-01-11,@,MIN,"W, 127-125",240,21,25,46,7,34,41
31,MIA,2024-11-02,@,WAS,"W, 118-98",240,21,44,65,8,36,44
32,MIN,2025-04-01,@,DEN,"W, 140-139 (2OT)",290,21,31,52,8,37,45
33,BRK,2025-02-28,,POR,"L, 102-121",240,21,24,45,9,27,36
34,NOP,2025-01-17,,UTA,"W, 136-123",240,21,35,56,7,33,40
35,NOP,2024-11-13,@,OKC,"L, 88-106",240,21,37,58,5,26,31
36,OKC,2025-02-08,@,MEM,"W, 125-112",240,21,34,55,10,30,40
37,POR,2025-03-12,,NYK,"L, 113-114 (OT)",265,21,31,52,11,27,38
38,SAC,2025-02-13,@,NOP,"L, 133-140 (OT)",265,21,37,58,7,38,45
39,SAC,2024-12-01,,SAS,"L, 125-127",240,21,30,51,8,30,38
40,UTA,2025-01-11,@,PHO,"L, 106-114",240,21,29,50,12,26,38
41,UTA,2024-11-27,,DEN,"L, 103-122",240,21,26,47,10,29,39
42,ATL,2025-01-14,,PHO,"W, 122-117",240,20,34,54,6,31,37
43,CHO,2025-03-05,,MIN,"L, 110-125",240,20,37,57,10,33,43
44,CHO,2025-01-07,,PHO,"W, 115-104",240,20,39,59,8,34,42
45,CLE,2025-01-22,@,HOU,"L, 108-109",240,20,25,45,20,33,53
46,DET,2025-02-21,@,SAS,"W, 125-110",240,20,33,53,8,24,32
47,HOU,2025-03-10,,ORL,"W, 97-84",240,20,43,63,13,29,42
48,HOU,2025-02-26,,SAS,"W, 118-106",240,20,40,60,12,29,41
49,HOU,2025-02-03,@,NYK,"L, 118-124",240,20,30,50,12,28,40
50,HOU,2025-01-22,,CLE,"W, 109-108",240,20,33,53,20,25,45
51,MEM,2025-02-11,@,PHO,"W, 119-112",240,20,40,60,7,35,42
52,MIN,2025-02-13,,OKC,"W, 116-101",240,20,34,54,12,37,49
53,BRK,2025-01-22,,PHO,"L, 84-108",240,20,32,52,11,37,48
54,BRK,2025-01-06,,IND,"L, 99-113",240,20,31,51,5,30,35
55,NOP,2025-02-25,,SAS,"W, 109-103",240,20,34,54,13,32,45
56,OKC,2025-02-01,,SAC,"W, 144-110",240,20,50,70,9,28,37
57,PHI,2024-10-27,@,IND,"W, 118-114 (OT)",265,20,34,54,7,30,37
58,WAS,2024-12-08,,MEM,"L, 112-140",240,20,32,52,12,34,46
59,ATL,2025-02-12,@,NYK,"L, 148-149 (OT)",265,19,28,47,8,31,39
60,ATL,2024-12-08,,DEN,"L, 111-141",240,19,26,45,7,36,43
61,ATL,2024-11-12,@,BOS,"W, 117-116",240,19,25,44,6,28,34
62,BOS,2025-04-02,,MIA,"L, 103-124",240,19,24,43,11,23,34
63,DEN,2025-03-17,@,GSW,"W, 114-105",240,19,34,53,11,27,38
64,DEN,2024-11-02,,UTA,"W, 129-103",240,19,33,52,8,31,39
65,DET,2024-10-28,@,MIA,"L, 98-106",240,19,35,54,10,34,44
66,GSW,2024-12-27,@,LAC,"L, 92-102",240,19,28,47,6,33,39
67,GSW,2024-10-25,@,UTA,"W, 127-86",240,19,41,60,14,31,45
68,HOU,2025-02-08,@,DAL,"L, 105-116",240,19,29,48,12,31,43
69,HOU,2025-01-30,@,MEM,"L, 119-120",240,19,26,45,9,28,37
70,HOU,2025-01-07,@,WAS,"W, 135-112",240,19,30,49,16,27,43
71,HOU,2024-12-29,,MIA,"L, 100-104",240,19,33,52,15,37,52
72,HOU,2024-12-14,@,OKC,"L, 96-111",240,19,30,49,4,39,43
73,IND,2024-11-27,,POR,"W, 121-114",240,19,28,47,13,25,38
74,LAL,2025-03-14,@,DEN,"L, 126-131",240,19,28,47,9,30,39
75,MEM,2025-02-28,,NYK,"L, 113-114",240,19,39,58,8,27,35
76,MEM,2024-12-23,,LAC,"L, 110-114",240,19,37,56,15,38,53
77,MEM,2024-11-19,,DEN,"L, 110-122",240,19,36,55,13,40,53
78,MIL,2025-02-09,,PHI,"W, 135-127",240,19,34,53,8,34,42
79,BRK,2025-02-10,,CHO,"W, 97-89",240,19,28,47,11,29,40
80,NOP,2024-12-15,@,IND,"L, 104-119",240,19,30,49,7,36,43
81,OKC,2024-12-23,,WAS,"W, 123-105",240,19,40,59,13,38,51
82,PHO,2024-11-13,@,SAC,"L, 104-127",240,19,21,40,6,39,45
83,POR,2025-04-01,@,ATL,"W, 127-113",240,19,35,54,12,33,45
84,POR,2025-03-25,,CLE,"L, 111-122",240,19,26,45,9,32,41
85,POR,2025-03-16,,TOR,"W, 105-102",240,19,32,51,19,28,47
86,POR,2024-11-25,@,MEM,"L, 98-123",240,19,25,44,16,44,60
87,SAS,2025-03-27,@,CLE,"L, 116-124",240,19,31,50,14,42,56
88,TOR,2025-03-16,@,POR,"L, 102-105",240,19,28,47,19,32,51
89,TOR,2024-11-24,@,CLE,"L, 108-122",240,19,36,55,14,35,49
90,UTA,2025-03-07,@,TOR,"L, 109-118",240,19,37,56,22,26,48
91,UTA,2025-01-20,@,NOP,"L, 119-123 (OT)",265,19,44,63,6,39,45
92,UTA,2024-11-30,,DAL,"L, 94-106",240,19,34,53,12,36,48
93,ATL,2025-03-25,@,HOU,"L, 114-121",240,18,24,42,14,37,51
94,BOS,2025-03-05,,POR,"W, 128-118",240,18,34,52,8,31,39
