Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
SAS,DAL,2024-10-24,L,A,109,120,240,39,86,0.453,27,50,0.54,12,36,0.333,19,24,0.792,42,102,0.412,23,58,0.397,19,44,0.432,17,23,0.739,12,40,52,17,33,50,30,6,5,19,18,27,9,5,10,21,107.3,118.1,0.279,0.419,0.564,0.523,0.221,118.1,107.3,0.225,0.431,0.535,0.505,0.167,26.7,70.2,49.0,29.8,73.3,49.0,76.9,5.9,8.6,16.4,64.3,8.9,10.0,8.2,5.0,5.0,101.620485,101.620485,101.620485
SAS,HOU,2024-10-26,W,H,109,106,240,39,79,0.494,31,59,0.525,8,20,0.4,23,28,0.821,38,92,0.413,25,51,0.49,13,41,0.317,17,21,0.81,10,39,49,8,26,34,23,6,7,17,18,21,10,3,11,24,110.7,107.7,0.354,0.253,0.597,0.544,0.291,107.7,110.7,0.228,0.446,0.524,0.484,0.185,27.8,83.0,41.0,17.0,72.2,41.0,59.0,6.1,13.7,15.7,55.3,10.2,5.1,9.8,2.0,1.0,98.43950000000001,98.43950000000001,98.43950000000001
SAS,HOU,2024-10-28,L,H,101,106,240,37,87,0.425,27,54,0.5,10,33,0.303,17,21,0.81,35,85,0.412,20,48,0.417,15,37,0.405,21,24,0.875,17,32,49,13,30,43,22,6,6,17,21,20,6,2,12,23,109.7,115.1,0.241,0.379,0.525,0.483,0.195,115.1,109.7,0.282,0.435,0.555,0.5,0.247,36.2,71.1,46.7,28.9,63.8,46.7,59.5,6.5,12.5,15.0,57.1,6.5,3.7,11.2,2.0,2.0,92.08574999999999,92.08574999999999,92.08574999999999
SAS,OKC,2024-10-30,L,A,93,105,240,35,85,0.412,23,49,0.469,12,36,0.333,11,13,0.846,41,89,0.461,24,48,0.5,17,41,0.415,6,8,0.75,13,39,52,5,34,39,22,6,6,22,8,28,18,6,14,15,94.1,106.2,0.153,0.424,0.513,0.482,0.129,106.2,94.1,0.09,0.461,0.567,0.556,0.067,27.7,88.6,42.9,11.4,72.3,42.9,62.9,6.1,12.5,19.5,68.3,18.2,12.2,13.1,2.0,3.0,98.86273,98.86273,98.86273
SAS,UTA,2024-10-31,W,A,106,88,240,38,92,0.413,26,49,0.531,12,43,0.279,18,23,0.783,32,82,0.39,25,50,0.5,7,32,0.219,17,19,0.895,11,31,42,15,38,53,25,17,7,11,17,19,6,6,26,19,107.4,89.2,0.25,0.467,0.519,0.478,0.196,89.2,107.4,0.232,0.39,0.487,0.433,0.207,22.4,67.4,55.8,32.6,77.6,55.8,65.8,17.2,14.0,9.7,59.4,6.1,12.2,22.3,1.0,2.0,98.70814,98.70814,98.70814
SAS,MIN,2024-11-02,W,H,113,103,240,43,83,0.518,30,41,0.732,13,42,0.31,14,17,0.824,39,82,0.476,28,45,0.622,11,37,0.297,14,20,0.7,7,37,44,6,26,32,32,6,5,13,16,21,7,2,13,16,118.8,108.2,0.205,0.506,0.624,0.596,0.169,108.2,118.8,0.244,0.451,0.567,0.543,0.171,21.2,86.0,42.1,14.0,78.8,42.1,74.4,6.3,11.1,12.6,53.8,7.4,4.9,12.5,2.0,1.0,95.1425,95.1425,95.1425
SAS,LAC,2024-11-04,L,A,104,113,240,38,86,0.442,27,45,0.6,11,41,0.268,17,19,0.895,41,90,0.456,22,53,0.415,19,37,0.514,12,17,0.706,12,33,45,16,28,44,22,9,10,14,16,25,6,7,11,21,113.7,123.6,0.221,0.477,0.551,0.506,0.198,123.6,113.7,0.189,0.411,0.58,0.561,0.133,30.0,67.3,49.4,32.7,70.0,49.4,57.9,9.8,18.9,12.9,61.0,6.6,15.6,10.1,2.0,2.0,91.423695,91.423695,91.423695
SAS,HOU,2024-11-06,L,A,100,127,240,37,83,0.446,23,47,0.489,14,36,0.389,12,16,0.75,54,96,0.563,44,69,0.638,10,27,0.37,9,15,0.6,8,33,41,11,34,45,20,6,6,20,13,28,10,5,12,13,98.6,125.3,0.193,0.434,0.555,0.53,0.145,125.3,98.6,0.156,0.281,0.619,0.615,0.094,19.0,75.0,52.3,25.0,81.0,52.3,54.1,5.9,8.7,18.2,51.9,9.9,10.6,10.5,2.0,2.0,101.4066,101.4066,101.4066
SAS,POR,2024-11-07,W,H,118,105,240,44,82,0.537,28,43,0.651,16,39,0.41,14,18,0.778,41,86,0.477,32,54,0.593,9,32,0.281,14,22,0.636,12,33,45,14,27,41,35,9,4,16,15,23,7,3,14,14,126.1,112.2,0.22,0.476,0.656,0.634,0.171,112.2,126.1,0.256,0.372,0.549,0.529,0.163,30.8,70.2,47.7,29.8,69.2,47.7,79.5,9.6,7.4,15.1,56.1,7.5,7.0,12.8,1.0,3.0,93.56401,93.56401,93.56401
SAS,UTA,2024-11-09,L,H,110,111,240,38,85,0.447,21,38,0.553,17,47,0.362,17,19,0.895,38,82,0.463,28,49,0.571,10,33,0.303,25,35,0.714,6,31,37,9,36,45,29,8,10,20,26,23,13,4,18,20,105.4,106.3,0.224,0.553,0.589,0.547,0.2,106.3,105.4,0.427,0.402,0.57,0.524,0.305,14.3,77.5,54.9,22.5,85.7,54.9,76.3,7.7,20.4,17.6,60.5,12.5,10.5,15.6,2.0,2.0,104.407765,104.407765,104.407765
