Team,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,Tm_eFG%,Tm_TS%,Tm_TOV%,Tm_ORB%,Tm_DRB%,Tm_FTr,Opp_eFG%,Opp_TS%,Opp_TOV%,Opp_ORB%,Opp_DRB%,Opp_FTr
WAS,59,11,48,.186,-12.46,0.87,-11.59,101.4,106.5,118.8,.513,.547,14.1,23.0,73.1,.233,.551,.587,11.6,26.9,77.0,.259
UTA,59,15,44,.254,-7.02,0.82,-6.20,99.2,112.4,119.4,.539,.574,15.0,27.9,74.8,.258,.555,.586,10.4,25.2,72.1,.246
TOR,60,18,42,.300,-5.97,1.51,-4.46,99.2,110.3,116.3,.529,.559,13.7,26.3,73.8,.235,.547,.584,12.8,26.2,73.7,.288
SAS,58,25,33,.431,-1.98,0.04,-1.94,99.4,113.0,114.9,.535,.568,12.4,24.3,73.0,.237,.538,.566,11.9,27.0,75.7,.196
SAC,59,31,28,.525,1.47,-0.48,1.00,99.2,116.3,114.8,.545,.581,11.9,25.3,76.9,.239,.548,.584,12.7,23.1,74.7,.252
POR,60,27,33,.450,-3.92,0.01,-3.90,98.9,111.3,115.2,.524,.559,14.0,27.9,72.2,.250,.544,.581,13.5,27.8,72.1,.263
PHO,60,28,32,.467,-1.92,-0.55,-2.47,97.5,115.9,117.8,.560,.596,12.8,21.6,73.1,.254,.541,.575,10.9,26.9,78.4,.243
PHI,59,21,38,.356,-4.37,0.11,-4.27,96.8,112.0,116.5,.527,.566,12.3,22.8,73.0,.266,.567,.602,14.9,27.0,77.2,.254
ORL,61,29,32,.475,-1.67,-0.44,-2.11,96.3,107.7,109.5,.502,.541,13.2,25.7,78.0,.269,.542,.580,15.2,22.0,74.3,.294
OKC,59,48,11,.814,12.69,-0.31,12.39,99.7,119.1,106.4,.553,.586,10.5,24.8,73.6,.214,.508,.549,15.6,26.4,75.2,.289
NYK,59,39,20,.661,4.73,-0.74,3.99,97.4,119.9,115.1,.564,.597,11.7,25.7,74.6,.238,.550,.581,12.7,25.4,74.3,.217
NOP,60,16,44,.267,-8.00,0.82,-7.18,99.4,110.8,118.8,.516,.551,12.4,26.1,72.3,.247,.561,.592,12.7,27.7,73.9,.228
MIN,61,32,29,.525,2.80,1.08,3.89,97.4,114.4,111.5,.543,.579,13.2,25.7,74.7,.249,.530,.562,13.2,25.3,74.3,.233
MIL,59,34,25,.576,1.88,-0.81,1.07,99.7,114.5,112.6,.561,.590,12.3,19.6,76.1,.257,.526,.561,11.4,23.9,80.4,.230
MIA,58,28,30,.483,-0.50,-0.41,-0.91,96.4,112.8,113.3,.537,.573,12.5,22.3,75.5,.246,.541,.569,12.3,24.5,77.7,.201
MEM,60,38,22,.633,6.43,-0.45,5.99,104.0,118.2,112.0,.558,.591,13.6,29.7,74.1,.261,.529,.564,13.1,25.9,70.3,.266
LAL,58,37,21,.638,1.55,-0.20,1.36,97.9,115.1,113.5,.553,.590,12.6,22.8,74.9,.274,.535,.567,12.5,25.1,77.2,.218
LAC,59,32,27,.542,2.15,0.09,2.25,98.2,112.2,110.0,.540,.576,14.2,24.9,76.8,.248,.537,.570,14.1,23.2,75.1,.249
IND,58,33,25,.569,1.03,-0.55,0.49,99.8,116.1,115.0,.563,.595,12.1,21.2,74.2,.241,.548,.582,13.2,25.8,78.8,.254
HOU,60,37,23,.617,3.78,0.72,4.50,98.6,113.6,109.8,.512,.545,11.9,31.2,75.6,.249,.522,.555,13.0,24.4,68.8,.253
GSW,60,32,28,.533,1.67,0.61,2.28,99.1,113.9,112.2,.531,.559,12.0,27.4,75.8,.228,.539,.573,13.6,24.2,72.6,.249
DET,61,34,27,.557,1.33,-0.36,0.97,99.7,113.9,112.6,.546,.578,13.6,26.4,77.0,.236,.541,.577,13.3,23.0,73.6,.267
DEN,60,39,21,.650,5.30,-0.48,4.82,100.3,120.1,114.9,.575,.605,12.6,27.1,74.9,.253,.537,.568,11.5,25.1,72.9,.221
DAL,61,32,29,.525,1.51,0.59,2.10,99.0,115.7,114.2,.549,.583,12.5,24.8,72.8,.260,.528,.561,11.8,27.2,75.2,.236
CLE,59,49,10,.831,11.59,-0.83,10.77,99.9,123.0,111.4,.588,.616,11.6,25.5,75.3,.233,.527,.559,12.8,24.7,74.5,.232
CHO,59,14,45,.237,-7.61,-0.38,-7.99,97.7,107.0,114.8,.499,.533,13.6,27.3,74.7,.221,.543,.577,12.7,25.3,72.7,.245
CHI,60,24,36,.400,-3.78,-0.26,-4.04,102.9,112.7,116.3,.549,.580,13.0,21.6,76.0,.208,.542,.575,10.8,24.0,78.4,.226
BRK,60,21,39,.350,-6.50,0.15,-6.36,96.2,108.4,115.1,.513,.552,14.1,25.2,75.2,.248,.558,.593,14.2,24.8,74.8,.279
BOS,60,42,18,.700,8.58,-0.36,8.22,96.8,119.7,110.9,.560,.590,10.8,24.3,76.4,.220,.522,.553,11.8,23.6,75.7,.204
ATL,60,27,33,.450,-2.83,0.10,-2.73,103.2,112.3,115.0,.535,.570,13.5,25.7,76.2,.263,.561,.595,14.1,23.8,74.3,.244
