Team,G,W,L,W/L%,Tm_FG,Tm_FGA,Tm_2P,Tm_2PA,Tm_3P,Tm_3PA,Tm_FT,Tm_FTA,Tm_ORB,Tm_DRB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Tm_PTS,Opp_FG,Opp_FGA,Opp_2P,Opp_2PA,Opp_3P,Opp_3PA,Opp_FT,Opp_FTA,Opp_ORB,Opp_DRB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Opp_PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,Tm_eFG%,Tm_TS%,Tm_TOV%,Tm_ORB%,Tm_DRB%,Tm_FTr,Opp_eFG%,Opp_TS%,Opp_TOV%,Opp_ORB%,Opp_DRB%,Opp_FTr
WAS,59,11,48,0.186,39.6,89.8,26.6,51.0,13.0,38.8,16.3,20.9,10.6,33.3,43.8,25.2,7.6,5.1,16.2,20.4,108.4,43.7,92.4,29.4,53.2,14.3,39.1,19.1,24.0,12.2,35.4,47.6,28.7,9.3,5.4,13.5,18.7,120.8,-12.46,0.87,-11.59,101.4,106.5,118.8,0.513,0.547,14.1,23.0,73.1,0.233,0.551,0.587,11.6,26.9,77.0,0.259
UTA,59,15,44,0.254,40.3,87.8,26.3,48.5,14.0,39.3,17.6,22.7,12.2,33.5,45.7,25.9,6.6,4.7,17.3,19.0,112.3,43.7,91.9,28.9,51.1,14.7,40.8,17.3,22.6,11.3,31.6,42.9,29.0,9.6,6.3,11.8,19.7,119.3,-7.02,0.82,-6.2,99.2,112.4,119.4,0.539,0.574,15.0,27.9,74.8,0.258,0.555,0.586,10.4,25.2,72.1,0.246
TOR,60,18,42,0.3,41.6,89.5,30.1,56.6,11.5,33.0,15.7,21.0,11.7,32.2,43.9,28.6,7.8,4.4,15.6,21.3,110.4,41.6,88.4,28.2,50.3,13.5,38.1,19.7,25.5,11.4,32.9,44.3,26.2,9.3,5.7,14.6,18.4,116.4,-5.97,1.51,-4.46,99.2,110.3,116.3,0.529,0.559,13.7,26.3,73.8,0.235,0.547,0.584,12.8,26.2,73.7,0.288
SAS,58,25,33,0.431,41.2,89.8,27.6,50.3,13.7,39.5,16.6,21.3,11.0,33.6,44.6,28.9,8.2,6.3,14.1,16.5,112.7,43.4,93.2,29.9,55.0,13.5,38.3,14.4,18.3,12.4,34.3,46.8,26.7,8.2,4.6,13.7,17.9,114.7,-1.98,0.04,-1.94,99.4,113.0,114.9,0.535,0.568,12.4,24.3,73.0,0.237,0.538,0.566,11.9,27.0,75.7,0.196
SAC,59,31,28,0.525,43.4,90.9,30.9,55.2,12.5,35.7,17.6,21.8,11.1,33.9,45.0,26.8,7.9,4.7,13.6,19.0,116.8,41.5,88.9,27.0,50.3,14.5,38.6,17.8,22.5,10.2,32.7,42.9,26.8,8.1,4.5,14.3,18.8,115.3,1.47,-0.48,1.0,99.2,116.3,114.8,0.545,0.581,11.9,25.3,76.9,0.239,0.548,0.584,12.7,23.1,74.7,0.252
POR,60,27,33,0.45,40.3,88.9,27.8,52.8,12.5,36.1,17.1,22.2,12.5,31.2,43.7,23.9,8.1,5.5,16.1,19.6,110.2,41.5,88.0,28.8,52.7,12.7,35.3,18.5,23.2,12.0,32.1,44.1,26.1,9.5,5.5,15.3,19.2,114.1,-3.92,0.01,-3.9,98.9,111.3,115.2,0.524,0.559,14.0,27.9,72.2,0.25,0.544,0.581,13.5,27.8,72.1,0.263
PHO,60,28,32,0.467,41.1,86.1,26.8,48.4,14.3,37.7,17.6,21.9,9.1,33.4,42.5,27.7,7.4,5.1,14.0,18.2,114.0,42.3,91.1,28.4,52.6,13.9,38.6,17.4,22.2,12.3,33.1,45.4,26.8,8.4,4.2,12.4,19.1,115.9,-1.92,-0.55,-2.47,97.5,115.9,117.8,0.56,0.596,12.8,21.6,73.1,0.254,0.541,0.575,10.9,26.9,78.4,0.243
PHI,59,21,38,0.356,39.2,86.3,26.6,49.9,12.6,36.4,18.1,22.9,10.0,29.2,39.2,22.9,9.4,4.1,13.5,19.6,109.2,41.3,84.9,27.7,47.9,13.6,37.0,17.3,21.5,10.8,33.8,44.6,27.6,7.2,5.2,16.5,19.2,113.5,-4.37,0.11,-4.27,96.8,112.0,116.5,0.527,0.566,12.3,22.8,73.0,0.266,0.567,0.602,14.9,27.0,77.2,0.254
ORL,61,29,32,0.475,37.8,86.0,27.0,50.5,10.8,35.6,17.6,23.1,11.4,30.6,42.0,23.0,9.0,6.2,14.6,20.4,104.1,38.0,80.7,26.7,49.9,11.4,30.9,18.3,23.8,8.6,33.1,41.7,23.0,8.0,4.4,16.4,20.5,105.8,-1.67,-0.44,-2.11,96.3,107.7,109.5,0.502,0.541,13.2,25.7,78.0,0.269,0.542,0.58,15.2,22.0,74.3,0.294
OKC,59,48,11,0.814,44.2,92.8,30.1,53.8,14.2,39.0,16.3,19.8,11.0,33.6,44.7,26.7,10.8,5.6,11.9,20.5,118.9,37.1,85.9,24.3,47.3,12.9,38.6,19.1,24.8,12.1,33.5,45.6,24.4,6.7,4.7,17.9,18.2,106.2,12.69,-0.31,12.39,99.7,119.1,106.4,0.553,0.586,10.5,24.8,73.6,0.214,0.508,0.549,15.6,26.4,75.2,0.289
NYK,59,39,20,0.661,43.9,89.2,31.3,55.3,12.7,33.9,17.1,21.2,10.7,32.1,42.8,27.4,7.9,3.9,13.1,16.9,117.7,42.0,88.7,28.4,52.6,13.6,36.1,15.3,19.2,11.0,30.8,41.8,26.0,7.0,5.0,14.2,19.1,112.9,4.73,-0.74,3.99,97.4,119.9,115.1,0.564,0.597,11.7,25.7,74.6,0.238,0.55,0.581,12.7,25.4,74.3,0.217
NOP,60,16,44,0.267,40.7,90.6,28.4,55.4,12.2,35.2,17.1,22.4,12.2,31.4,43.6,25.3,9.1,5.5,14.3,18.1,110.7,43.8,91.1,29.1,51.1,14.7,40.1,16.4,20.8,12.0,34.5,46.6,28.8,8.8,5.5,14.6,18.1,118.7,-8.0,0.82,-7.18,99.4,110.8,118.8,0.516,0.551,12.4,26.1,72.3,0.247,0.561,0.592,12.7,27.7,73.9,0.228
MIN,61,32,29,0.525,40.0,87.2,25.2,47.7,14.8,39.5,17.3,21.8,11.1,33.0,44.2,25.4,8.0,4.9,14.8,18.2,112.0,40.3,88.0,27.6,51.9,12.7,36.2,15.9,20.5,11.2,32.3,43.5,24.6,8.9,4.8,14.8,19.2,109.2,2.8,1.08,3.89,97.4,114.4,111.5,0.543,0.579,13.2,25.7,74.7,0.249,0.53,0.562,13.2,25.3,74.3,0.233
MIL,59,34,25,0.576,41.7,87.0,27.4,49.7,14.3,37.3,16.7,22.4,8.5,35.5,44.0,25.2,7.3,4.9,13.6,18.4,114.4,41.1,91.1,27.5,52.0,13.6,39.1,16.6,21.0,11.1,34.9,46.0,25.9,7.6,4.0,12.9,18.8,112.5,1.88,-0.81,1.07,99.7,114.5,112.6,0.561,0.59,12.3,19.6,76.1,0.257,0.526,0.561,11.4,23.9,80.4,0.23
MIA,58,28,30,0.483,39.7,86.8,25.7,48.2,14.0,38.6,17.0,21.3,9.8,34.1,43.9,26.3,7.9,3.8,13.8,15.7,110.3,41.4,89.4,27.6,51.0,13.8,38.4,14.1,18.0,11.0,34.2,45.2,27.0,7.5,4.8,13.6,17.6,110.8,-0.5,-0.41,-0.91,96.4,112.8,113.3,0.537,0.573,12.5,22.3,75.5,0.246,0.541,0.569,12.3,24.5,77.7,0.201
MEM,60,38,22,0.633,45.2,93.5,31.4,55.9,13.8,37.5,19.0,24.4,13.3,34.4,47.6,29.1,8.9,6.0,16.4,21.1,123.2,42.1,92.6,28.2,53.2,13.9,39.5,18.7,24.7,12.0,31.4,43.4,26.9,9.1,5.7,15.6,20.9,116.7,6.43,-0.45,5.99,104.0,118.2,112.0,0.558,0.591,13.6,29.7,74.1,0.261,0.529,0.564,13.1,25.9,70.3,0.266
LAL,58,37,21,0.638,41.1,85.4,28.8,50.6,12.3,34.8,18.4,23.4,9.4,33.1,42.5,26.4,7.8,4.8,13.8,16.7,112.8,41.2,89.5,27.9,51.4,13.4,38.1,15.5,19.6,11.1,31.9,43.0,27.3,8.2,4.2,14.0,19.5,111.3,1.55,-0.2,1.36,97.9,115.1,113.5,0.553,0.59,12.6,22.8,74.9,0.274,0.535,0.567,12.5,25.1,77.2,0.218
LAC,59,32,27,0.542,40.7,86.7,28.5,52.6,12.2,34.1,17.1,21.5,10.7,33.3,44.1,24.8,9.8,4.5,15.8,18.6,110.7,39.4,85.8,26.1,48.0,13.3,37.8,16.5,21.4,10.1,32.3,42.4,25.3,9.3,4.5,15.6,17.7,108.6,2.15,0.09,2.25,98.2,112.2,110.0,0.54,0.576,14.2,24.9,76.8,0.248,0.537,0.57,14.1,23.2,75.1,0.249
IND,58,33,25,0.569,43.4,88.5,30.5,53.8,12.9,34.7,16.8,21.4,9.0,32.2,41.2,29.0,8.6,5.2,13.5,19.0,116.4,42.4,89.2,29.3,52.9,13.0,36.3,17.6,22.6,11.2,33.3,44.5,26.7,7.4,4.5,15.0,18.5,115.4,1.03,-0.55,0.49,99.8,116.1,115.0,0.563,0.595,12.1,21.2,74.2,0.241,0.548,0.582,13.2,25.8,78.8,0.254
