Rk,Team,Date,H/A,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
1,DEN,2025-02-10,,POR,"W, 146-117",240,60,91,.659,52,66,.788,8,25,.320,18,20,.900,146,40,88,.455,25,51,.490,15,37,.405,22,26,.846,117
2,IND,2025-03-27,@,WAS,"W, 162-109",240,59,92,.641,32,45,.711,27,47,.574,17,19,.895,162,38,85,.447,27,55,.491,11,30,.367,22,26,.846,109
3,MEM,2024-12-26,,TOR,"W, 155-126",240,58,109,.532,40,64,.625,18,45,.400,21,29,.724,155,49,108,.454,35,65,.538,14,43,.326,14,18,.778,126
4,SAS,2025-01-23,@,IND,"W, 140-110",240,58,96,.604,40,60,.667,18,36,.500,6,6,1.000,140,44,97,.454,31,54,.574,13,43,.302,9,12,.750,110
5,DEN,2025-03-07,,PHO,"W, 149-141 (OT)",265,57,97,.588,36,57,.632,21,40,.525,14,18,.778,149,51,91,.560,35,53,.660,16,38,.421,23,29,.793,141
6,DEN,2025-02-05,,NOP,"W, 144-119",240,57,100,.570,41,57,.719,16,43,.372,14,15,.933,144,43,93,.462,33,64,.516,10,29,.345,23,26,.885,119
7,OKC,2025-02-01,,SAC,"W, 144-110",240,57,107,.533,38,61,.623,19,46,.413,11,16,.688,144,40,100,.400,29,56,.518,11,44,.250,19,26,.731,110
8,SAC,2024-12-08,,UTA,"W, 141-97",240,57,100,.570,35,56,.625,22,44,.500,5,8,.625,141,31,80,.388,16,38,.421,15,42,.357,20,21,.952,97
9,CHI,2025-03-22,@,LAL,"W, 146-115",240,56,96,.583,37,55,.673,19,41,.463,15,20,.750,146,41,85,.482,24,44,.545,17,41,.415,16,22,.727,115
10,CLE,2025-02-21,,NYK,"W, 142-105",240,56,92,.609,37,55,.673,19,37,.514,11,15,.733,142,42,89,.472,32,61,.525,10,28,.357,11,18,.611,105
11,CLE,2024-10-30,,LAL,"W, 134-110",240,56,97,.577,39,56,.696,17,41,.415,5,8,.625,134,38,77,.494,32,49,.653,6,28,.214,28,33,.848,110
12,DEN,2024-12-08,@,ATL,"W, 141-111",240,56,89,.629,44,62,.710,12,27,.444,17,24,.708,141,41,101,.406,32,61,.525,9,40,.225,20,27,.741,111
13,GSW,2025-03-30,@,SAS,"W, 148-106",240,56,97,.577,35,53,.660,21,44,.477,15,19,.789,148,40,84,.476,24,42,.571,16,42,.381,10,16,.625,106
14,HOU,2025-04-02,,UTA,"W, 143-105",240,56,104,.538,37,59,.627,19,45,.422,12,19,.632,143,40,94,.426,30,54,.556,10,40,.250,15,23,.652,105
15,HOU,2025-03-30,@,PHO,"W, 148-109",240,56,98,.571,38,67,.567,18,31,.581,18,25,.720,148,42,87,.483,32,55,.582,10,32,.313,15,17,.882,109
16,MEM,2025-01-24,,NOP,"W, 139-126",240,56,101,.554,37,59,.627,19,42,.452,8,8,1.000,139,45,83,.542,31,49,.633,14,34,.412,22,32,.688,126
17,NYK,2025-01-27,,MEM,"W, 143-106",240,56,108,.519,39,64,.609,17,44,.386,14,18,.778,143,41,91,.451,32,67,.478,9,24,.375,15,17,.882,106
18,NYK,2024-11-25,@,DEN,"W, 145-118",240,56,92,.609,37,56,.661,19,36,.528,14,16,.875,145,41,92,.446,30,59,.508,11,33,.333,25,27,.926,118
19,ATL,2025-03-03,@,MEM,"W, 132-130",240,55,96,.573,42,68,.618,13,28,.464,9,17,.529,132,47,93,.505,34,60,.567,13,33,.394,23,25,.920,130
20,ATL,2025-02-12,@,NYK,"L, 148-149 (OT)",265,55,110,.500,41,72,.569,14,38,.368,24,35,.686,148,54,94,.574,43,68,.632,11,26,.423,30,37,.811,149
21,DET,2025-02-23,@,ATL,"W, 148-143",240,55,93,.591,35,53,.660,20,40,.500,18,25,.720,148,48,96,.500,27,51,.529,21,45,.467,26,36,.722,143
22,HOU,2025-03-08,,NOP,"W, 146-117",240,55,99,.556,38,59,.644,17,40,.425,19,21,.905,146,48,99,.485,36,65,.554,12,34,.353,9,16,.563,117
23,HOU,2024-11-17,@,CHI,"W, 143-107",240,55,105,.524,45,71,.634,10,34,.294,23,32,.719,143,36,107,.336,22,51,.431,14,56,.250,21,22,.955,107
24,MEM,2025-01-17,@,SAS,"W, 140-112",240,55,97,.567,36,53,.679,19,44,.432,11,15,.733,140,40,84,.476,27,48,.563,13,36,.361,19,23,.826,112
25,MEM,2024-11-23,@,CHI,"W, 142-131",240,55,96,.573,36,54,.667,19,42,.452,13,20,.650,142,49,97,.505,30,55,.545,19,42,.452,14,19,.737,131
26,OKC,2025-03-02,@,SAS,"W, 146-132",240,55,101,.545,36,57,.632,19,44,.432,17,20,.850,146,51,91,.560,33,48,.688,18,43,.419,12,16,.750,132
27,CLE,2025-01-29,@,MIA,"W, 126-106",240,54,100,.540,41,58,.707,13,42,.310,5,6,.833,126,39,83,.470,24,40,.600,15,43,.349,13,15,.867,106
28,CLE,2024-12-27,@,DEN,"W, 149-135",240,54,96,.563,31,48,.646,23,48,.479,18,22,.818,149,53,94,.564,38,63,.603,15,31,.484,14,18,.778,135
29,DEN,2025-01-31,@,PHI,"W, 137-134",240,54,82,.659,42,59,.712,12,23,.522,17,18,.944,137,50,90,.556,29,50,.580,21,40,.525,13,16,.813,134
30,DET,2025-02-02,,CHI,"W, 127-119",240,54,99,.545,44,69,.638,10,30,.333,9,13,.692,127,41,89,.461,22,37,.595,19,52,.365,18,20,.900,119
31,HOU,2025-03-14,,DAL,"W, 133-96",240,54,105,.514,39,74,.527,15,31,.484,10,12,.833,133,39,94,.415,31,72,.431,8,22,.364,10,12,.833,96
32,HOU,2024-11-06,,SAS,"W, 127-100",240,54,96,.563,44,69,.638,10,27,.370,9,15,.600,127,37,83,.446,23,47,.489,14,36,.389,12,16,.750,100
33,IND,2024-11-04,@,DAL,"W, 134-127",240,54,95,.568,41,63,.651,13,32,.406,13,20,.650,134,46,89,.517,31,53,.585,15,36,.417,20,25,.800,127
34,NYK,2025-02-12,,ATL,"W, 149-148 (OT)",265,54,94,.574,43,68,.632,11,26,.423,30,37,.811,149,55,110,.500,41,72,.569,14,38,.368,24,35,.686,148
35,OKC,2025-03-21,,CHO,"W, 141-106",240,54,94,.574,33,55,.600,21,39,.538,12,17,.706,141,37,80,.463,18,39,.462,19,41,.463,13,13,1.000,106
36,ATL,2025-03-10,,PHI,"W, 132-123",240,53,98,.541,38,61,.623,15,37,.405,11,14,.786,132,46,91,.505,30,49,.612,16,42,.381,15,20,.750,123
37,CHI,2025-01-10,,WAS,"W, 138-105",240,53,95,.558,30,46,.652,23,49,.469,9,14,.643,138,39,98,.398,21,52,.404,18,46,.391,9,13,.692,105
38,CHI,2024-12-26,@,ATL,"L, 133-141",240,53,98,.541,31,55,.564,22,43,.512,5,6,.833,133,46,89,.517,29,44,.659,17,45,.378,32,34,.941,141
39,CLE,2025-02-02,,DAL,"W, 144-101",240,53,93,.570,27,48,.563,26,45,.578,12,16,.750,144,40,103,.388,31,60,.517,9,43,.209,12,15,.800,101
40,CLE,2025-01-30,,ATL,"W, 137-115",240,53,91,.582,40,52,.769,13,39,.333,18,20,.900,137,41,90,.456,28,51,.549,13,39,.333,20,27,.741,115
41,DEN,2025-02-24,@,IND,"W, 125-116",240,53,94,.564,45,73,.616,8,21,.381,11,14,.786,125,40,85,.471,26,42,.619,14,43,.326,22,27,.815,116
42,DEN,2025-01-01,,ATL,"W, 139-120",240,53,94,.564,41,64,.641,12,30,.400,21,21,1.000,139,45,100,.450,29,54,.537,16,46,.348,14,21,.667,120
43,DEN,2024-12-30,@,UTA,"W, 132-121",240,53,105,.505,44,75,.587,9,30,.300,17,19,.895,132,44,86,.512,31,48,.646,13,38,.342,20,22,.909,121
44,DEN,2024-12-27,,CLE,"L, 135-149",240,53,94,.564,38,63,.603,15,31,.484,14,18,.778,135,54,96,.563,31,48,.646,23,48,.479,18,22,.818,149
45,GSW,2025-01-02,,PHI,"W, 139-105",240,53,87,.609,31,48,.646,22,39,.564,11,15,.733,139,34,81,.420,25,50,.500,9,31,.290,28,34,.824,105
46,IND,2025-01-25,@,SAS,"W, 136-98",240,53,102,.520,36,63,.571,17,39,.436,13,14,.929,136,35,85,.412,24,53,.453,11,32,.344,17,25,.680,98
47,LAC,2025-01-04,,ATL,"W, 131-105",240,53,96,.552,40,60,.667,13,36,.361,12,17,.706,131,38,88,.432,22,42,.524,16,46,.348,13,17,.765,105
48,MEM,2024-12-19,,GSW,"W, 144-93",240,53,98,.541,26,50,.520,27,48,.563,11,15,.733,144,32,90,.356,20,54,.370,12,36,.333,17,24,.708,93
