Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
WAS,BOS,2024-10-24,L,H,102,122,240,41,95,0.432,34,59,0.576,7,36,0.194,13,18,0.722,42,90,0.467,25,45,0.556,17,45,0.378,21,27,0.778,10,30,40,12,37,49,27,9,6,15,19,21,7,3,14,19,99.5,119.0,0.189,0.379,0.496,0.468,0.137,119.0,99.5,0.3,0.5,0.599,0.561,0.233,21.3,71.4,55.1,28.6,78.7,55.1,65.9,8.8,13.3,12.7,50.0,6.8,5.1,12.1,5.0,2.0,102.50195,102.50195,102.50195
WAS,CLE,2024-10-26,L,H,116,135,240,37,96,0.385,22,53,0.415,15,43,0.349,27,32,0.844,47,88,0.534,29,49,0.592,18,39,0.462,23,34,0.676,18,28,46,11,37,48,25,6,9,15,25,27,13,10,17,27,110.8,129.0,0.333,0.448,0.527,0.464,0.281,129.0,110.8,0.386,0.443,0.656,0.636,0.261,32.7,71.8,51.1,28.2,67.3,51.1,67.6,5.7,18.4,12.0,57.4,12.4,18.9,14.2,2.0,1.0,104.69257499999999,104.69257499999999,104.69257499999999
WAS,ATL,2024-10-28,W,A,121,119,240,41,91,0.451,20,47,0.426,21,44,0.477,18,22,0.818,39,81,0.481,24,41,0.585,15,40,0.375,26,36,0.722,9,34,43,6,33,39,24,7,3,18,25,32,12,7,16,22,114.7,112.8,0.242,0.484,0.601,0.566,0.198,112.8,114.7,0.444,0.494,0.614,0.574,0.321,21.4,85.0,47.6,15.0,78.6,47.6,58.5,6.6,7.3,15.2,82.1,11.4,14.9,14.2,2.0,1.0,105.505,105.505,105.505
WAS,ATL,2024-10-30,W,H,133,120,240,47,89,0.528,31,51,0.608,16,38,0.421,23,25,0.92,45,95,0.474,33,56,0.589,12,39,0.308,18,21,0.857,6,31,37,12,29,41,32,10,5,16,21,28,10,3,17,19,125.0,112.8,0.281,0.427,0.665,0.618,0.258,112.8,125.0,0.221,0.411,0.576,0.537,0.189,17.1,72.1,52.6,27.9,82.9,52.6,68.1,9.4,8.9,13.8,62.2,9.4,5.9,14.0,2.0,2.0,106.39438,106.39438,106.39438
WAS,MIA,2024-11-02,L,H,98,118,240,38,91,0.418,31,56,0.554,7,35,0.2,15,21,0.714,43,102,0.422,28,65,0.431,15,37,0.405,17,24,0.708,8,36,44,21,44,65,23,12,10,12,22,19,6,3,14,18,95.6,115.1,0.231,0.385,0.489,0.456,0.165,115.1,95.6,0.235,0.363,0.524,0.495,0.167,15.4,63.2,59.6,36.8,84.6,59.6,60.5,11.7,15.4,10.7,44.2,5.9,5.4,11.1,3.0,3.0,102.51741,102.51741,102.51741
WAS,GSW,2024-11-04,L,H,112,125,240,42,96,0.438,32,53,0.604,10,43,0.233,18,21,0.857,44,97,0.454,32,60,0.533,12,37,0.324,25,34,0.735,8,39,47,16,40,56,29,4,8,10,23,29,5,7,7,20,108.8,121.4,0.219,0.448,0.532,0.49,0.188,121.4,108.8,0.351,0.381,0.558,0.515,0.258,16.7,70.9,54.4,29.1,83.3,54.4,69.0,3.9,13.3,8.7,65.9,4.9,13.2,5.9,2.0,2.0,102.924065,102.924065,102.924065
WAS,MEM,2024-11-08,L,A,104,128,240,38,93,0.409,29,58,0.5,9,35,0.257,19,23,0.826,46,97,0.474,32,54,0.593,14,43,0.326,22,25,0.88,11,30,41,13,37,50,27,14,8,18,27,30,10,10,19,19,96.2,118.4,0.247,0.376,0.504,0.457,0.204,118.4,96.2,0.258,0.443,0.593,0.546,0.227,22.9,69.8,54.9,30.2,77.1,54.9,71.1,13.0,14.8,14.9,65.2,9.3,17.2,15.0,4.0,2.0,108.121605,108.121605,108.121605
WAS,ORL,2024-11-10,L,A,94,121,240,33,72,0.458,23,39,0.59,10,33,0.303,18,25,0.72,41,91,0.451,24,43,0.558,17,48,0.354,22,25,0.88,7,30,37,15,29,44,20,4,7,17,25,25,6,5,12,21,101.0,130.1,0.347,0.458,0.566,0.528,0.25,130.1,101.0,0.275,0.527,0.593,0.544,0.242,19.4,66.7,54.3,33.3,80.6,54.3,60.6,4.3,16.3,17.0,61.0,6.4,12.8,10.5,2.0,2.0,93.04444000000001,93.04444000000001,93.04444000000001
WAS,HOU,2024-11-11,L,A,92,107,240,36,88,0.409,25,57,0.439,11,31,0.355,9,13,0.692,40,87,0.46,35,64,0.547,5,23,0.217,22,25,0.88,8,26,34,17,41,58,21,14,5,19,17,13,12,10,21,17,91.4,106.3,0.148,0.352,0.491,0.472,0.102,106.3,91.4,0.287,0.264,0.546,0.489,0.253,16.3,60.5,63.0,39.5,83.7,63.0,58.3,13.9,7.8,16.9,32.5,11.9,17.5,17.6,1.0,1.0,100.63306499999999,100.63306499999999,100.63306499999999
WAS,SAS,2024-11-13,L,A,130,139,240,49,95,0.516,31,51,0.608,18,44,0.409,14,16,0.875,48,92,0.522,30,48,0.625,18,44,0.409,25,32,0.781,11,30,41,8,31,39,27,5,5,18,23,38,7,7,9,15,123.6,132.1,0.168,0.463,0.637,0.611,0.147,132.1,123.6,0.348,0.478,0.655,0.62,0.272,26.2,78.9,48.8,21.1,73.8,48.8,55.1,4.8,10.4,15.0,79.2,6.7,13.7,7.8,2.0,2.0,105.18524,105.18524,105.18524
