Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
BRK,ATL,2024-10-23,L,A,116,120,240,40,91,0.44,23,48,0.479,17,43,0.395,19,25,0.76,39,80,0.488,30,52,0.577,9,28,0.321,33,46,0.717,12,31,43,12,33,45,21,8,6,19,32,25,12,9,16,20,111.8,115.6,0.275,0.473,0.569,0.533,0.209,115.6,111.8,0.575,0.35,0.599,0.544,0.413,26.7,72.1,51.1,27.9,73.3,51.1,52.5,7.7,11.5,15.7,64.1,11.6,18.8,13.8,5.0,5.0,103.79504,103.79504,103.79504
CHO,ATL,2024-10-25,L,A,120,125,240,37,96,0.385,16,45,0.356,21,51,0.412,25,31,0.806,39,81,0.481,25,43,0.581,14,38,0.368,33,38,0.868,22,31,53,7,32,39,22,7,4,18,28,25,11,9,14,28,118.5,123.4,0.323,0.531,0.547,0.495,0.26,123.4,118.5,0.469,0.469,0.64,0.568,0.407,40.7,81.6,42.4,18.4,59.3,42.4,59.5,6.9,9.3,14.1,64.1,10.9,20.0,12.5,2.0,2.0,101.318565,101.318565,101.318565
OKC,ATL,2024-10-27,W,H,128,104,240,44,89,0.494,28,49,0.571,16,40,0.4,24,32,0.75,36,91,0.396,26,60,0.433,10,31,0.323,22,29,0.759,11,34,45,17,32,49,26,13,12,10,23,24,7,4,20,23,126.4,102.7,0.36,0.449,0.621,0.584,0.27,102.7,126.4,0.319,0.341,0.501,0.451,0.242,25.6,66.7,52.1,33.3,74.4,52.1,59.1,12.8,20.0,8.8,66.7,6.9,8.2,16.2,1.0,2.0,101.238275,101.238275,101.238275
WAS,ATL,2024-10-28,W,A,121,119,240,41,91,0.451,20,47,0.426,21,44,0.477,18,22,0.818,39,81,0.481,24,41,0.585,15,40,0.375,26,36,0.722,9,34,43,6,33,39,24,7,3,18,25,32,12,7,16,22,114.7,112.8,0.242,0.484,0.601,0.566,0.198,112.8,114.7,0.444,0.494,0.614,0.574,0.321,21.4,85.0,47.6,15.0,78.6,47.6,58.5,6.6,7.3,15.2,82.1,11.4,14.9,14.2,2.0,1.0,105.505,105.505,105.505
WAS,ATL,2024-10-30,W,H,133,120,240,47,89,0.528,31,51,0.608,16,38,0.421,23,25,0.92,45,95,0.474,33,56,0.589,12,39,0.308,18,21,0.857,6,31,37,12,29,41,32,10,5,16,21,28,10,3,17,19,125.0,112.8,0.281,0.427,0.665,0.618,0.258,112.8,125.0,0.221,0.411,0.576,0.537,0.189,17.1,72.1,52.6,27.9,82.9,52.6,68.1,9.4,8.9,13.8,62.2,9.4,5.9,14.0,2.0,2.0,106.39438,106.39438,106.39438
SAC,ATL,2024-11-01,W,A,123,115,240,43,89,0.483,32,56,0.571,11,33,0.333,26,30,0.867,41,92,0.446,22,42,0.524,19,50,0.38,14,18,0.778,10,41,51,8,32,40,28,9,4,14,21,30,8,4,13,22,119.1,111.3,0.337,0.371,0.602,0.545,0.292,111.3,119.1,0.196,0.543,0.575,0.549,0.152,23.8,83.7,44.0,16.3,76.2,44.0,65.1,8.7,9.5,12.0,73.2,7.7,7.1,11.5,3.0,2.0,103.295365,103.295365,103.295365
NOP,ATL,2024-11-03,L,H,111,126,240,39,90,0.433,23,52,0.442,16,38,0.421,17,20,0.85,50,88,0.568,35,52,0.673,15,36,0.417,11,12,0.917,18,25,43,10,31,41,22,6,3,18,16,29,10,3,16,17,114.9,130.5,0.222,0.422,0.562,0.522,0.189,130.5,114.9,0.136,0.409,0.675,0.653,0.125,36.7,71.4,48.8,28.6,63.3,48.8,56.4,6.2,5.8,15.4,58.0,10.4,5.8,14.6,2.0,2.0,96.572025,96.572025,96.572025
BOS,ATL,2024-11-04,W,A,123,93,240,48,99,0.485,30,44,0.682,18,55,0.327,9,13,0.692,37,89,0.416,31,58,0.534,6,31,0.194,13,16,0.813,11,39,50,8,35,43,27,15,7,13,14,23,9,3,20,13,117.1,88.5,0.131,0.556,0.587,0.576,0.091,88.5,117.1,0.18,0.348,0.484,0.449,0.146,23.9,83.0,46.2,17.0,76.1,46.2,56.3,14.3,12.1,11.0,62.2,8.6,6.8,17.2,2.0,1.0,105.049485,105.049485,105.049485
NYK,ATL,2024-11-06,L,A,116,121,240,41,84,0.488,19,37,0.514,22,47,0.468,12,15,0.8,45,100,0.45,30,62,0.484,15,38,0.395,16,22,0.727,7,34,41,16,32,48,29,5,5,16,18,31,12,4,8,14,118.5,123.7,0.179,0.56,0.64,0.619,0.143,123.7,118.5,0.22,0.38,0.552,0.525,0.16,17.9,68.0,53.9,32.0,82.1,53.9,70.7,5.1,8.1,15.0,68.9,12.3,10.8,6.8,2.0,2.0,97.866105,97.866105,97.866105
DET,ATL,2024-11-08,W,H,122,121,240,44,86,0.512,31,53,0.585,13,33,0.394,21,31,0.677,44,97,0.454,29,61,0.475,15,36,0.417,18,23,0.783,11,34,45,15,29,44,27,7,8,21,18,30,12,7,18,21,114.1,113.1,0.36,0.384,0.612,0.587,0.244,113.1,114.1,0.237,0.371,0.565,0.531,0.186,27.5,69.4,49.4,30.6,72.5,49.4,61.4,6.5,13.1,17.4,68.2,11.2,13.2,14.4,2.0,2.0,106.94412,106.94412,106.94412
