Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
NYK,BOS,2024-10-22,L,A,109,132,240,43,78,0.551,32,48,0.667,11,30,0.367,12,16,0.75,48,95,0.505,19,34,0.559,29,61,0.475,7,8,0.875,5,29,34,11,29,40,20,2,3,12,12,33,6,3,4,15,121.6,147.3,0.205,0.385,0.641,0.622,0.154,147.3,121.6,0.084,0.642,0.67,0.658,0.074,14.7,72.5,54.1,27.5,85.3,54.1,46.5,2.2,8.8,12.4,68.8,6.7,6.3,3.9,5.0,5.0,89.63255000000001,89.63255000000001,89.63255000000001
WAS,BOS,2024-10-24,L,H,102,122,240,41,95,0.432,34,59,0.576,7,36,0.194,13,18,0.722,42,90,0.467,25,45,0.556,17,45,0.378,21,27,0.778,10,30,40,12,37,49,27,9,6,15,19,21,7,3,14,19,99.5,119.0,0.189,0.379,0.496,0.468,0.137,119.0,99.5,0.3,0.5,0.599,0.561,0.233,21.3,71.4,55.1,28.6,78.7,55.1,65.9,8.8,13.3,12.7,50.0,6.8,5.1,12.1,5.0,2.0,102.50195,102.50195,102.50195
DET,BOS,2024-10-26,L,H,118,124,240,43,88,0.489,29,49,0.592,14,39,0.359,18,22,0.818,38,90,0.422,16,42,0.381,22,48,0.458,26,30,0.867,9,35,44,13,24,37,27,4,7,15,22,19,10,6,10,16,120.7,126.8,0.25,0.443,0.604,0.568,0.205,126.8,120.7,0.333,0.533,0.601,0.544,0.289,27.3,72.9,45.7,27.1,72.7,45.7,62.8,4.1,16.7,13.3,50.0,10.2,12.2,8.8,1.0,2.0,97.788305,97.788305,97.788305
MIL,BOS,2024-10-28,L,A,108,119,240,37,82,0.451,29,51,0.569,8,31,0.258,26,31,0.839,43,87,0.494,25,40,0.625,18,47,0.383,15,19,0.789,8,35,43,4,34,38,18,7,6,17,24,24,5,5,14,18,104.9,115.5,0.378,0.378,0.565,0.5,0.317,115.5,104.9,0.218,0.54,0.624,0.598,0.172,19.0,89.7,46.9,10.3,81.0,46.9,48.6,6.8,15.0,15.1,55.8,4.9,9.8,12.8,1.0,2.0,103.00113,103.00113,103.00113
IND,BOS,2024-10-30,W,H,135,132,265,50,104,0.481,35,66,0.53,15,38,0.395,20,24,0.833,44,109,0.404,25,52,0.481,19,57,0.333,25,31,0.806,16,41,57,18,33,51,33,10,5,19,26,23,11,5,14,19,118.5,115.8,0.231,0.365,0.589,0.553,0.192,115.8,118.5,0.284,0.523,0.538,0.491,0.229,32.7,69.5,47.2,30.5,67.3,47.2,66.0,8.8,9.6,14.2,52.3,9.7,7.6,10.2,2.0,2.0,113.946595,103.1969162264151,103.1969162264151
CHO,BOS,2024-11-01,L,H,109,124,240,42,91,0.462,23,43,0.535,19,48,0.396,6,12,0.5,41,86,0.477,28,44,0.636,13,42,0.31,29,35,0.829,12,30,42,11,30,41,20,5,5,16,26,21,12,5,10,13,112.4,127.9,0.132,0.527,0.566,0.566,0.066,127.9,112.4,0.407,0.488,0.611,0.552,0.337,28.6,73.2,49.4,26.8,71.4,49.4,47.6,5.2,11.4,14.3,51.2,12.4,11.6,9.0,2.0,2.0,96.95041,96.95041,96.95041
CHO,BOS,2024-11-02,L,H,103,113,240,40,91,0.44,23,49,0.469,17,42,0.405,6,9,0.667,36,82,0.439,20,30,0.667,16,52,0.308,25,28,0.893,7,27,34,8,36,44,24,10,1,13,25,23,4,4,15,17,105.3,115.5,0.099,0.462,0.542,0.533,0.066,115.5,105.3,0.341,0.634,0.599,0.537,0.305,16.3,77.1,56.4,22.9,83.7,56.4,60.0,10.2,3.3,12.0,63.9,4.1,8.2,13.7,1.0,1.0,97.816855,97.816855,97.816855
ATL,BOS,2024-11-04,L,H,93,123,240,37,89,0.416,31,58,0.534,6,31,0.194,13,16,0.813,48,99,0.485,30,44,0.682,18,55,0.327,9,13,0.692,8,35,43,11,39,50,23,9,3,20,13,27,15,7,13,14,88.5,117.1,0.18,0.348,0.484,0.449,0.146,117.1,88.5,0.131,0.556,0.587,0.576,0.091,17.0,76.1,53.8,23.9,83.0,53.8,62.2,8.6,6.8,17.2,56.3,14.3,12.1,11.0,1.0,2.0,105.049485,105.049485,105.049485
GSW,BOS,2024-11-06,W,A,118,112,240,42,91,0.462,28,57,0.491,14,34,0.412,20,24,0.833,38,90,0.422,19,36,0.528,19,54,0.352,17,21,0.81,15,38,53,13,34,47,22,6,5,11,19,22,5,3,12,18,123.1,116.8,0.264,0.374,0.581,0.538,0.22,116.8,123.1,0.233,0.6,0.564,0.528,0.189,30.6,74.5,47.0,25.5,69.4,47.0,52.4,6.3,13.9,9.8,57.9,5.2,5.3,10.8,2.0,2.0,95.88411,95.88411,95.88411
BRK,BOS,2024-11-08,L,A,104,108,265,41,100,0.41,31,62,0.5,10,38,0.263,12,15,0.8,39,90,0.433,25,37,0.676,14,53,0.264,16,19,0.842,12,39,51,4,35,39,24,6,3,13,22,23,7,9,13,15,99.8,103.6,0.15,0.38,0.488,0.46,0.12,103.6,99.8,0.211,0.589,0.549,0.511,0.178,25.5,90.7,43.3,9.3,74.5,43.3,58.5,5.8,8.1,10.9,59.0,6.7,14.5,11.7,4.0,2.0,104.21341999999999,94.38196528301886,94.38196528301886
MIL,BOS,2024-11-10,L,H,107,113,240,39,81,0.481,26,49,0.531,13,32,0.406,16,21,0.762,35,86,0.407,16,36,0.444,19,50,0.38,24,27,0.889,5,36,41,8,34,42,21,9,8,13,18,27,5,2,12,16,109.5,115.6,0.259,0.395,0.593,0.562,0.198,115.6,109.5,0.314,0.581,0.577,0.517,0.279,12.8,81.8,50.6,18.2,87.2,50.6,53.8,9.2,22.2,12.6,77.1,5.1,4.1,10.9,2.0,2.0,97.75797,97.75797,97.75797
ATL,BOS,2024-11-12,W,A,117,116,240,50,99,0.505,40,67,0.597,10,32,0.313,7,13,0.538,38,75,0.507,20,30,0.667,18,45,0.4,22,27,0.815,19,25,44,6,28,34,35,16,2,16,17,28,7,5,20,12,118.7,117.7,0.131,0.323,0.559,0.556,0.071,117.7,118.7,0.36,0.6,0.668,0.627,0.293,40.4,80.6,43.6,19.4,59.6,43.6,70.0,16.2,6.7,13.3,73.7,7.1,7.5,18.7,3.0,2.0,98.56891,98.56891,98.56891
BRK,BOS,2024-11-13,L,H,114,139,240,40,79,0.506,21,36,0.583,19,43,0.442,15,18,0.833,50,93,0.538,28,47,0.596,22,46,0.478,17,24,0.708,3,31,34,12,33,45,26,4,3,13,20,35,7,6,8,17,117.8,143.7,0.228,0.544,0.656,0.627,0.19,143.7,117.8,0.258,0.495,0.671,0.656,0.183,8.3,72.1,57.0,27.9,91.7,57.0,65.0,4.1,6.4,13.0,70.0,7.2,16.7,7.2,2.0,1.0,96.74981,96.74981,96.74981
TOR,BOS,2024-11-16,L,A,123,126,265,50,98,0.51,41,75,0.547,9,23,0.391,14,21,0.667,44,99,0.444,23,38,0.605,21,61,0.344,17,19,0.895,15,31,46,14,28,42,35,3,2,9,19,30,2,6,9,20,126.3,129.4,0.214,0.235,0.573,0.556,0.143,129.4,126.3,0.192,0.616,0.587,0.551,0.172,34.9,68.9,47.7,31.1,65.1,47.7,70.0,3.1,5.3,7.7,68.2,2.1,8.0,7.7,1.0,3.0,97.386505,88.19909886792453,88.19909886792453
CLE,BOS,2024-11-19,L,A,117,120,240,46,93,0.495,36,64,0.563,10,29,0.345,15,17,0.882,44,86,0.512,22,45,0.489,22,41,0.537,10,14,0.714,12,29,41,9,33,42,30,4,3,7,15,32,4,4,13,19,124.9,128.1,0.183,0.312,0.582,0.548,0.161,128.1,124.9,0.163,0.477,0.651,0.64,0.116,26.7,76.3,50.6,23.7,73.3,50.6,65.2,4.3,6.7,6.5,72.7,4.3,6.3,12.4,2.0,3.0,93.660895,93.660895,93.660895
WAS,BOS,2024-11-22,L,H,96,108,240,39,90,0.433,32,62,0.516,7,28,0.25,11,16,0.688,36,85,0.424,25,39,0.641,11,46,0.239,25,32,0.781,10,38,48,10,33,43,19,6,4,20,29,22,11,7,12,19,94.8,106.6,0.178,0.311,0.495,0.472,0.122,106.6,94.8,0.376,0.541,0.545,0.488,0.294,23.3,79.2,47.3,20.8,76.7,47.3,48.7,5.9,10.3,17.1,61.1,10.9,11.3,10.8,4.0,3.0,101.289875,101.289875,101.289875
MIN,BOS,2024-11-24,L,A,105,107,240,37,88,0.42,22,47,0.468,15,41,0.366,16,21,0.762,37,87,0.425,16,31,0.516,21,56,0.375,12,15,0.8,11,38,49,8,32,40,19,2,1,8,18,25,5,7,7,23,115.9,118.1,0.239,0.466,0.54,0.506,0.182,118.1,115.9,0.172,0.644,0.572,0.546,0.138,25.6,82.6,44.9,17.4,74.4,44.9,51.4,2.2,3.2,7.6,67.6,5.5,14.9,7.0,3.0,2.0,90.56054,90.56054,90.56054
LAC,BOS,2024-11-25,L,A,94,126,240,39,90,0.433,32,64,0.5,7,26,0.269,9,13,0.692,45,88,0.511,23,37,0.622,22,51,0.431,14,20,0.7,10,34,44,8,39,47,18,8,3,14,12,33,10,11,11,12,95.8,128.4,0.144,0.289,0.491,0.472,0.1,128.4,95.8,0.227,0.58,0.651,0.636,0.159,20.4,81.0,51.6,19.0,79.6,51.6,46.2,8.2,8.1,12.8,73.3,10.2,17.2,10.2,1.0,1.0,98.16291000000001,98.16291000000001,98.16291000000001
CHI,BOS,2024-11-29,L,H,129,138,240,48,93,0.516,28,42,0.667,20,51,0.392,13,16,0.813,49,98,0.5,26,44,0.591,23,54,0.426,17,23,0.739,5,38,43,11,40,51,28,7,2,8,17,24,6,2,9,13,125.0,133.7,0.172,0.548,0.645,0.624,0.14,133.7,125.0,0.235,0.551,0.638,0.617,0.173,11.1,77.6,54.3,22.4,88.9,54.3,58.3,6.8,4.5,7.4,49.0,5.8,4.8,7.7,2.0,4.0,103.255515,103.255515,103.255515
CLE,BOS,2024-12-01,W,H,115,111,240,39,80,0.488,22,44,0.5,17,36,0.472,20,25,0.8,38,95,0.4,21,46,0.457,17,49,0.347,18,19,0.947,6,38,44,10,36,46,22,5,7,18,20,17,11,6,11,19,113.5,109.6,0.313,0.45,0.632,0.594,0.25,109.6,113.5,0.2,0.516,0.537,0.489,0.189,14.3,79.2,51.1,20.8,85.7,51.1,56.4,4.9,15.2,16.5,44.7,10.9,13.6,9.6,2.0,2.0,101.320335,101.320335,101.320335
MIA,BOS,2024-12-02,L,A,89,108,240,31,87,0.356,23,52,0.442,8,35,0.229,19,23,0.826,39,89,0.438,20,34,0.588,19,55,0.345,11,13,0.846,11,33,44,14,40,54,24,6,1,10,11,25,5,9,17,20,94.4,114.6,0.264,0.402,0.458,0.402,0.218,114.6,94.4,0.146,0.618,0.57,0.545,0.124,21.6,70.2,55.1,29.8,78.4,55.1,77.4,6.4,2.9,9.3,64.1,5.3,17.3,15.2,1.0,1.0,94.25713999999999,94.25713999999999,94.25713999999999
DET,BOS,2024-12-04,L,A,120,130,240,43,84,0.512,23,45,0.511,20,39,0.513,14,18,0.778,45,94,0.479,24,41,0.585,21,53,0.396,19,25,0.76,8,26,34,14,29,43,27,10,5,19,21,30,11,7,16,14,118.6,128.5,0.214,0.464,0.653,0.631,0.167,128.5,118.6,0.266,0.564,0.619,0.59,0.202,21.6,65.0,55.8,35.0,78.4,55.8,62.8,9.9,12.2,17.1,66.7,10.9,15.6,13.2,1.0,2.0,101.18679,101.18679,101.18679
MIL,BOS,2024-12-06,L,A,105,111,240,40,94,0.426,29,65,0.446,11,29,0.379,14,17,0.824,40,87,0.46,23,34,0.676,17,53,0.321,14,16,0.875,12,39,51,7,34,41,16,4,2,9,16,27,5,6,6,18,112.6,119.1,0.181,0.309,0.517,0.484,0.149,119.1,112.6,0.184,0.609,0.59,0.557,0.161,26.1,84.8,44.6,15.2,73.9,44.6,40.0,4.3,5.9,8.1,67.5,5.4,9.2,6.0,2.0,2.0,93.23767000000001,93.23767000000001,93.23767000000001
MEM,BOS,2024-12-07,W,A,127,121,240,47,94,0.5,32,61,0.525,15,33,0.455,18,23,0.783,42,105,0.4,24,45,0.533,18,60,0.3,19,28,0.679,11,41,52,15,36,51,25,13,7,13,25,26,6,7,13,16,117.8,112.3,0.245,0.351,0.61,0.58,0.191,112.3,117.8,0.267,0.571,0.516,0.486,0.181,23.4,73.2,49.5,26.8,76.6,49.5,53.2,12.1,15.6,11.1,61.9,5.6,11.5,10.0,2.0,1.0,107.78313,107.78313,107.78313
DET,BOS,2024-12-12,L,A,99,123,240,42,98,0.429,35,61,0.574,7,37,0.189,8,10,0.8,46,90,0.511,26,42,0.619,20,48,0.417,11,13,0.846,9,34,43,8,43,51,27,8,4,8,12,34,6,4,14,9,99.1,123.1,0.102,0.378,0.483,0.464,0.082,123.1,99.1,0.144,0.533,0.642,0.622,0.122,17.3,81.0,54.3,19.0,82.7,54.3,64.3,8.0,9.5,7.2,73.9,6.0,6.6,12.8,5.0,5.0,99.94432,99.94432,99.94432
