Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
NOP,CHI,2024-10-23,W,H,123,111,240,45,97,0.464,31,60,0.517,14,37,0.378,19,21,0.905,42,86,0.488,32,52,0.615,10,34,0.294,17,25,0.68,7,35,42,9,38,47,29,15,10,12,17,26,4,2,21,16,113.8,102.7,0.216,0.381,0.579,0.536,0.196,102.7,113.8,0.291,0.395,0.572,0.547,0.198,15.6,79.5,52.8,20.5,84.4,52.8,64.4,13.9,19.2,10.1,61.9,3.7,3.3,17.8,5.0,5.0,108.03438,108.03438,108.03438
MIL,CHI,2024-10-25,L,H,122,133,240,46,93,0.495,33,53,0.623,13,40,0.325,17,25,0.68,46,96,0.479,25,49,0.51,21,47,0.447,20,23,0.87,8,39,47,9,37,46,24,5,3,15,14,30,10,4,10,17,113.9,124.2,0.269,0.43,0.587,0.565,0.183,124.2,113.9,0.24,0.49,0.627,0.589,0.208,17.8,81.3,49.5,18.8,82.2,49.5,52.2,4.7,6.1,12.6,65.2,9.3,7.5,8.6,2.0,2.0,107.09519,107.09519,107.09519
OKC,CHI,2024-10-26,W,A,114,95,240,45,107,0.421,37,67,0.552,8,40,0.2,16,20,0.8,32,92,0.348,17,39,0.436,15,53,0.283,16,22,0.727,9,45,54,11,50,61,21,15,5,10,18,23,6,2,26,19,99.5,82.9,0.187,0.374,0.492,0.458,0.15,82.9,99.5,0.239,0.576,0.467,0.429,0.174,15.3,80.4,53.0,19.6,84.7,53.0,46.7,13.1,12.8,7.9,71.9,5.2,3.0,20.4,2.0,1.0,114.53339,114.53339,114.53339
MEM,CHI,2024-10-28,L,H,123,126,240,51,111,0.459,37,68,0.544,14,43,0.326,7,13,0.538,45,100,0.45,20,47,0.426,25,53,0.472,11,17,0.647,18,42,60,11,39,50,37,5,9,10,21,36,5,6,9,15,117.4,120.3,0.117,0.387,0.527,0.523,0.063,120.3,117.4,0.17,0.53,0.586,0.575,0.11,31.6,79.2,45.5,20.8,68.4,45.5,72.5,4.8,19.1,7.9,80.0,4.8,8.8,7.7,2.0,2.0,104.73599999999999,104.73599999999999,104.73599999999999
ORL,CHI,2024-10-30,L,A,99,102,240,35,86,0.407,24,40,0.6,11,46,0.239,18,20,0.9,36,84,0.429,23,50,0.46,13,34,0.382,17,25,0.68,6,36,42,9,45,54,25,9,8,12,19,23,6,2,15,16,99.8,102.9,0.233,0.535,0.522,0.471,0.209,102.9,99.8,0.298,0.405,0.537,0.506,0.202,11.8,80.0,56.3,20.0,88.2,56.3,71.4,9.1,16.0,11.2,63.9,6.1,5.0,13.6,2.0,2.0,99.14437,99.14437,99.14437
BRK,CHI,2024-11-01,W,H,120,112,240,49,94,0.521,38,58,0.655,11,36,0.306,11,13,0.846,38,88,0.432,21,44,0.477,17,44,0.386,19,24,0.792,9,37,46,10,34,44,34,11,6,11,20,24,5,3,16,15,118.6,110.7,0.138,0.383,0.602,0.58,0.117,110.7,118.6,0.273,0.5,0.568,0.528,0.216,20.9,78.7,48.9,21.3,79.1,48.9,69.4,10.9,13.6,9.9,63.2,4.9,5.2,14.0,2.0,2.0,101.170575,101.170575,101.170575
UTA,CHI,2024-11-04,W,A,135,126,240,48,89,0.539,32,53,0.604,16,36,0.444,23,30,0.767,45,95,0.474,31,58,0.534,14,37,0.378,22,25,0.88,12,37,49,10,26,36,35,3,6,13,18,36,7,7,9,23,133.2,124.3,0.337,0.404,0.66,0.629,0.258,124.3,133.2,0.263,0.389,0.594,0.547,0.232,31.6,78.7,42.4,21.3,68.4,42.4,72.9,3.0,10.3,11.3,80.0,6.9,13.2,7.8,2.0,3.0,101.37079,101.37079,101.37079
DAL,CHI,2024-11-06,W,H,119,99,240,45,93,0.484,33,55,0.6,12,38,0.316,17,21,0.81,36,86,0.419,24,44,0.545,12,42,0.286,15,23,0.652,9,38,47,14,37,51,33,11,4,15,19,25,8,2,23,17,113.3,94.2,0.226,0.409,0.582,0.548,0.183,94.2,113.3,0.267,0.488,0.515,0.488,0.174,19.6,73.1,52.0,26.9,80.4,52.0,73.3,10.5,9.1,12.8,69.4,7.6,3.6,19.3,2.0,2.0,105.07097000000002,105.07097000000002,105.07097000000002
MIN,CHI,2024-11-07,W,A,135,119,240,51,93,0.548,35,55,0.636,16,38,0.421,17,17,1.0,47,88,0.534,32,52,0.615,15,36,0.417,10,15,0.667,10,30,40,10,22,32,29,7,4,14,17,30,9,4,13,20,137.9,121.6,0.183,0.409,0.672,0.634,0.183,121.6,137.9,0.17,0.409,0.629,0.619,0.114,31.3,75.0,44.4,25.0,68.8,44.4,56.9,7.2,7.7,12.2,63.8,9.2,7.3,12.1,3.0,1.0,97.88314,97.88314,97.88314
ATL,CHI,2024-11-09,L,H,113,125,240,41,89,0.461,32,60,0.533,9,29,0.31,22,30,0.733,46,92,0.5,33,53,0.623,13,39,0.333,20,23,0.87,10,29,39,13,34,47,31,8,5,14,19,30,12,6,18,18,109.0,120.6,0.337,0.326,0.553,0.511,0.247,120.6,109.0,0.25,0.424,0.612,0.571,0.217,22.7,69.0,54.7,31.0,77.3,54.7,75.6,7.7,9.4,12.0,65.2,11.6,10.0,15.0,1.0,2.0,103.64153999999999,103.64153999999999,103.64153999999999
CLE,CHI,2024-11-11,W,A,119,113,240,43,97,0.443,28,52,0.538,15,45,0.333,18,24,0.75,43,87,0.494,29,49,0.592,14,38,0.368,13,16,0.813,12,31,43,8,43,51,26,14,3,9,13,26,7,5,21,17,114.6,108.8,0.247,0.464,0.553,0.521,0.186,108.8,114.6,0.184,0.437,0.601,0.575,0.149,21.8,79.5,54.3,20.5,78.2,54.3,60.5,13.5,6.1,7.7,60.5,6.7,9.6,18.3,2.0,2.0,103.87628000000001,103.87628000000001,103.87628000000001
NYK,CHI,2024-11-13,L,H,123,124,240,48,94,0.511,33,57,0.579,15,37,0.405,12,18,0.667,44,82,0.537,30,46,0.652,14,36,0.389,22,27,0.815,10,30,40,7,33,40,31,7,3,15,17,31,10,6,18,17,118.3,119.3,0.191,0.394,0.603,0.59,0.128,119.3,118.3,0.329,0.439,0.66,0.622,0.268,23.3,81.1,50.0,18.9,76.7,50.0,64.6,6.7,6.5,12.8,70.5,9.6,10.5,16.1,1.0,2.0,103.92349999999999,103.92349999999999,103.92349999999999
CLE,CHI,2024-11-15,W,H,144,126,240,51,93,0.548,30,50,0.6,21,43,0.488,21,24,0.875,45,88,0.511,25,46,0.543,20,42,0.476,16,20,0.8,4,36,40,3,33,36,33,11,6,13,16,32,7,4,17,20,130.8,114.4,0.258,0.462,0.695,0.661,0.226,114.4,130.8,0.227,0.477,0.651,0.625,0.182,10.8,92.3,47.4,7.7,89.2,47.4,64.7,10.0,13.0,11.2,71.1,6.4,8.0,14.9,2.0,2.0,110.101855,110.101855,110.101855
HOU,CHI,2024-11-17,W,A,143,107,240,55,105,0.524,45,71,0.634,10,34,0.294,23,32,0.719,36,107,0.336,22,51,0.431,14,56,0.25,21,22,0.955,14,52,66,13,34,47,34,8,9,11,18,26,8,7,15,21,125.0,93.5,0.305,0.324,0.6,0.571,0.219,93.5,125.0,0.206,0.523,0.459,0.402,0.196,29.2,80.0,41.6,20.0,70.8,41.6,61.8,7.0,17.6,8.5,72.2,7.0,9.9,11.4,2.0,2.0,114.392,114.392,114.392
DET,CHI,2024-11-18,L,H,112,122,240,42,98,0.429,27,54,0.5,15,44,0.341,13,19,0.684,44,91,0.484,21,45,0.467,23,46,0.5,11,14,0.786,16,32,48,10,36,46,27,3,3,9,19,28,3,5,11,16,116.8,127.2,0.194,0.449,0.527,0.505,0.133,127.2,116.8,0.154,0.505,0.628,0.61,0.121,30.8,76.2,48.9,23.8,69.2,48.9,64.3,3.1,6.7,7.8,63.6,3.1,9.3,10.2,1.0,1.0,95.88781,95.88781,95.88781
MIL,CHI,2024-11-20,W,H,122,106,240,44,80,0.55,31,44,0.705,13,36,0.361,21,31,0.677,41,88,0.466,24,43,0.558,17,45,0.378,7,7,1.0,10,35,45,5,28,33,30,7,2,12,13,25,7,2,14,23,126.6,110.0,0.388,0.45,0.651,0.631,0.263,110.0,126.6,0.08,0.511,0.582,0.563,0.08,26.3,87.5,42.3,12.5,73.7,42.3,68.2,7.3,4.7,11.4,61.0,7.3,4.5,13.3,2.0,2.0,96.39149499999999,96.39149499999999,96.39149499999999
ATL,CHI,2024-11-22,L,A,122,136,240,49,107,0.458,39,73,0.534,10,34,0.294,14,19,0.737,49,86,0.57,30,43,0.698,19,43,0.442,19,21,0.905,14,28,42,5,36,41,32,11,4,11,16,36,8,10,19,17,113.2,126.1,0.178,0.318,0.529,0.505,0.131,126.1,113.2,0.244,0.5,0.714,0.68,0.221,28.0,84.8,49.4,15.2,72.0,49.4,65.3,10.2,9.3,8.7,73.5,7.4,13.7,16.6,2.0,2.0,107.80276,107.80276,107.80276
MEM,CHI,2024-11-23,W,A,142,131,240,55,96,0.573,36,54,0.667,19,42,0.452,13,20,0.65,49,97,0.505,30,55,0.545,19,42,0.452,14,19,0.737,13,36,49,10,25,35,38,5,4,14,18,29,4,8,11,14,136.9,126.3,0.208,0.438,0.677,0.672,0.135,126.3,136.9,0.196,0.433,0.622,0.603,0.144,34.2,78.3,41.7,21.7,65.8,41.7,69.1,4.8,7.3,11.8,59.2,3.9,14.8,9.5,3.0,1.0,103.72567,103.72567,103.72567
WAS,CHI,2024-11-26,L,H,108,127,240,39,91,0.429,29,54,0.537,10,37,0.27,20,31,0.645,47,94,0.5,33,54,0.611,14,40,0.35,19,22,0.864,5,38,43,8,42,50,27,7,3,14,18,29,6,4,11,22,99.8,117.3,0.341,0.407,0.516,0.484,0.22,117.3,99.8,0.234,0.426,0.612,0.574,0.202,10.6,82.6,53.8,17.4,89.4,53.8,69.2,6.5,5.6,11.8,61.7,5.5,7.4,9.6,2.0,3.0,108.27584999999999,108.27584999999999,108.27584999999999
ORL,CHI,2024-11-27,W,H,133,119,240,46,90,0.511,31,51,0.608,15,39,0.385,26,28,0.929,46,87,0.529,30,45,0.667,16,42,0.381,11,16,0.688,7,32,39,7,30,37,30,10,8,13,14,30,9,6,18,26,127.4,114.0,0.311,0.433,0.65,0.594,0.289,114.0,127.4,0.184,0.483,0.633,0.621,0.126,18.9,82.1,48.7,17.9,81.1,48.7,65.2,9.6,17.8,11.3,65.2,8.6,11.8,16.1,2.0,1.0,104.424575,104.424575,104.424575
BOS,CHI,2024-11-29,W,A,138,129,240,49,98,0.5,26,44,0.591,23,54,0.426,17,23,0.739,48,93,0.516,28,42,0.667,20,51,0.392,13,16,0.813,11,40,51,5,38,43,24,6,2,9,13,28,7,2,8,17,133.7,125.0,0.235,0.551,0.638,0.617,0.173,125.0,133.7,0.172,0.548,0.645,0.624,0.14,22.4,88.9,45.7,11.1,77.6,45.7,49.0,5.8,4.8,7.7,58.3,6.8,4.5,7.4,4.0,2.0,103.255515,103.255515,103.255515
