Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
TOR,CLE,2024-10-23,L,H,106,136,240,36,86,0.419,24,55,0.436,12,31,0.387,22,29,0.759,51,87,0.586,37,57,0.649,14,30,0.467,20,26,0.769,14,24,38,8,28,36,25,8,6,19,24,29,10,9,13,22,106.2,136.3,0.337,0.36,0.537,0.488,0.256,136.3,106.2,0.299,0.345,0.691,0.667,0.23,33.3,75.0,48.6,25.0,66.7,48.6,69.4,8.0,10.5,16.1,56.9,10.0,16.4,11.7,5.0,5.0,99.77725000000001,99.77725000000001,99.77725000000001
DET,CLE,2024-10-25,L,A,101,113,240,38,81,0.469,25,49,0.51,13,32,0.406,12,17,0.706,42,82,0.512,29,48,0.604,13,34,0.382,16,23,0.696,8,34,42,5,34,39,25,3,5,22,22,28,13,4,13,15,101.1,113.1,0.21,0.395,0.571,0.549,0.148,113.1,101.1,0.28,0.415,0.613,0.591,0.195,19.0,87.2,48.1,12.8,81.0,48.1,65.8,3.0,10.4,19.9,66.7,13.0,8.2,12.4,2.0,2.0,99.88985,99.88985,99.88985
WAS,CLE,2024-10-26,L,H,116,135,240,37,96,0.385,22,53,0.415,15,43,0.349,27,32,0.844,47,88,0.534,29,49,0.592,18,39,0.462,23,34,0.676,18,28,46,11,37,48,25,6,9,15,25,27,13,10,17,27,110.8,129.0,0.333,0.448,0.527,0.464,0.281,129.0,110.8,0.386,0.443,0.656,0.636,0.261,32.7,71.8,51.1,28.2,67.3,51.1,67.6,5.7,18.4,12.0,57.4,12.4,18.9,14.2,2.0,1.0,104.69257499999999,104.69257499999999,104.69257499999999
NYK,CLE,2024-10-28,L,H,104,110,240,40,90,0.444,31,62,0.5,9,28,0.321,15,18,0.833,39,82,0.476,27,46,0.587,12,36,0.333,20,24,0.833,13,30,43,9,32,41,22,8,3,16,21,21,10,5,14,20,107.9,114.2,0.2,0.311,0.531,0.494,0.167,114.2,107.9,0.293,0.439,0.594,0.549,0.244,28.9,76.9,48.8,23.1,71.1,48.8,55.0,8.3,6.5,14.0,53.8,10.4,8.1,13.1,3.0,2.0,96.355095,96.355095,96.355095
LAL,CLE,2024-10-30,L,A,110,134,240,38,77,0.494,32,49,0.653,6,28,0.214,28,33,0.848,56,97,0.577,39,56,0.696,17,41,0.415,5,8,0.625,5,32,37,6,30,36,21,6,0,21,7,37,14,2,12,26,104.5,127.3,0.429,0.364,0.601,0.532,0.364,127.3,104.5,0.082,0.423,0.667,0.665,0.052,14.3,84.2,49.3,15.8,85.7,49.3,55.3,5.7,0.0,18.7,66.1,13.3,4.1,10.7,2.0,2.0,105.250575,105.250575,105.250575
ORL,CLE,2024-11-01,L,A,109,120,240,41,90,0.456,30,57,0.526,11,33,0.333,16,24,0.667,44,87,0.506,29,49,0.592,15,38,0.395,17,20,0.85,7,32,39,7,42,49,26,10,4,14,17,25,6,4,13,21,105.9,116.6,0.267,0.367,0.542,0.517,0.178,116.6,105.9,0.23,0.437,0.626,0.592,0.195,14.3,82.1,55.7,17.9,85.7,55.7,63.4,9.7,8.2,12.2,56.8,5.8,7.0,11.9,2.0,2.0,102.93336,102.93336,102.93336
MIL,CLE,2024-11-02,L,H,113,114,240,43,89,0.483,25,50,0.5,18,39,0.462,9,15,0.6,44,91,0.484,29,53,0.547,15,38,0.395,11,15,0.733,10,35,45,10,35,45,24,3,3,13,23,31,3,2,7,20,119.0,120.1,0.169,0.438,0.591,0.584,0.101,120.1,119.0,0.165,0.418,0.584,0.566,0.121,22.2,77.8,50.0,22.2,77.8,50.0,55.8,3.2,5.7,12.0,70.5,3.2,4.0,6.7,2.0,1.0,94.95439,94.95439,94.95439
MIL,CLE,2024-11-04,L,A,114,116,240,42,86,0.488,25,51,0.49,17,35,0.486,13,15,0.867,46,91,0.505,29,54,0.537,17,37,0.459,7,13,0.538,7,42,49,5,34,39,21,6,6,15,15,28,10,4,10,15,114.0,116.0,0.174,0.407,0.616,0.587,0.151,116.0,114.0,0.143,0.407,0.6,0.599,0.077,17.1,89.4,44.3,10.6,82.9,44.3,50.0,6.0,11.1,13.9,60.9,10.0,7.8,9.4,2.0,2.0,100.02271,100.02271,100.02271
NOP,CLE,2024-11-06,L,H,122,131,240,42,88,0.477,29,61,0.475,13,27,0.481,25,28,0.893,52,96,0.542,35,61,0.574,17,35,0.486,10,13,0.769,8,25,33,12,34,46,21,8,8,10,14,33,6,10,13,21,122.8,131.8,0.318,0.307,0.608,0.551,0.284,131.8,122.8,0.135,0.365,0.644,0.63,0.104,19.0,67.6,58.2,32.4,81.0,58.2,50.0,8.1,13.1,9.1,63.5,6.0,16.4,11.3,2.0,2.0,99.39714000000001,99.39714000000001,99.39714000000001
GSW,CLE,2024-11-08,L,A,117,136,240,47,98,0.48,34,56,0.607,13,42,0.31,10,14,0.714,46,85,0.541,26,43,0.605,20,42,0.476,24,28,0.857,11,29,40,9,34,43,32,14,4,17,24,33,7,7,20,12,109.6,127.4,0.143,0.429,0.562,0.546,0.102,127.4,109.6,0.329,0.494,0.699,0.659,0.282,24.4,76.3,51.8,23.7,75.6,51.8,68.1,13.1,9.3,14.0,71.7,6.6,12.5,17.0,2.0,2.0,106.797455,106.797455,106.797455
BRK,CLE,2024-11-09,L,A,100,105,240,34,76,0.447,19,33,0.576,15,43,0.349,17,18,0.944,40,74,0.541,30,46,0.652,10,28,0.357,15,19,0.789,10,26,36,4,29,33,21,4,2,20,14,24,12,5,16,18,108.4,113.9,0.237,0.566,0.596,0.546,0.224,113.9,108.4,0.257,0.378,0.637,0.608,0.203,25.6,86.7,47.8,13.3,74.4,47.8,61.8,4.3,4.3,19.2,60.0,13.0,15.2,16.3,1.0,1.0,92.22841,92.22841,92.22841
CHI,CLE,2024-11-11,L,H,113,119,240,43,87,0.494,29,49,0.592,14,38,0.368,13,16,0.813,43,97,0.443,28,52,0.538,15,45,0.333,18,24,0.75,8,43,51,12,31,43,26,7,5,21,17,26,14,3,9,13,108.8,114.6,0.184,0.437,0.601,0.575,0.149,114.6,108.8,0.247,0.464,0.553,0.521,0.186,20.5,78.2,45.7,21.8,79.5,45.7,60.5,6.7,9.6,18.3,60.5,13.5,6.1,7.7,2.0,2.0,103.87628000000001,103.87628000000001,103.87628000000001
PHI,CLE,2024-11-13,L,H,106,114,240,41,92,0.446,27,49,0.551,14,43,0.326,10,11,0.909,42,85,0.494,26,45,0.578,16,40,0.4,14,17,0.824,12,33,45,9,37,46,24,8,2,12,13,25,8,1,11,14,112.8,121.3,0.12,0.467,0.547,0.522,0.109,121.3,112.8,0.2,0.471,0.616,0.588,0.165,24.5,78.6,50.5,21.4,75.5,50.5,58.5,8.5,4.4,11.0,59.5,8.5,2.0,10.6,1.0,2.0,93.992105,93.992105,93.992105
CHI,CLE,2024-11-15,L,A,126,144,240,45,88,0.511,25,46,0.543,20,42,0.476,16,20,0.8,51,93,0.548,30,50,0.6,21,43,0.488,21,24,0.875,3,33,36,4,36,40,32,7,4,17,20,33,11,6,13,16,114.4,130.8,0.227,0.477,0.651,0.625,0.182,130.8,114.4,0.258,0.462,0.695,0.661,0.226,7.7,89.2,52.6,10.8,92.3,52.6,71.1,6.4,8.0,14.9,64.7,10.0,13.0,11.2,2.0,2.0,110.101855,110.101855,110.101855
CHO,CLE,2024-11-17,L,A,114,128,240,42,103,0.408,22,51,0.431,20,52,0.385,10,12,0.833,44,77,0.571,31,47,0.66,13,30,0.433,27,28,0.964,17,23,40,9,39,48,34,12,6,10,23,26,3,4,20,15,116.2,130.4,0.117,0.505,0.526,0.505,0.097,130.4,116.2,0.364,0.39,0.717,0.656,0.351,30.4,71.9,54.5,28.1,69.6,54.5,81.0,12.2,12.8,8.5,59.1,3.1,7.8,18.3,1.0,2.0,98.11790500000001,98.11790500000001,98.11790500000001
BOS,CLE,2024-11-19,W,H,120,117,240,44,86,0.512,22,45,0.489,22,41,0.537,10,14,0.714,46,93,0.495,36,64,0.563,10,29,0.345,15,17,0.882,9,33,42,12,29,41,32,4,4,13,19,30,4,3,7,15,128.1,124.9,0.163,0.477,0.651,0.64,0.116,124.9,128.1,0.183,0.312,0.582,0.548,0.161,23.7,73.3,49.4,26.7,76.3,49.4,72.7,4.3,6.3,12.4,65.2,4.3,6.7,6.5,3.0,2.0,93.660895,93.660895,93.660895
NOP,CLE,2024-11-20,L,A,100,128,240,39,92,0.424,31,61,0.508,8,31,0.258,14,22,0.636,49,93,0.527,31,51,0.608,18,42,0.429,12,14,0.857,16,24,40,16,36,52,23,9,3,11,11,29,10,9,14,16,106.3,136.1,0.239,0.337,0.492,0.467,0.152,136.1,106.3,0.151,0.452,0.645,0.624,0.129,30.8,60.0,56.5,40.0,69.2,56.5,59.0,9.6,5.9,9.8,59.2,10.6,14.8,12.4,1.0,1.0,94.05066,94.05066,94.05066
TOR,CLE,2024-11-24,L,A,108,122,240,37,92,0.402,25,53,0.472,12,39,0.308,22,34,0.647,48,97,0.495,32,56,0.571,16,41,0.39,10,14,0.714,19,36,55,14,35,49,22,9,5,16,18,27,11,4,14,21,106.5,120.3,0.37,0.424,0.505,0.467,0.239,120.3,106.5,0.144,0.423,0.591,0.577,0.103,35.2,72.0,47.1,28.0,64.8,47.1,59.5,8.9,8.9,13.0,56.3,10.8,7.5,11.9,3.0,4.0,101.4022,101.4022,101.4022
ATL,CLE,2024-11-27,W,A,135,124,240,46,97,0.474,26,55,0.473,20,42,0.476,23,25,0.92,44,95,0.463,29,47,0.617,15,48,0.313,21,28,0.75,14,37,51,12,32,44,39,6,6,15,21,31,11,5,13,21,127.8,117.4,0.258,0.433,0.625,0.577,0.237,117.4,127.8,0.295,0.505,0.578,0.542,0.221,30.4,75.5,46.3,24.5,69.6,46.3,84.8,5.7,12.8,12.2,70.5,10.4,9.1,10.8,2.0,3.0,105.620535,105.620535,105.620535
ATL,CLE,2024-11-29,W,H,117,101,240,44,85,0.518,30,51,0.588,14,34,0.412,15,18,0.833,38,93,0.409,27,55,0.491,11,38,0.289,14,17,0.824,10,43,53,11,29,40,33,9,5,21,20,21,9,0,13,22,115.4,99.6,0.212,0.4,0.63,0.6,0.176,99.6,115.4,0.183,0.409,0.503,0.468,0.151,25.6,79.6,43.0,20.4,74.4,43.0,75.0,8.9,9.1,18.4,55.3,8.9,0.0,11.5,2.0,2.0,101.38194,101.38194,101.38194
