Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
POR,GSW,2024-10-23,L,H,104,140,240,36,92,0.391,28,58,0.483,8,34,0.235,24,30,0.8,48,93,0.516,28,45,0.622,20,48,0.417,24,30,0.8,13,29,42,15,42,57,21,10,4,18,22,38,13,5,18,27,97.0,130.6,0.326,0.37,0.494,0.435,0.261,130.6,97.0,0.323,0.516,0.659,0.624,0.258,23.6,65.9,57.6,34.1,76.4,57.6,58.3,9.3,8.9,14.6,79.2,12.1,8.6,14.5,5.0,5.0,107.219865,107.219865,107.219865
UTA,GSW,2024-10-25,L,H,86,127,240,29,92,0.315,20,50,0.4,9,42,0.214,19,26,0.731,51,106,0.481,31,56,0.554,20,50,0.4,5,6,0.833,14,31,45,19,41,60,18,8,5,22,11,35,15,6,15,25,82.6,122.0,0.283,0.457,0.416,0.364,0.207,122.0,82.6,0.057,0.472,0.584,0.575,0.047,25.5,62.0,57.1,38.0,74.5,57.1,62.1,7.7,8.9,17.5,68.6,14.4,12.0,12.1,2.0,2.0,104.12372500000001,104.12372500000001,104.12372500000001
LAC,GSW,2024-10-27,W,A,112,104,240,42,90,0.467,32,58,0.552,10,32,0.313,18,23,0.783,38,88,0.432,24,45,0.533,14,43,0.326,14,22,0.636,14,34,48,14,33,47,27,11,2,18,21,19,10,5,21,22,109.8,101.9,0.256,0.356,0.559,0.522,0.2,101.9,109.8,0.25,0.489,0.532,0.511,0.159,29.8,70.8,49.5,29.2,70.2,49.5,64.3,10.8,4.4,15.2,50.0,9.8,8.6,17.7,1.0,2.0,102.03636,102.03636,102.03636
NOP,GSW,2024-10-29,L,A,106,124,240,40,74,0.541,31,52,0.596,9,22,0.409,17,24,0.708,46,97,0.474,25,51,0.49,21,46,0.457,11,13,0.846,9,35,44,11,23,34,23,4,6,24,13,34,15,9,8,20,109.0,127.5,0.324,0.297,0.627,0.601,0.23,127.5,109.0,0.134,0.474,0.604,0.582,0.113,28.1,76.1,43.6,23.9,71.9,43.6,57.5,4.1,11.8,22.1,73.9,15.4,17.3,7.2,2.0,2.0,97.267495,97.267495,97.267495
NOP,GSW,2024-10-30,L,A,89,104,240,33,90,0.367,22,54,0.407,11,36,0.306,12,20,0.6,41,87,0.471,28,49,0.571,13,38,0.342,9,13,0.692,18,31,49,13,29,42,24,7,6,15,17,32,5,9,14,22,98.2,114.7,0.222,0.4,0.45,0.428,0.133,114.7,98.2,0.149,0.437,0.561,0.546,0.103,38.3,70.5,46.2,29.5,61.7,46.2,72.7,7.7,12.2,13.2,78.0,5.5,16.7,13.1,1.0,1.0,90.660465,90.660465,90.660465
HOU,GSW,2024-11-02,L,H,121,127,265,44,107,0.411,29,62,0.468,15,45,0.333,18,24,0.75,40,78,0.513,25,46,0.543,15,32,0.469,32,50,0.64,18,31,49,9,38,47,27,10,6,11,32,26,5,4,14,22,115.9,121.7,0.224,0.421,0.515,0.481,0.168,121.7,115.9,0.641,0.41,0.635,0.609,0.41,32.1,77.5,49.0,22.5,67.9,49.0,61.4,9.6,13.0,8.6,65.0,4.8,6.5,12.3,2.0,3.0,104.40644499999999,94.55678037735848,94.55678037735848
WAS,GSW,2024-11-04,L,H,112,125,240,42,96,0.438,32,53,0.604,10,43,0.233,18,21,0.857,44,97,0.454,32,60,0.533,12,37,0.324,25,34,0.735,8,39,47,16,40,56,29,4,8,10,23,29,5,7,7,20,108.8,121.4,0.219,0.448,0.532,0.49,0.188,121.4,108.8,0.351,0.381,0.558,0.515,0.258,16.7,70.9,54.4,29.1,83.3,54.4,69.0,3.9,13.3,8.7,65.9,4.9,13.2,5.9,2.0,2.0,102.924065,102.924065,102.924065
BOS,GSW,2024-11-06,L,H,112,118,240,38,90,0.422,19,36,0.528,19,54,0.352,17,21,0.81,42,91,0.462,28,57,0.491,14,34,0.412,20,24,0.833,13,34,47,15,38,53,22,5,3,12,18,22,6,5,11,19,116.8,123.1,0.233,0.6,0.564,0.528,0.189,123.1,116.8,0.264,0.374,0.581,0.538,0.22,25.5,69.4,53.0,30.6,74.5,53.0,57.9,5.2,5.3,10.8,52.4,6.3,13.9,9.8,2.0,2.0,95.88411,95.88411,95.88411
CLE,GSW,2024-11-08,W,H,136,117,240,46,85,0.541,26,43,0.605,20,42,0.476,24,28,0.857,47,98,0.48,34,56,0.607,13,42,0.31,10,14,0.714,9,34,43,11,29,40,33,7,7,20,12,32,14,4,17,24,127.4,109.6,0.329,0.494,0.699,0.659,0.282,109.6,127.4,0.143,0.429,0.562,0.546,0.102,23.7,75.6,48.2,24.4,76.3,48.2,71.7,6.6,12.5,17.0,68.1,13.1,9.3,14.0,2.0,2.0,106.797455,106.797455,106.797455
OKC,GSW,2024-11-10,L,H,116,127,240,42,94,0.447,31,61,0.508,11,33,0.333,21,26,0.808,45,89,0.506,24,46,0.522,21,43,0.488,16,23,0.696,14,27,41,13,33,46,25,4,6,11,18,35,8,3,15,26,117.9,129.1,0.277,0.351,0.55,0.505,0.223,129.1,117.9,0.258,0.483,0.641,0.624,0.18,29.8,67.5,52.9,32.5,70.2,52.9,59.5,4.1,13.0,9.4,77.8,8.1,4.9,13.1,2.0,2.0,98.35914,98.35914,98.35914
