Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
CHO,HOU,2024-10-23,W,A,110,105,240,38,85,0.447,23,46,0.5,15,39,0.385,19,24,0.792,38,103,0.369,25,60,0.417,13,43,0.302,16,20,0.8,15,41,56,16,27,43,20,6,10,17,21,19,8,4,8,18,113.9,108.7,0.282,0.459,0.576,0.535,0.224,108.7,113.9,0.194,0.417,0.47,0.432,0.155,35.7,71.9,43.4,28.1,64.3,43.4,52.6,6.2,16.7,15.1,50.0,8.3,8.7,6.7,5.0,5.0,96.55145999999999,96.55145999999999,96.55145999999999
MEM,HOU,2024-10-25,L,A,108,128,240,38,91,0.418,28,63,0.444,10,28,0.357,22,36,0.611,43,98,0.439,26,55,0.473,17,43,0.395,25,36,0.694,14,29,43,23,41,64,24,8,8,19,25,20,10,4,19,32,100.3,118.9,0.396,0.308,0.505,0.473,0.242,118.9,100.3,0.367,0.439,0.562,0.526,0.255,25.5,55.8,59.8,44.2,74.5,59.8,63.2,7.4,14.5,15.1,46.5,9.3,6.3,14.3,2.0,2.0,107.663625,107.663625,107.663625
SAS,HOU,2024-10-26,W,H,109,106,240,39,79,0.494,31,59,0.525,8,20,0.4,23,28,0.821,38,92,0.413,25,51,0.49,13,41,0.317,17,21,0.81,10,39,49,8,26,34,23,6,7,17,18,21,10,3,11,24,110.7,107.7,0.354,0.253,0.597,0.544,0.291,107.7,110.7,0.228,0.446,0.524,0.484,0.185,27.8,83.0,41.0,17.0,72.2,41.0,59.0,6.1,13.7,15.7,55.3,10.2,5.1,9.8,2.0,1.0,98.43950000000001,98.43950000000001,98.43950000000001
SAS,HOU,2024-10-28,L,H,101,106,240,37,87,0.425,27,54,0.5,10,33,0.303,17,21,0.81,35,85,0.412,20,48,0.417,15,37,0.405,21,24,0.875,17,32,49,13,30,43,22,6,6,17,21,20,6,2,12,23,109.7,115.1,0.241,0.379,0.525,0.483,0.195,115.1,109.7,0.282,0.435,0.555,0.5,0.247,36.2,71.1,46.7,28.9,63.8,46.7,59.5,6.5,12.5,15.0,57.1,6.5,3.7,11.2,2.0,2.0,92.08574999999999,92.08574999999999,92.08574999999999
DAL,HOU,2024-10-31,L,H,102,108,240,39,85,0.459,29,55,0.527,10,30,0.333,14,20,0.7,40,97,0.412,32,63,0.508,8,34,0.235,20,27,0.741,10,27,37,18,32,50,21,6,7,10,27,21,4,4,10,20,110.5,117.0,0.235,0.353,0.544,0.518,0.165,117.0,110.5,0.278,0.351,0.496,0.454,0.206,23.8,60.0,57.5,40.0,76.2,57.5,53.8,6.5,11.1,9.6,52.5,4.3,7.3,8.4,2.0,3.0,92.34482,92.34482,92.34482
GSW,HOU,2024-11-02,W,A,127,121,265,40,78,0.513,25,46,0.543,15,32,0.469,32,50,0.64,44,107,0.411,29,62,0.468,15,45,0.333,18,24,0.75,9,38,47,18,31,49,26,5,4,14,22,27,10,6,11,32,121.7,115.9,0.641,0.41,0.635,0.609,0.41,115.9,121.7,0.224,0.421,0.515,0.481,0.168,22.5,67.9,51.0,32.1,77.5,51.0,65.0,4.8,6.5,12.3,61.4,9.6,13.0,8.6,3.0,2.0,104.40644499999999,94.55678037735848,94.55678037735848
NYK,HOU,2024-11-04,L,A,97,109,240,34,88,0.386,23,60,0.383,11,28,0.393,18,21,0.857,43,88,0.489,35,55,0.636,8,33,0.242,15,18,0.833,13,26,39,11,39,50,20,6,4,10,18,21,4,6,11,20,105.5,118.6,0.239,0.318,0.499,0.449,0.205,118.6,105.5,0.205,0.375,0.568,0.534,0.17,25.0,70.3,56.2,29.7,75.0,56.2,58.8,6.5,7.3,9.3,48.8,4.4,10.0,10.3,3.0,2.0,91.927225,91.927225,91.927225
SAS,HOU,2024-11-06,L,A,100,127,240,37,83,0.446,23,47,0.489,14,36,0.389,12,16,0.75,54,96,0.563,44,69,0.638,10,27,0.37,9,15,0.6,8,33,41,11,34,45,20,6,6,20,13,28,10,5,12,13,98.6,125.3,0.193,0.434,0.555,0.53,0.145,125.3,98.6,0.156,0.281,0.619,0.615,0.094,19.0,75.0,52.3,25.0,81.0,52.3,54.1,5.9,8.7,18.2,51.9,9.9,10.6,10.5,2.0,2.0,101.4066,101.4066,101.4066
OKC,HOU,2024-11-08,W,H,126,107,240,46,90,0.511,32,53,0.604,14,37,0.378,20,23,0.87,39,90,0.433,28,60,0.467,11,30,0.367,18,26,0.692,7,34,41,14,34,48,24,9,8,11,23,19,7,3,17,18,123.7,105.1,0.256,0.411,0.629,0.589,0.222,105.1,123.7,0.289,0.333,0.527,0.494,0.2,17.1,70.8,53.9,29.2,82.9,53.9,52.2,8.8,13.3,9.9,48.7,6.9,5.7,14.4,2.0,2.0,101.80744000000001,101.80744000000001,101.80744000000001
DET,HOU,2024-11-10,L,H,99,101,240,36,84,0.429,25,50,0.5,11,34,0.324,16,23,0.696,38,93,0.409,31,59,0.525,7,34,0.206,18,24,0.75,11,35,46,17,36,53,21,6,6,18,21,19,10,5,12,21,101.8,103.8,0.274,0.405,0.526,0.494,0.19,103.8,101.8,0.258,0.366,0.488,0.446,0.194,23.4,67.3,53.5,32.7,76.6,53.5,58.3,6.2,10.2,16.1,50.0,10.3,10.0,10.4,2.0,2.0,97.26890499999999,97.26890499999999,97.26890499999999
WAS,HOU,2024-11-11,L,A,92,107,240,36,88,0.409,25,57,0.439,11,31,0.355,9,13,0.692,40,87,0.46,35,64,0.547,5,23,0.217,22,25,0.88,8,26,34,17,41,58,21,14,5,19,17,13,12,10,21,17,91.4,106.3,0.148,0.352,0.491,0.472,0.102,106.3,91.4,0.287,0.264,0.546,0.489,0.253,16.3,60.5,63.0,39.5,83.7,63.0,58.3,13.9,7.8,16.9,32.5,11.9,17.5,17.6,1.0,1.0,100.63306499999999,100.63306499999999,100.63306499999999
LAC,HOU,2024-11-13,L,A,103,111,240,38,96,0.396,24,58,0.414,14,38,0.368,13,16,0.813,42,97,0.433,27,57,0.474,15,40,0.375,12,17,0.706,10,32,42,18,41,59,27,10,3,12,16,28,8,11,14,17,103.6,111.6,0.167,0.396,0.5,0.469,0.135,111.6,103.6,0.175,0.412,0.531,0.51,0.124,19.6,64.0,58.4,36.0,80.4,58.4,71.1,10.1,5.3,10.4,66.7,8.0,19.0,11.8,2.0,2.0,99.42512,99.42512,99.42512
LAC,HOU,2024-11-15,L,A,104,125,240,34,90,0.378,24,50,0.48,10,40,0.25,26,33,0.788,46,95,0.484,27,51,0.529,19,44,0.432,14,18,0.778,13,38,51,9,39,48,12,6,6,15,15,31,11,3,12,25,100.3,120.6,0.367,0.444,0.498,0.433,0.289,120.6,100.3,0.189,0.463,0.607,0.584,0.147,25.0,80.9,48.5,19.1,75.0,48.5,35.3,5.8,11.8,12.6,67.4,10.6,6.0,10.4,2.0,2.0,103.702935,103.702935,103.702935
CHI,HOU,2024-11-17,L,H,107,143,240,36,107,0.336,22,51,0.431,14,56,0.25,21,22,0.955,55,105,0.524,45,71,0.634,10,34,0.294,23,32,0.719,13,34,47,14,52,66,26,8,7,15,21,34,8,9,11,18,93.5,125.0,0.206,0.523,0.459,0.402,0.196,125.0,93.5,0.305,0.324,0.6,0.571,0.219,20.0,70.8,58.4,29.2,80.0,58.4,72.2,7.0,9.9,11.4,61.8,7.0,17.6,8.5,2.0,2.0,114.392,114.392,114.392
MIL,HOU,2024-11-18,W,H,101,100,240,38,83,0.458,25,50,0.5,13,33,0.394,12,19,0.632,40,100,0.4,31,68,0.456,9,32,0.281,11,13,0.846,4,39,43,16,37,53,21,8,8,16,18,19,9,6,13,15,100.3,99.3,0.229,0.398,0.553,0.536,0.145,99.3,100.3,0.13,0.32,0.473,0.445,0.11,9.8,70.9,55.2,29.1,90.2,55.2,55.3,7.9,11.8,14.9,47.5,8.9,12.0,11.0,2.0,1.0,100.69954999999999,100.69954999999999,100.69954999999999
IND,HOU,2024-11-20,L,A,113,130,240,44,83,0.53,39,61,0.639,5,22,0.227,20,25,0.8,47,102,0.461,35,66,0.53,12,36,0.333,24,33,0.727,3,33,36,13,34,47,19,7,9,23,24,25,16,2,14,21,100.4,115.5,0.301,0.265,0.601,0.56,0.241,115.5,100.4,0.324,0.353,0.558,0.52,0.235,8.1,71.7,56.6,28.3,91.9,56.6,43.2,6.2,13.6,19.7,53.2,14.2,3.3,10.7,2.0,2.0,112.58266,112.58266,112.58266
POR,HOU,2024-11-22,L,A,88,116,240,30,91,0.33,19,48,0.396,11,43,0.256,17,22,0.773,42,93,0.452,27,54,0.5,15,39,0.385,17,25,0.68,13,32,45,13,38,51,17,9,8,21,20,27,14,5,17,20,84.5,111.3,0.242,0.473,0.437,0.39,0.187,111.3,84.5,0.269,0.419,0.558,0.532,0.183,25.5,71.1,53.1,28.9,74.5,53.1,56.7,8.6,14.8,17.3,64.3,13.4,10.4,14.0,2.0,2.0,104.19271,104.19271,104.19271
POR,HOU,2024-11-23,W,A,104,98,240,34,90,0.378,16,46,0.348,18,44,0.409,18,23,0.783,32,90,0.356,24,58,0.414,8,32,0.25,26,33,0.788,16,37,53,14,29,43,16,5,12,18,26,17,8,5,10,19,108.3,102.1,0.256,0.489,0.519,0.478,0.2,102.1,108.3,0.367,0.356,0.469,0.4,0.289,35.6,72.5,44.8,27.5,64.4,44.8,47.1,5.2,20.7,15.2,53.1,8.3,10.9,8.7,1.0,1.0,96.00099,96.00099,96.00099
MIN,HOU,2024-11-26,L,H,111,117,265,42,98,0.429,33,60,0.55,9,38,0.237,18,20,0.9,45,99,0.455,30,62,0.484,15,37,0.405,12,13,0.923,14,38,52,7,37,44,21,6,4,17,18,31,12,9,12,20,103.9,109.5,0.204,0.388,0.52,0.474,0.184,109.5,103.9,0.131,0.374,0.559,0.53,0.121,27.5,84.4,45.8,15.6,72.5,45.8,50.0,5.6,6.5,13.7,68.9,11.2,15.0,10.3,2.0,3.0,106.85416,96.77357886792453,96.77357886792453
PHI,HOU,2024-11-27,L,H,115,122,265,43,96,0.448,31,63,0.492,12,33,0.364,17,23,0.739,40,88,0.455,30,57,0.526,10,31,0.323,32,38,0.842,10,32,42,14,37,51,19,12,7,16,26,23,10,14,21,19,105.6,112.1,0.24,0.344,0.542,0.51,0.177,112.1,105.6,0.432,0.352,0.583,0.511,0.364,21.3,69.6,54.8,30.4,78.7,54.8,44.2,11.0,12.3,13.1,57.5,9.2,22.2,16.7,3.0,1.0,108.853665,98.58445132075472,98.58445132075472
OKC,HOU,2024-12-01,L,A,116,119,240,42,94,0.447,29,55,0.527,13,39,0.333,19,25,0.76,38,92,0.413,25,55,0.455,13,37,0.351,30,39,0.769,11,35,46,15,36,51,30,5,4,7,26,20,3,6,10,21,117.0,120.1,0.266,0.415,0.552,0.516,0.202,120.1,117.0,0.424,0.402,0.545,0.484,0.326,23.4,70.0,52.6,30.0,76.6,52.6,71.4,5.0,7.3,6.3,52.6,3.0,10.9,8.4,2.0,4.0,99.12312,99.12312,99.12312
SAC,HOU,2024-12-03,W,H,120,111,240,47,91,0.516,33,61,0.541,14,30,0.467,12,20,0.6,41,93,0.441,27,54,0.5,14,39,0.359,15,21,0.714,10,24,34,18,35,53,33,7,8,10,20,14,6,1,16,23,124.9,115.6,0.22,0.33,0.601,0.593,0.132,115.6,124.9,0.226,0.419,0.543,0.516,0.161,22.2,57.1,60.9,42.9,77.8,60.9,70.2,7.3,14.8,9.1,34.1,6.2,1.6,13.5,2.0,2.0,96.03934,96.03934,96.03934
GSW,HOU,2024-12-05,W,H,99,93,240,36,86,0.419,27,58,0.466,9,28,0.321,18,27,0.667,35,93,0.376,25,55,0.455,10,38,0.263,13,17,0.765,11,43,54,11,34,45,19,5,3,10,16,20,9,9,8,20,104.8,98.5,0.314,0.326,0.506,0.471,0.209,98.5,104.8,0.183,0.409,0.463,0.43,0.14,24.4,79.6,45.5,20.4,75.6,45.5,52.8,5.3,5.5,9.3,57.1,9.5,15.5,7.4,2.0,2.0,94.44288,94.44288,94.44288
LAC,HOU,2024-12-08,L,H,106,117,240,41,92,0.446,30,58,0.517,11,34,0.324,13,16,0.813,40,82,0.488,25,41,0.61,15,41,0.366,22,26,0.846,7,26,33,12,38,50,21,11,3,8,24,23,4,4,15,16,110.9,122.4,0.174,0.37,0.535,0.505,0.141,122.4,110.9,0.317,0.5,0.626,0.579,0.268,15.6,68.4,60.2,31.6,84.4,60.2,51.2,11.5,7.3,7.5,57.5,4.2,6.9,13.8,4.0,3.0,95.54302,95.54302,95.54302
GSW,HOU,2024-12-11,L,A,90,91,240,37,84,0.44,25,46,0.543,12,38,0.316,4,9,0.444,38,83,0.458,32,56,0.571,6,27,0.222,9,10,0.9,11,28,39,7,29,36,22,13,8,22,11,23,10,5,17,14,94.7,95.7,0.107,0.452,0.512,0.512,0.048,95.7,94.7,0.12,0.325,0.521,0.494,0.108,27.5,80.0,48.0,20.0,72.5,48.0,59.5,13.7,14.3,20.0,60.5,10.5,10.9,16.3,3.0,3.0,95.07012499999999,95.07012499999999,95.07012499999999
OKC,HOU,2024-12-14,W,H,111,96,240,36,80,0.45,25,50,0.5,11,30,0.367,28,32,0.875,35,96,0.365,24,50,0.48,11,46,0.239,15,25,0.6,4,39,43,19,30,49,19,12,4,12,24,17,7,3,16,25,111.1,96.1,0.4,0.375,0.59,0.519,0.35,96.1,111.1,0.26,0.479,0.449,0.422,0.156,11.8,67.2,53.3,32.8,88.2,53.3,52.8,12.0,8.0,11.3,48.6,7.0,6.0,13.0,4.0,3.0,99.918,99.918,99.918
NOP,HOU,2024-12-19,L,A,113,133,240,41,92,0.446,28,64,0.438,13,28,0.464,18,25,0.72,50,87,0.575,33,48,0.688,17,39,0.436,16,19,0.842,11,26,37,6,36,42,25,6,2,12,22,34,7,6,12,20,112.8,132.7,0.272,0.304,0.549,0.516,0.196,132.7,112.8,0.218,0.448,0.697,0.672,0.184,23.4,81.3,53.2,18.8,76.6,53.2,61.0,6.0,4.2,10.4,68.0,7.0,9.4,11.2,4.0,5.0,100.19385,100.19385,100.19385
TOR,HOU,2024-12-22,L,H,110,114,240,42,92,0.457,25,49,0.51,17,43,0.395,9,13,0.692,40,89,0.449,33,61,0.541,7,28,0.25,27,33,0.818,11,31,42,18,35,53,33,10,3,21,25,18,12,6,21,14,105.1,108.9,0.141,0.467,0.563,0.549,0.098,108.9,105.1,0.371,0.315,0.551,0.489,0.303,23.9,63.3,55.8,36.7,76.1,55.8,78.6,9.6,4.9,17.7,45.0,11.5,12.2,16.9,3.0,3.0,104.685845,104.685845,104.685845
CHO,HOU,2024-12-23,L,H,101,114,240,37,89,0.416,27,53,0.509,10,36,0.278,17,24,0.708,43,99,0.434,30,57,0.526,13,42,0.31,15,19,0.789,11,33,44,21,39,60,25,8,6,11,15,23,4,8,12,16,104.8,118.3,0.27,0.404,0.507,0.472,0.191,118.3,104.8,0.192,0.424,0.531,0.5,0.152,22.0,61.1,57.7,38.9,78.0,57.7,67.6,8.3,10.5,9.9,53.5,4.2,15.1,10.1,3.0,1.0,96.32515999999998,96.32515999999998,96.32515999999998
NOP,HOU,2024-12-26,L,H,111,128,240,43,99,0.434,31,62,0.5,12,37,0.324,13,18,0.722,46,97,0.474,28,50,0.56,18,47,0.383,18,23,0.783,17,27,44,18,36,54,29,12,2,16,16,19,7,9,16,14,109.2,125.9,0.182,0.374,0.519,0.495,0.131,125.9,109.2,0.237,0.485,0.597,0.567,0.186,32.1,60.0,55.1,40.0,67.9,55.1,67.4,11.8,4.0,13.0,41.3,6.9,14.5,13.0,4.0,3.0,101.66883999999999,101.66883999999999,101.66883999999999
MIN,HOU,2024-12-27,W,A,113,112,240,42,83,0.506,21,40,0.525,21,43,0.488,8,16,0.5,45,92,0.489,35,62,0.565,10,30,0.333,12,19,0.632,10,30,40,16,31,47,25,8,6,16,22,19,7,3,14,16,118.4,117.4,0.193,0.518,0.627,0.633,0.096,117.4,118.4,0.207,0.326,0.558,0.543,0.13,24.4,65.2,54.0,34.8,75.6,54.0,59.5,8.4,9.7,15.1,42.2,7.3,7.5,12.2,2.0,1.0,95.3974,95.3974,95.3974
