Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
PHO,LAC,2024-10-23,W,A,116,113,265,38,78,0.487,23,40,0.575,15,38,0.395,25,34,0.735,42,92,0.457,34,63,0.54,8,29,0.276,21,30,0.7,4,38,42,13,38,51,25,12,9,22,23,27,9,1,22,29,104.6,101.9,0.436,0.487,0.624,0.583,0.321,101.9,104.6,0.326,0.315,0.537,0.5,0.228,9.5,74.5,54.8,25.5,90.5,54.8,65.8,10.8,14.3,19.1,64.3,8.1,2.5,17.3,5.0,5.0,110.94575,100.47916981132076,100.47916981132076
DEN,LAC,2024-10-26,L,H,104,109,240,35,87,0.402,21,52,0.404,14,35,0.4,20,24,0.833,40,82,0.488,28,49,0.571,12,33,0.364,17,21,0.81,10,27,37,11,33,44,20,13,4,10,22,30,4,5,17,24,110.6,115.9,0.276,0.402,0.533,0.483,0.23,115.9,110.6,0.256,0.402,0.597,0.561,0.207,23.3,71.1,54.3,28.9,76.7,54.3,57.1,13.8,8.2,9.3,75.0,4.3,9.6,15.7,2.0,3.0,94.02411,94.02411,94.02411
GSW,LAC,2024-10-27,L,H,104,112,240,38,88,0.432,24,45,0.533,14,43,0.326,14,22,0.636,42,90,0.467,32,58,0.552,10,32,0.313,18,23,0.783,14,33,47,14,34,48,19,10,5,21,22,27,11,2,18,21,101.9,109.8,0.25,0.489,0.532,0.511,0.159,109.8,101.9,0.256,0.356,0.559,0.522,0.2,29.2,70.2,50.5,29.8,70.8,50.5,50.0,9.8,8.6,17.7,64.3,10.8,4.4,15.2,2.0,1.0,102.03636,102.03636,102.03636
POR,LAC,2024-10-30,W,A,106,105,240,41,92,0.446,27,59,0.458,14,33,0.424,10,12,0.833,41,90,0.456,28,54,0.519,13,36,0.361,10,18,0.556,12,35,47,13,36,49,19,9,6,13,18,26,10,5,14,19,109.8,108.7,0.13,0.359,0.545,0.522,0.109,108.7,109.8,0.2,0.4,0.536,0.528,0.111,25.0,72.9,51.0,27.1,75.0,51.0,46.3,9.3,11.1,11.8,63.4,10.4,8.5,12.5,2.0,3.0,96.574485,96.574485,96.574485
PHO,LAC,2024-10-31,W,A,125,119,240,42,82,0.512,24,43,0.558,18,39,0.462,23,28,0.821,45,93,0.484,33,58,0.569,12,35,0.343,17,21,0.81,8,31,39,15,33,48,29,12,4,12,20,27,8,8,14,22,127.9,121.7,0.341,0.476,0.663,0.622,0.28,121.7,127.9,0.226,0.376,0.582,0.548,0.183,19.5,67.4,55.2,32.6,80.5,55.2,69.0,12.3,6.9,11.3,60.0,8.2,18.6,12.0,3.0,1.0,97.75532000000001,97.75532000000001,97.75532000000001
OKC,LAC,2024-11-02,W,A,105,92,240,36,84,0.429,20,45,0.444,16,39,0.41,17,19,0.895,32,79,0.405,21,44,0.477,11,35,0.314,17,26,0.654,3,38,41,10,40,50,25,11,3,12,22,23,10,7,22,17,104.5,91.6,0.226,0.464,0.568,0.524,0.202,91.6,104.5,0.329,0.443,0.509,0.475,0.215,7.0,79.2,54.9,20.8,93.0,54.9,69.4,10.9,6.8,11.5,71.9,10.0,15.6,19.6,1.0,2.0,100.47224,100.47224,100.47224
SAS,LAC,2024-11-04,L,A,104,113,240,38,86,0.442,27,45,0.6,11,41,0.268,17,19,0.895,41,90,0.456,22,53,0.415,19,37,0.514,12,17,0.706,12,33,45,16,28,44,22,9,10,14,16,25,6,7,11,21,113.7,123.6,0.221,0.477,0.551,0.506,0.198,123.6,113.7,0.189,0.411,0.58,0.561,0.133,30.0,67.3,49.4,32.7,70.0,49.4,57.9,9.8,18.9,12.9,61.0,6.6,15.6,10.1,2.0,2.0,91.423695,91.423695,91.423695
PHI,LAC,2024-11-06,L,A,98,110,240,40,73,0.548,33,48,0.688,7,25,0.28,11,19,0.579,41,72,0.569,29,44,0.659,12,28,0.429,16,19,0.842,10,22,32,8,21,29,19,10,2,20,22,27,12,1,19,16,109.5,122.9,0.26,0.342,0.602,0.596,0.151,122.9,109.5,0.264,0.389,0.684,0.653,0.222,32.3,73.3,47.5,26.7,67.7,47.5,47.5,11.2,4.5,19.7,65.9,13.4,2.1,19.1,2.0,2.0,89.46923999999999,89.46923999999999,89.46923999999999
SAC,LAC,2024-11-08,L,H,98,107,240,37,78,0.474,34,52,0.654,3,26,0.115,21,24,0.875,36,81,0.444,22,51,0.431,14,30,0.467,21,23,0.913,5,30,35,12,36,48,19,6,3,14,19,20,7,2,21,21,101.2,110.5,0.308,0.333,0.553,0.494,0.269,110.5,101.2,0.284,0.37,0.587,0.531,0.259,12.2,71.4,57.8,28.6,87.8,57.8,51.4,6.2,5.9,13.7,55.6,7.2,3.8,18.7,2.0,2.0,96.83848,96.83848,96.83848
TOR,LAC,2024-11-09,L,A,103,105,240,40,95,0.421,29,58,0.5,11,37,0.297,12,21,0.571,35,76,0.461,25,50,0.5,10,26,0.385,25,32,0.781,12,32,44,7,40,47,26,8,5,10,23,18,6,8,14,20,105.8,107.8,0.221,0.389,0.494,0.479,0.126,107.8,105.8,0.421,0.342,0.583,0.526,0.329,23.1,82.1,51.6,17.9,76.9,51.6,65.0,8.2,10.0,8.8,51.4,6.2,13.8,13.5,3.0,1.0,97.37646000000001,97.37646000000001,97.37646000000001
