Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
MIN,LAL,2024-10-22,L,A,103,110,240,35,85,0.412,22,44,0.5,13,41,0.317,20,27,0.741,42,95,0.442,37,65,0.569,5,30,0.167,21,25,0.84,12,35,47,15,31,46,17,4,1,16,22,22,7,8,7,22,107.4,114.7,0.318,0.482,0.532,0.488,0.235,114.7,107.4,0.263,0.316,0.519,0.468,0.221,27.9,70.0,49.5,30.0,72.1,49.5,48.6,4.2,1.5,14.2,52.4,7.3,18.2,6.2,5.0,5.0,95.93025,95.93025,95.93025
PHO,LAL,2024-10-25,L,A,116,123,240,42,82,0.512,25,45,0.556,17,37,0.459,15,17,0.882,40,75,0.533,26,48,0.542,14,27,0.519,29,39,0.744,5,29,34,6,31,37,35,8,4,17,26,33,10,5,13,18,117.7,124.9,0.207,0.451,0.648,0.616,0.183,124.9,117.7,0.52,0.36,0.667,0.627,0.387,13.9,82.9,52.1,17.1,86.1,52.1,83.3,8.1,8.3,16.0,82.5,10.2,11.1,12.4,2.0,3.0,98.523425,98.523425,98.523425
SAC,LAL,2024-10-26,L,A,127,131,240,45,88,0.511,30,44,0.682,15,44,0.341,22,25,0.88,48,92,0.522,34,58,0.586,14,34,0.412,21,24,0.875,5,27,32,13,32,45,32,12,5,14,19,32,8,3,19,19,120.3,124.1,0.284,0.5,0.641,0.597,0.25,124.1,120.3,0.261,0.37,0.639,0.598,0.228,13.5,67.5,58.4,32.5,86.5,58.4,71.1,11.4,8.6,12.4,66.7,7.6,6.8,15.6,2.0,1.0,105.543825,105.543825,105.543825
PHO,LAL,2024-10-28,W,H,109,105,240,40,87,0.46,29,51,0.569,11,36,0.306,18,20,0.9,39,94,0.415,25,62,0.403,14,32,0.438,13,18,0.722,9,37,46,11,35,46,21,7,11,11,22,25,5,6,12,19,111.6,107.5,0.23,0.414,0.569,0.523,0.207,107.5,111.6,0.191,0.34,0.515,0.489,0.138,20.5,77.1,50.0,22.9,79.5,50.0,52.5,7.2,17.7,10.3,64.1,5.1,11.8,10.5,2.0,2.0,97.70695,97.70695,97.70695
CLE,LAL,2024-10-30,W,H,134,110,240,56,97,0.577,39,56,0.696,17,41,0.415,5,8,0.625,38,77,0.494,32,49,0.653,6,28,0.214,28,33,0.848,6,30,36,5,32,37,37,14,2,12,26,21,6,0,21,7,127.3,104.5,0.082,0.423,0.667,0.665,0.052,104.5,127.3,0.429,0.364,0.601,0.532,0.364,15.8,85.7,50.7,14.3,84.2,50.7,66.1,13.3,4.1,10.7,55.3,5.7,0.0,18.7,2.0,2.0,105.250575,105.250575,105.250575
TOR,LAL,2024-11-01,L,H,125,131,240,52,107,0.486,42,72,0.583,10,35,0.286,11,13,0.846,42,88,0.477,31,56,0.554,11,32,0.344,36,41,0.878,15,29,44,9,34,43,35,4,6,11,29,29,6,5,10,17,120.2,126.0,0.121,0.327,0.554,0.533,0.103,126.0,120.2,0.466,0.364,0.618,0.54,0.409,30.6,76.3,49.4,23.7,69.4,49.4,67.3,3.8,10.7,8.9,69.0,5.8,6.9,8.6,2.0,2.0,103.96338,103.96338,103.96338
DET,LAL,2024-11-04,W,H,115,103,240,45,96,0.469,37,62,0.597,8,34,0.235,17,22,0.773,37,85,0.435,28,60,0.467,9,25,0.36,20,27,0.741,17,38,55,7,30,37,22,6,5,12,25,28,8,1,13,16,116.2,104.1,0.229,0.354,0.544,0.51,0.177,104.1,116.2,0.318,0.294,0.532,0.488,0.235,36.2,84.4,40.2,15.6,63.8,40.2,48.9,6.1,8.3,10.2,75.7,8.1,1.6,11.8,1.0,3.0,98.91675,98.91675,98.91675
MEM,LAL,2024-11-06,W,H,131,114,240,48,93,0.516,31,59,0.525,17,34,0.5,18,23,0.783,41,93,0.441,26,45,0.578,15,48,0.313,17,21,0.81,12,38,50,9,28,37,28,5,6,18,17,23,10,1,11,18,126.3,109.9,0.247,0.366,0.635,0.608,0.194,109.9,126.3,0.226,0.516,0.558,0.522,0.183,30.0,80.9,42.5,19.1,70.0,42.5,58.3,4.8,13.3,14.9,56.1,9.6,1.7,9.7,2.0,2.0,103.76388,103.76388,103.76388
PHI,LAL,2024-11-08,L,A,106,116,240,39,96,0.406,26,57,0.456,13,39,0.333,15,23,0.652,44,85,0.518,28,50,0.56,16,35,0.457,12,14,0.857,13,31,44,5,40,45,28,6,4,8,14,28,1,13,13,17,108.3,118.5,0.24,0.406,0.499,0.474,0.156,118.5,108.3,0.165,0.412,0.636,0.612,0.141,24.5,86.1,50.6,13.9,75.5,50.6,71.8,6.1,8.0,7.0,63.6,1.0,22.8,12.5,2.0,2.0,97.87976,97.87976,97.87976
TOR,LAL,2024-11-10,L,A,103,123,240,37,82,0.451,27,53,0.509,10,29,0.345,19,22,0.864,44,86,0.512,32,49,0.653,12,37,0.324,23,28,0.821,12,28,40,10,23,33,26,2,2,18,23,30,9,4,5,15,112.8,134.7,0.268,0.354,0.562,0.512,0.232,134.7,112.8,0.326,0.43,0.626,0.581,0.267,34.3,73.7,45.2,26.3,65.7,45.2,70.3,2.2,4.1,16.4,68.2,9.9,7.5,4.8,1.0,2.0,91.33266499999999,91.33266499999999,91.33266499999999
