Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
LAL,MIN,2024-10-22,W,H,110,103,240,42,95,0.442,37,65,0.569,5,30,0.167,21,25,0.84,35,85,0.412,22,44,0.5,13,41,0.317,20,27,0.741,15,31,46,12,35,47,22,7,8,7,22,17,4,1,16,22,114.7,107.4,0.263,0.316,0.519,0.468,0.221,107.4,114.7,0.318,0.482,0.532,0.488,0.235,30.0,72.1,50.5,27.9,70.0,50.5,52.4,7.3,18.2,6.2,48.6,4.2,1.5,14.2,5.0,5.0,95.93025,95.93025,95.93025
SAC,MIN,2024-10-24,L,H,115,117,240,38,82,0.463,27,53,0.509,11,29,0.379,28,35,0.8,41,86,0.477,21,36,0.583,20,50,0.4,15,17,0.882,4,34,38,6,36,42,21,7,2,9,18,24,3,2,17,24,113.4,115.3,0.427,0.354,0.59,0.53,0.341,115.3,113.4,0.198,0.581,0.626,0.593,0.174,10.0,85.0,52.5,15.0,90.0,52.5,55.3,6.9,5.6,8.5,58.5,3.0,3.8,15.4,5.0,2.0,101.43475000000001,101.43475000000001,101.43475000000001
TOR,MIN,2024-10-26,L,A,101,112,240,41,90,0.456,31,61,0.508,10,29,0.345,9,13,0.692,39,83,0.47,25,46,0.543,14,37,0.378,20,26,0.769,12,34,46,9,32,41,29,9,4,20,22,29,9,8,13,16,102.3,113.4,0.144,0.322,0.528,0.511,0.1,113.4,102.3,0.313,0.446,0.593,0.554,0.241,27.3,79.1,47.1,20.9,72.7,47.1,70.7,9.1,8.7,17.3,74.4,9.1,13.1,12.1,1.0,2.0,98.723445,98.723445,98.723445
DAL,MIN,2024-10-29,W,A,120,114,240,45,93,0.484,29,54,0.537,16,39,0.41,14,18,0.778,39,77,0.506,20,38,0.526,19,39,0.487,17,26,0.654,12,28,40,11,31,42,25,12,2,10,21,33,5,2,20,20,125.1,118.9,0.194,0.419,0.595,0.57,0.151,118.9,125.1,0.338,0.506,0.645,0.63,0.221,27.9,71.8,51.2,28.2,72.1,51.2,55.6,12.5,5.3,9.0,84.6,5.2,3.7,18.4,1.0,3.0,95.90222,95.90222,95.90222
DEN,MIN,2024-11-01,L,A,116,119,240,41,92,0.446,30,60,0.5,11,32,0.344,23,29,0.793,43,83,0.518,25,41,0.61,18,42,0.429,15,18,0.833,17,29,46,8,30,38,30,11,2,15,18,34,8,9,17,22,117.9,120.9,0.315,0.348,0.554,0.505,0.25,120.9,117.9,0.217,0.506,0.654,0.627,0.181,36.2,78.4,45.2,21.6,63.8,45.2,73.2,11.2,4.9,12.5,79.1,8.1,15.0,15.8,3.0,3.0,98.40043,98.40043,98.40043
SAS,MIN,2024-11-02,W,H,113,103,240,43,83,0.518,30,41,0.732,13,42,0.31,14,17,0.824,39,82,0.476,28,45,0.622,11,37,0.297,14,20,0.7,7,37,44,6,26,32,32,6,5,13,16,21,7,2,13,16,118.8,108.2,0.205,0.506,0.624,0.596,0.169,108.2,118.8,0.244,0.451,0.567,0.543,0.171,21.2,86.0,42.1,14.0,78.8,42.1,74.4,6.3,11.1,12.6,53.8,7.4,4.9,12.5,2.0,1.0,95.1425,95.1425,95.1425
CHO,MIN,2024-11-04,L,A,93,114,240,35,88,0.398,25,46,0.543,10,42,0.238,13,16,0.813,39,79,0.494,21,41,0.512,18,38,0.474,18,26,0.692,9,29,38,9,36,45,19,10,1,14,22,23,7,8,15,19,97.2,119.2,0.182,0.477,0.489,0.455,0.148,119.2,97.2,0.329,0.481,0.63,0.608,0.228,20.0,76.3,54.2,23.7,80.0,54.2,54.3,10.5,2.4,12.8,59.0,7.3,17.4,14.2,2.0,2.0,95.65720000000002,95.65720000000002,95.65720000000002
CHI,MIN,2024-11-07,L,H,119,135,240,47,88,0.534,32,52,0.615,15,36,0.417,10,15,0.667,51,93,0.548,35,55,0.636,16,38,0.421,17,17,1.0,10,22,32,10,30,40,30,9,4,13,20,29,7,4,14,17,121.6,137.9,0.17,0.409,0.629,0.619,0.114,137.9,121.6,0.183,0.409,0.672,0.634,0.183,25.0,68.8,55.6,31.3,75.0,55.6,63.8,9.2,7.3,12.1,56.9,7.2,7.7,12.2,1.0,3.0,97.88314,97.88314,97.88314
POR,MIN,2024-11-08,L,A,102,127,240,39,91,0.429,33,66,0.5,6,25,0.24,18,24,0.75,47,97,0.485,25,47,0.532,22,50,0.44,11,14,0.786,12,25,37,10,39,49,13,11,7,17,17,32,9,7,20,21,96.3,119.9,0.264,0.275,0.502,0.462,0.198,119.9,96.3,0.144,0.515,0.616,0.598,0.113,23.5,71.4,57.0,28.6,76.5,57.0,33.3,10.4,14.9,14.3,68.1,8.5,10.6,16.2,1.0,1.0,105.9118,105.9118,105.9118
MIA,MIN,2024-11-10,W,A,95,94,240,34,77,0.442,23,46,0.5,11,31,0.355,16,22,0.727,35,88,0.398,22,43,0.512,13,45,0.289,11,13,0.846,6,37,43,16,31,47,18,14,9,23,20,22,13,5,20,20,96.2,95.2,0.286,0.403,0.548,0.513,0.208,95.2,96.2,0.148,0.511,0.501,0.472,0.125,16.2,69.8,52.2,30.2,83.8,52.2,52.9,14.2,20.9,21.0,62.9,13.2,10.9,17.6,2.0,2.0,98.70998,98.70998,98.70998
