Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
CHI,NOP,2024-10-23,L,A,111,123,240,42,86,0.488,32,52,0.615,10,34,0.294,17,25,0.68,45,97,0.464,31,60,0.517,14,37,0.378,19,21,0.905,9,38,47,7,35,42,26,4,2,21,16,29,15,10,12,17,102.7,113.8,0.291,0.395,0.572,0.547,0.198,113.8,102.7,0.216,0.381,0.579,0.536,0.196,20.5,84.4,47.2,15.6,79.5,47.2,61.9,3.7,3.3,17.8,64.4,13.9,19.2,10.1,5.0,5.0,108.03438,108.03438,108.03438
POR,NOP,2024-10-25,L,H,103,105,240,37,90,0.411,24,53,0.453,13,37,0.351,16,20,0.8,36,86,0.419,24,54,0.444,12,32,0.375,21,31,0.677,10,38,48,11,33,44,26,7,11,20,22,25,12,8,14,22,100.4,102.3,0.222,0.411,0.521,0.483,0.178,102.3,100.4,0.36,0.372,0.527,0.488,0.244,23.3,77.6,47.8,22.4,76.7,47.8,70.3,6.8,20.4,16.8,69.4,11.7,15.1,12.3,2.0,2.0,102.601285,102.601285,102.601285
POR,NOP,2024-10-27,W,H,125,103,240,43,93,0.462,29,58,0.5,14,35,0.4,25,32,0.781,38,88,0.432,30,59,0.508,8,29,0.276,19,24,0.792,22,29,51,15,24,39,25,9,8,16,21,24,9,8,17,22,129.8,107.0,0.344,0.376,0.584,0.538,0.269,107.0,129.8,0.273,0.33,0.523,0.477,0.216,47.8,65.9,43.3,34.1,52.2,43.3,58.1,9.3,13.6,13.0,63.2,9.3,13.8,14.7,2.0,2.0,96.29175000000001,96.29175000000001,96.29175000000001
GSW,NOP,2024-10-29,W,H,124,106,240,46,97,0.474,25,51,0.49,21,46,0.457,11,13,0.846,40,74,0.541,31,52,0.596,9,22,0.409,17,24,0.708,11,23,34,9,35,44,34,15,9,8,20,23,4,6,24,13,127.5,109.0,0.134,0.474,0.604,0.582,0.113,109.0,127.5,0.324,0.297,0.627,0.601,0.23,23.9,71.9,56.4,28.1,76.1,56.4,73.9,15.4,17.3,7.2,57.5,4.1,11.8,22.1,2.0,2.0,97.267495,97.267495,97.267495
GSW,NOP,2024-10-30,W,H,104,89,240,41,87,0.471,28,49,0.571,13,38,0.342,9,13,0.692,33,90,0.367,22,54,0.407,11,36,0.306,12,20,0.6,13,29,42,18,31,49,32,5,9,14,22,24,7,6,15,17,114.7,98.2,0.149,0.437,0.561,0.546,0.103,98.2,114.7,0.222,0.4,0.45,0.428,0.133,29.5,61.7,53.8,38.3,70.5,53.8,78.0,5.5,16.7,13.1,72.7,7.7,12.2,13.2,1.0,1.0,90.660465,90.660465,90.660465
IND,NOP,2024-11-01,L,A,118,125,240,46,89,0.517,30,51,0.588,16,38,0.421,10,13,0.769,49,101,0.485,37,70,0.529,12,31,0.387,15,19,0.789,6,33,39,15,31,46,35,3,3,14,21,28,8,4,8,15,118.0,125.0,0.146,0.427,0.623,0.607,0.112,125.0,118.0,0.188,0.307,0.572,0.545,0.149,16.2,68.8,54.1,31.3,83.8,54.1,76.1,3.0,4.3,12.9,57.1,8.0,7.8,6.8,2.0,2.0,99.96553,99.96553,99.96553
ATL,NOP,2024-11-03,W,A,126,111,240,50,88,0.568,35,52,0.673,15,36,0.417,11,12,0.917,39,90,0.433,23,52,0.442,16,38,0.421,17,20,0.85,10,31,41,18,25,43,29,10,3,16,17,22,6,3,18,16,130.5,114.9,0.136,0.409,0.675,0.653,0.125,114.9,130.5,0.222,0.422,0.562,0.522,0.189,28.6,63.3,51.2,36.7,71.4,51.2,58.0,10.4,5.8,14.6,56.4,6.2,5.8,15.4,2.0,2.0,96.572025,96.572025,96.572025
POR,NOP,2024-11-04,W,A,118,100,240,46,84,0.548,36,55,0.655,10,29,0.345,16,24,0.667,38,84,0.452,28,49,0.571,10,35,0.286,14,16,0.875,11,27,38,10,24,34,21,10,5,12,15,24,5,3,16,20,126.9,107.6,0.286,0.345,0.624,0.607,0.19,107.6,126.9,0.19,0.417,0.549,0.512,0.167,31.4,73.0,47.2,27.0,68.6,47.2,45.7,10.8,10.2,11.3,63.2,5.4,5.5,14.9,2.0,1.0,92.97167999999999,92.97167999999999,92.97167999999999
CLE,NOP,2024-11-06,W,A,131,122,240,52,96,0.542,35,61,0.574,17,35,0.486,10,13,0.769,42,88,0.477,29,61,0.475,13,27,0.481,25,28,0.893,12,34,46,8,25,33,33,6,10,13,21,21,8,8,10,14,131.8,122.8,0.135,0.365,0.644,0.63,0.104,122.8,131.8,0.318,0.307,0.608,0.551,0.284,32.4,81.0,41.8,19.0,67.6,41.8,63.5,6.0,16.4,11.3,50.0,8.1,13.1,9.1,2.0,2.0,99.39714000000001,99.39714000000001,99.39714000000001
ORL,NOP,2024-11-08,W,H,115,88,240,45,86,0.523,37,54,0.685,8,32,0.25,17,21,0.81,32,84,0.381,22,53,0.415,10,31,0.323,14,17,0.824,11,32,43,6,25,31,28,9,8,15,14,18,10,1,16,19,118.6,90.7,0.244,0.372,0.604,0.57,0.198,90.7,118.6,0.202,0.369,0.481,0.44,0.167,30.6,84.2,41.9,15.8,69.4,41.9,62.2,9.3,15.1,13.6,56.3,10.3,1.9,14.9,2.0,2.0,96.99233,96.99233,96.99233
