Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
BOS,NYK,2024-10-22,W,H,132,109,240,48,95,0.505,19,34,0.559,29,61,0.475,7,8,0.875,43,78,0.551,32,48,0.667,11,30,0.367,12,16,0.75,11,29,40,5,29,34,33,6,3,4,15,20,2,3,12,12,147.3,121.6,0.084,0.642,0.67,0.658,0.074,121.6,147.3,0.205,0.385,0.641,0.622,0.154,27.5,85.3,45.9,14.7,72.5,45.9,68.8,6.7,6.3,3.9,46.5,2.2,8.8,12.4,5.0,5.0,89.63255000000001,89.63255000000001,89.63255000000001
IND,NYK,2024-10-25,L,A,98,123,240,41,83,0.494,38,53,0.717,3,30,0.1,13,20,0.65,44,84,0.524,32,57,0.561,12,27,0.444,23,29,0.793,9,24,33,11,32,43,28,8,6,16,24,19,5,4,12,18,102.5,128.6,0.241,0.361,0.534,0.512,0.157,128.6,102.5,0.345,0.321,0.636,0.595,0.274,22.0,68.6,56.6,31.4,78.0,56.6,68.3,8.4,10.5,14.8,43.2,5.2,7.5,11.0,2.0,3.0,95.637,95.637,95.637
CLE,NYK,2024-10-28,W,A,110,104,240,39,82,0.476,27,46,0.587,12,36,0.333,20,24,0.833,40,90,0.444,31,62,0.5,9,28,0.321,15,18,0.833,9,32,41,13,30,43,21,10,5,14,20,22,8,3,16,21,114.2,107.9,0.293,0.439,0.594,0.549,0.244,107.9,114.2,0.2,0.311,0.531,0.494,0.167,23.1,71.1,51.2,28.9,76.9,51.2,53.8,10.4,8.1,13.1,55.0,8.3,6.5,14.0,2.0,3.0,96.355095,96.355095,96.355095
MIA,NYK,2024-10-30,L,H,107,116,240,37,81,0.457,20,41,0.488,17,40,0.425,16,24,0.667,40,82,0.488,22,42,0.524,18,40,0.45,18,20,0.9,7,32,39,7,35,42,27,6,3,10,17,30,8,4,11,16,115.2,124.9,0.296,0.494,0.584,0.562,0.198,124.9,115.2,0.244,0.488,0.639,0.598,0.22,16.7,82.1,51.9,17.9,83.3,51.9,73.0,6.5,7.1,9.8,75.0,8.6,9.8,10.8,2.0,2.0,92.84669,92.84669,92.84669
DET,NYK,2024-11-01,L,H,98,128,240,41,81,0.506,30,47,0.638,11,34,0.324,5,7,0.714,52,101,0.515,34,63,0.54,18,38,0.474,6,10,0.6,6,32,38,12,33,45,23,6,9,22,12,31,16,3,10,14,98.0,128.1,0.086,0.42,0.583,0.574,0.062,128.1,98.0,0.099,0.376,0.607,0.604,0.059,15.4,72.7,54.2,27.3,84.6,54.2,56.1,6.0,14.3,20.7,59.6,16.0,6.4,8.7,2.0,2.0,99.947705,99.947705,99.947705
HOU,NYK,2024-11-04,W,H,109,97,240,43,88,0.489,35,55,0.636,8,33,0.242,15,18,0.833,34,88,0.386,23,60,0.383,11,28,0.393,18,21,0.857,11,39,50,13,26,39,21,4,6,11,20,20,6,4,10,18,118.6,105.5,0.205,0.375,0.568,0.534,0.17,105.5,118.6,0.239,0.318,0.499,0.449,0.205,29.7,75.0,43.8,25.0,70.3,43.8,48.8,4.4,10.0,10.3,58.8,6.5,7.3,9.3,2.0,3.0,91.927225,91.927225,91.927225
ATL,NYK,2024-11-06,W,H,121,116,240,45,100,0.45,30,62,0.484,15,38,0.395,16,22,0.727,41,84,0.488,19,37,0.514,22,47,0.468,12,15,0.8,16,32,48,7,34,41,31,12,4,8,14,29,5,5,16,18,123.7,118.5,0.22,0.38,0.552,0.525,0.16,118.5,123.7,0.179,0.56,0.64,0.619,0.143,32.0,82.1,46.1,17.9,68.0,46.1,68.9,12.3,10.8,6.8,70.7,5.1,8.1,15.0,2.0,2.0,97.866105,97.866105,97.866105
MIL,NYK,2024-11-08,L,A,94,116,240,36,83,0.434,29,53,0.547,7,30,0.233,15,23,0.652,43,91,0.473,29,45,0.644,14,46,0.304,16,19,0.842,11,30,41,14,34,48,20,1,5,12,16,35,7,3,11,20,101.5,125.3,0.277,0.361,0.505,0.476,0.181,125.3,101.5,0.209,0.505,0.584,0.549,0.176,24.4,68.2,53.9,31.8,75.6,53.9,55.6,1.1,11.1,11.4,81.4,7.6,5.7,10.0,1.0,2.0,92.59837999999999,92.59837999999999,92.59837999999999
IND,NYK,2024-11-10,W,H,132,121,240,45,88,0.511,24,42,0.571,21,46,0.457,21,25,0.84,46,83,0.554,39,58,0.672,7,25,0.28,22,27,0.815,5,27,32,8,31,39,27,6,4,10,22,23,5,3,14,20,131.8,120.8,0.284,0.523,0.667,0.631,0.239,120.8,131.8,0.325,0.301,0.638,0.596,0.265,13.9,77.1,54.9,22.9,86.1,54.9,60.0,6.0,6.9,9.2,50.0,5.0,7.1,12.9,2.0,2.0,100.16925,100.16925,100.16925
PHI,NYK,2024-11-12,L,H,99,111,240,31,83,0.373,17,41,0.415,14,42,0.333,23,24,0.958,44,89,0.494,35,58,0.603,9,31,0.29,14,15,0.933,9,31,40,8,39,47,19,10,6,15,20,31,8,5,15,15,100.4,112.5,0.289,0.506,0.529,0.458,0.277,112.5,100.4,0.169,0.348,0.581,0.545,0.157,18.8,79.5,54.0,20.5,81.3,54.0,61.3,10.1,10.3,13.8,70.5,8.1,12.2,13.6,2.0,2.0,98.634465,98.634465,98.634465
CHI,NYK,2024-11-13,W,A,124,123,240,44,82,0.537,30,46,0.652,14,36,0.389,22,27,0.815,48,94,0.511,33,57,0.579,15,37,0.405,12,18,0.667,7,33,40,10,30,40,31,10,6,18,17,31,7,3,15,17,119.3,118.3,0.329,0.439,0.66,0.622,0.268,118.3,119.3,0.191,0.394,0.603,0.59,0.128,18.9,76.7,50.0,23.3,81.1,50.0,70.5,9.6,10.5,16.1,64.6,6.7,6.5,12.8,2.0,1.0,103.92349999999999,103.92349999999999,103.92349999999999
BRK,NYK,2024-11-15,L,A,122,124,240,39,89,0.438,20,43,0.465,19,46,0.413,25,28,0.893,44,83,0.53,31,45,0.689,13,38,0.342,23,28,0.821,10,27,37,8,37,45,27,8,2,9,22,25,7,6,13,21,124.8,126.9,0.315,0.517,0.602,0.545,0.281,126.9,124.8,0.337,0.458,0.65,0.608,0.277,21.3,77.1,54.9,22.9,78.7,54.9,69.2,8.2,4.4,8.2,56.8,7.2,14.0,12.0,2.0,2.0,97.724165,97.724165,97.724165
BRK,NYK,2024-11-17,L,A,104,114,240,32,76,0.421,15,35,0.429,17,41,0.415,23,30,0.767,43,88,0.489,30,48,0.625,13,40,0.325,15,19,0.789,7,28,35,10,37,47,31,1,3,9,19,33,4,5,8,23,115.3,126.4,0.395,0.539,0.583,0.533,0.303,126.4,115.3,0.216,0.455,0.592,0.563,0.17,15.9,73.7,57.3,26.3,84.1,57.3,96.9,1.1,6.3,9.2,76.7,4.4,14.3,7.7,2.0,2.0,90.225415,90.225415,90.225415
WAS,NYK,2024-11-18,L,A,106,134,240,43,91,0.473,32,58,0.552,11,33,0.333,9,16,0.563,51,91,0.56,31,51,0.608,20,40,0.5,12,13,0.923,12,29,41,7,34,41,23,5,3,10,19,37,4,1,8,12,111.6,141.1,0.176,0.363,0.541,0.533,0.099,141.1,111.6,0.143,0.44,0.693,0.67,0.132,26.1,80.6,50.0,19.4,73.9,50.0,53.5,5.3,5.9,9.3,72.5,4.2,1.7,7.6,1.0,1.0,94.94592,94.94592,94.94592
PHO,NYK,2024-11-20,L,H,122,138,240,45,92,0.489,26,42,0.619,19,50,0.38,13,17,0.765,50,86,0.581,31,47,0.66,19,39,0.487,19,21,0.905,11,23,34,10,31,41,30,9,2,14,16,30,10,0,15,15,123.6,139.8,0.185,0.543,0.613,0.592,0.141,139.8,123.6,0.244,0.453,0.724,0.692,0.221,26.2,69.7,54.7,30.3,73.8,54.7,66.7,9.1,4.3,12.3,60.0,10.1,0.0,13.6,2.0,2.0,98.67623,98.67623,98.67623
UTA,NYK,2024-11-23,W,H,121,106,240,44,87,0.506,25,53,0.472,19,34,0.559,14,19,0.737,39,100,0.39,22,49,0.449,17,51,0.333,11,12,0.917,9,43,52,11,29,40,30,4,4,18,19,25,10,10,9,19,119.7,104.8,0.218,0.391,0.634,0.615,0.161,104.8,119.7,0.12,0.51,0.503,0.475,0.11,23.7,79.6,43.5,20.4,76.3,43.5,68.2,4.0,8.2,15.9,64.1,9.9,18.9,7.9,2.0,3.0,101.09027499999999,101.09027499999999,101.09027499999999
DEN,NYK,2024-11-25,L,H,118,145,240,41,92,0.446,30,59,0.508,11,33,0.333,25,27,0.926,56,92,0.609,37,56,0.661,19,36,0.528,14,16,0.875,10,23,33,8,35,43,23,5,3,11,18,45,5,4,11,23,117.3,144.2,0.293,0.359,0.568,0.505,0.272,144.2,117.3,0.174,0.391,0.732,0.712,0.152,22.2,74.2,56.6,25.8,77.8,56.6,56.1,5.0,5.4,9.6,80.4,5.0,6.8,10.0,2.0,2.0,100.57365,100.57365,100.57365
DAL,NYK,2024-11-27,W,H,129,114,240,48,85,0.565,31,52,0.596,17,33,0.515,16,21,0.762,40,86,0.465,33,57,0.579,7,29,0.241,27,30,0.9,10,33,43,7,26,33,27,6,4,13,25,20,9,3,9,19,133.1,117.7,0.247,0.388,0.684,0.665,0.188,117.7,133.1,0.349,0.337,0.575,0.506,0.314,27.8,82.5,43.4,17.5,72.2,43.4,56.3,6.2,7.0,12.1,50.0,9.3,5.8,8.3,2.0,2.0,96.89024,96.89024,96.89024
CHO,NYK,2024-11-29,L,H,98,99,240,36,89,0.404,21,42,0.5,15,47,0.319,11,15,0.733,36,81,0.444,24,49,0.49,12,32,0.375,15,19,0.789,14,25,39,12,32,44,25,8,6,15,19,20,7,5,21,19,105.0,106.0,0.169,0.528,0.513,0.489,0.124,106.0,105.0,0.235,0.395,0.554,0.519,0.185,30.4,67.6,53.0,32.4,69.6,53.0,69.4,8.6,12.2,13.6,55.6,7.5,11.9,19.0,2.0,2.0,93.37978,93.37978,93.37978
NOP,NYK,2024-12-01,L,A,85,118,240,35,94,0.372,31,67,0.463,4,27,0.148,11,17,0.647,42,92,0.457,22,47,0.468,20,45,0.444,14,16,0.875,13,29,42,14,46,60,20,14,9,14,19,30,10,9,17,14,85.5,118.7,0.181,0.287,0.419,0.394,0.117,118.7,85.5,0.174,0.489,0.596,0.565,0.152,22.0,67.4,58.8,32.6,78.0,58.8,57.1,14.1,19.1,12.1,71.4,10.1,13.4,14.7,2.0,2.0,99.43520000000001,99.43520000000001,99.43520000000001
ORL,NYK,2024-12-03,L,A,106,121,240,38,87,0.437,29,48,0.604,9,39,0.231,21,25,0.84,43,85,0.506,28,50,0.56,15,35,0.429,20,20,1.0,9,29,38,5,34,39,20,9,4,16,19,30,6,4,19,25,102.2,116.7,0.287,0.448,0.541,0.489,0.241,116.7,102.2,0.235,0.412,0.645,0.594,0.235,20.9,85.3,50.6,14.7,79.1,50.6,52.6,8.7,8.0,14.0,69.8,5.8,8.3,16.8,2.0,2.0,103.717975,103.717975,103.717975
CHO,NYK,2024-12-05,L,A,101,125,240,40,89,0.449,25,50,0.5,15,39,0.385,6,10,0.6,41,76,0.539,23,43,0.535,18,33,0.545,25,32,0.781,10,30,40,6,37,43,27,3,4,11,22,29,7,4,9,13,109.5,135.6,0.112,0.438,0.541,0.534,0.067,135.6,109.5,0.421,0.434,0.694,0.658,0.329,21.3,83.3,51.8,16.7,78.7,51.8,67.5,3.3,9.3,10.5,70.7,7.6,8.0,9.1,2.0,2.0,92.18913,92.18913,92.18913
DET,NYK,2024-12-07,W,A,120,111,240,43,83,0.518,25,47,0.532,18,36,0.5,16,19,0.842,42,79,0.532,31,45,0.689,11,34,0.324,16,27,0.593,9,34,43,4,27,31,28,7,0,19,20,27,11,5,15,12,120.3,111.3,0.229,0.434,0.657,0.627,0.193,111.3,120.3,0.342,0.43,0.611,0.601,0.203,25.0,89.5,41.9,10.5,75.0,41.9,65.1,7.0,0.0,17.2,64.3,11.0,10.6,14.2,3.0,2.0,99.771525,99.771525,99.771525
TOR,NYK,2024-12-09,L,H,108,113,240,43,96,0.448,30,61,0.492,13,35,0.371,9,11,0.818,42,82,0.512,25,42,0.595,17,40,0.425,12,19,0.632,17,34,51,6,34,40,23,4,4,13,16,32,7,7,10,13,115.1,120.4,0.115,0.365,0.536,0.516,0.094,120.4,115.1,0.232,0.488,0.625,0.616,0.146,33.3,85.0,44.0,15.0,66.7,44.0,53.5,4.3,9.5,11.4,76.2,7.5,11.5,10.0,2.0,2.0,93.847785,93.847785,93.847785
