Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
DEN,OKC,2024-10-24,L,H,87,102,240,35,98,0.357,28,60,0.467,7,38,0.184,10,14,0.714,43,101,0.426,35,65,0.538,8,36,0.222,8,12,0.667,17,40,57,13,36,49,29,11,7,16,12,23,9,13,12,15,86.8,101.7,0.143,0.388,0.418,0.393,0.102,101.7,86.8,0.119,0.356,0.48,0.465,0.079,32.1,75.5,46.2,24.5,67.9,46.2,82.9,11.0,10.8,13.3,53.5,9.0,21.7,10.1,5.0,5.0,100.278345,100.278345,100.278345
CHI,OKC,2024-10-26,L,H,95,114,240,32,92,0.348,17,39,0.436,15,53,0.283,16,22,0.727,45,107,0.421,37,67,0.552,8,40,0.2,16,20,0.8,11,50,61,9,45,54,23,6,2,26,19,21,15,5,10,18,82.9,99.5,0.239,0.576,0.467,0.429,0.174,99.5,82.9,0.187,0.374,0.492,0.458,0.15,19.6,84.7,47.0,15.3,80.4,47.0,71.9,5.2,3.0,20.4,46.7,13.1,12.8,7.9,1.0,2.0,114.53339,114.53339,114.53339
ATL,OKC,2024-10-27,L,A,104,128,240,36,91,0.396,26,60,0.433,10,31,0.323,22,29,0.759,44,89,0.494,28,49,0.571,16,40,0.4,24,32,0.75,17,32,49,11,34,45,24,7,4,20,23,26,13,12,10,23,102.7,126.4,0.319,0.341,0.501,0.451,0.242,126.4,102.7,0.36,0.449,0.621,0.584,0.27,33.3,74.4,47.9,25.6,66.7,47.9,66.7,6.9,8.2,16.2,59.1,12.8,20.0,8.8,2.0,1.0,101.238275,101.238275,101.238275
SAS,OKC,2024-10-30,L,A,93,105,240,35,85,0.412,23,49,0.469,12,36,0.333,11,13,0.846,41,89,0.461,24,48,0.5,17,41,0.415,6,8,0.75,13,39,52,5,34,39,22,6,6,22,8,28,18,6,14,15,94.1,106.2,0.153,0.424,0.513,0.482,0.129,106.2,94.1,0.09,0.461,0.567,0.556,0.067,27.7,88.6,42.9,11.4,72.3,42.9,62.9,6.1,12.5,19.5,68.3,18.2,12.2,13.1,2.0,3.0,98.86273,98.86273,98.86273
POR,OKC,2024-11-01,L,H,114,137,240,39,83,0.47,24,48,0.5,15,35,0.429,21,31,0.677,51,95,0.537,32,46,0.696,19,49,0.388,16,19,0.842,11,25,36,14,31,45,27,8,5,19,17,31,14,9,13,29,113.6,136.5,0.373,0.422,0.59,0.56,0.253,136.5,113.6,0.2,0.516,0.663,0.637,0.168,26.2,64.1,55.6,35.9,73.8,55.6,69.2,8.0,10.9,16.4,60.8,13.9,18.8,11.2,2.0,2.0,100.38166000000001,100.38166000000001,100.38166000000001
LAC,OKC,2024-11-02,L,H,92,105,240,32,79,0.405,21,44,0.477,11,35,0.314,17,26,0.654,36,84,0.429,20,45,0.444,16,39,0.41,17,19,0.895,10,40,50,3,38,41,23,10,7,22,17,25,11,3,12,22,91.6,104.5,0.329,0.443,0.509,0.475,0.215,104.5,91.6,0.226,0.464,0.568,0.524,0.202,20.8,93.0,45.1,7.0,79.2,45.1,71.9,10.0,15.6,19.6,69.4,10.9,6.8,11.5,2.0,1.0,100.47224,100.47224,100.47224
ORL,OKC,2024-11-04,L,A,86,102,240,29,82,0.354,24,48,0.5,5,34,0.147,23,27,0.852,39,85,0.459,27,54,0.5,12,31,0.387,12,16,0.75,7,34,41,5,37,42,20,12,5,19,16,23,12,4,17,21,84.0,99.6,0.329,0.415,0.458,0.384,0.28,99.6,84.0,0.188,0.365,0.554,0.529,0.141,15.9,87.2,50.6,12.8,84.1,50.6,69.0,11.7,9.3,16.8,59.0,11.7,8.3,15.6,1.0,2.0,102.441475,102.441475,102.441475
DEN,OKC,2024-11-06,W,H,124,122,240,42,89,0.472,26,51,0.51,16,38,0.421,24,33,0.727,44,100,0.44,28,60,0.467,16,40,0.4,18,23,0.783,13,42,55,13,34,47,34,8,6,18,22,29,15,6,14,28,115.2,113.3,0.371,0.427,0.599,0.562,0.27,113.3,115.2,0.23,0.4,0.554,0.52,0.18,27.7,76.4,46.1,23.6,72.3,46.1,81.0,7.4,10.0,14.8,65.9,13.9,11.8,11.3,2.0,2.0,107.664275,107.664275,107.664275
HOU,OKC,2024-11-08,L,A,107,126,240,39,90,0.433,28,60,0.467,11,30,0.367,18,26,0.692,46,90,0.511,32,53,0.604,14,37,0.378,20,23,0.87,14,34,48,7,34,41,19,7,3,17,18,24,9,8,11,23,105.1,123.7,0.289,0.333,0.527,0.494,0.2,123.7,105.1,0.256,0.411,0.629,0.589,0.222,29.2,82.9,46.1,17.1,70.8,46.1,48.7,6.9,5.7,14.4,52.2,8.8,13.3,9.9,2.0,2.0,101.80744000000001,101.80744000000001,101.80744000000001
GSW,OKC,2024-11-10,W,A,127,116,240,45,89,0.506,24,46,0.522,21,43,0.488,16,23,0.696,42,94,0.447,31,61,0.508,11,33,0.333,21,26,0.808,13,33,46,14,27,41,35,8,3,15,26,25,4,6,11,18,129.1,117.9,0.258,0.483,0.641,0.624,0.18,117.9,129.1,0.277,0.351,0.55,0.505,0.223,32.5,70.2,47.1,29.8,67.5,47.1,77.8,8.1,4.9,13.1,59.5,4.1,13.0,9.4,2.0,2.0,98.35914,98.35914,98.35914
