Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
MIA,ORL,2024-10-23,L,H,97,116,240,32,82,0.39,21,48,0.438,11,34,0.324,22,29,0.759,41,96,0.427,23,47,0.489,18,49,0.367,16,22,0.727,9,32,41,18,39,57,24,5,8,11,19,28,8,8,14,21,100.9,120.7,0.354,0.415,0.512,0.457,0.268,120.7,100.9,0.229,0.51,0.549,0.521,0.167,18.8,64.0,58.2,36.0,81.3,58.2,75.0,5.2,17.0,10.4,68.3,8.3,16.7,11.7,5.0,5.0,96.078,96.078,96.078
BRK,ORL,2024-10-25,L,A,101,116,240,35,83,0.422,21,46,0.457,14,37,0.378,17,21,0.81,39,75,0.52,24,45,0.533,15,30,0.5,23,33,0.697,8,29,37,5,34,39,22,7,3,19,31,28,10,7,13,19,103.0,118.3,0.253,0.446,0.547,0.506,0.205,118.3,103.0,0.44,0.4,0.648,0.62,0.307,19.0,85.3,51.3,14.7,81.0,51.3,62.9,7.1,6.7,17.1,71.8,10.2,15.2,12.7,2.0,2.0,98.08958000000001,98.08958000000001,98.08958000000001
MEM,ORL,2024-10-26,W,H,124,111,240,46,86,0.535,33,52,0.635,13,34,0.382,19,24,0.792,37,87,0.425,20,39,0.513,17,48,0.354,20,28,0.714,6,36,42,12,29,41,38,10,5,18,24,21,10,6,19,20,118.0,105.7,0.279,0.395,0.642,0.61,0.221,105.7,118.0,0.322,0.552,0.559,0.523,0.23,17.1,75.0,49.4,25.0,82.9,49.4,82.6,9.5,12.8,15.7,56.8,9.5,11.5,16.1,1.0,1.0,105.0531,105.0531,105.0531
IND,ORL,2024-10-28,L,A,115,119,240,41,88,0.466,28,59,0.475,13,29,0.448,20,30,0.667,39,83,0.47,26,42,0.619,13,41,0.317,28,38,0.737,15,29,44,11,35,46,25,7,4,13,28,26,7,6,15,25,116.1,120.1,0.341,0.33,0.568,0.54,0.227,120.1,116.1,0.458,0.494,0.597,0.548,0.337,30.0,72.5,51.1,27.5,70.0,51.1,61.0,7.1,9.5,11.4,66.7,7.1,10.2,13.1,1.0,2.0,99.083,99.083,99.083
CHI,ORL,2024-10-30,W,H,102,99,240,36,84,0.429,23,50,0.46,13,34,0.382,17,25,0.68,35,86,0.407,24,40,0.6,11,46,0.239,18,20,0.9,9,45,54,6,36,42,23,6,2,15,16,25,9,8,12,19,102.9,99.8,0.298,0.405,0.537,0.506,0.202,99.8,102.9,0.233,0.535,0.522,0.471,0.209,20.0,88.2,43.8,11.8,80.0,43.8,63.9,6.1,5.0,13.6,71.4,9.1,16.0,11.2,2.0,2.0,99.14437,99.14437,99.14437
CLE,ORL,2024-11-01,W,H,120,109,240,44,87,0.506,29,49,0.592,15,38,0.395,17,20,0.85,41,90,0.456,30,57,0.526,11,33,0.333,16,24,0.667,7,42,49,7,32,39,25,6,4,13,21,26,10,4,14,17,116.6,105.9,0.23,0.437,0.626,0.592,0.195,105.9,116.6,0.267,0.367,0.542,0.517,0.178,17.9,85.7,44.3,14.3,82.1,44.3,56.8,5.8,7.0,11.9,63.4,9.7,8.2,12.2,2.0,2.0,102.93336,102.93336,102.93336
DAL,ORL,2024-11-03,W,H,108,85,240,42,85,0.494,32,53,0.604,10,32,0.313,14,23,0.609,31,93,0.333,23,52,0.442,8,41,0.195,15,19,0.789,12,41,53,13,30,43,25,8,5,19,22,19,8,4,15,22,108.2,85.1,0.271,0.376,0.568,0.553,0.165,85.1,108.2,0.204,0.441,0.419,0.376,0.161,28.6,75.9,44.8,24.1,71.4,44.8,59.5,8.0,9.6,16.6,61.3,8.0,7.5,12.9,3.0,2.0,99.82659999999998,99.82659999999998,99.82659999999998
OKC,ORL,2024-11-04,W,H,102,86,240,39,85,0.459,27,54,0.5,12,31,0.387,12,16,0.75,29,82,0.354,24,48,0.5,5,34,0.147,23,27,0.852,5,37,42,7,34,41,23,12,4,17,21,20,12,5,19,16,99.6,84.0,0.188,0.365,0.554,0.529,0.141,84.0,99.6,0.329,0.415,0.458,0.384,0.28,12.8,84.1,49.4,15.9,87.2,49.4,59.0,11.7,8.3,15.6,69.0,11.7,9.3,16.8,2.0,1.0,102.441475,102.441475,102.441475
IND,ORL,2024-11-06,W,H,118,111,240,41,76,0.539,29,50,0.58,12,26,0.462,24,26,0.923,42,82,0.512,35,57,0.614,7,25,0.28,20,26,0.769,4,32,36,10,28,38,21,7,3,11,24,26,6,5,16,22,123.6,116.3,0.342,0.342,0.675,0.618,0.316,116.3,123.6,0.317,0.305,0.594,0.555,0.244,12.5,76.2,51.4,23.8,87.5,51.4,51.2,7.3,5.3,11.2,61.9,6.3,10.0,14.6,2.0,2.0,95.46617499999999,95.46617499999999,95.46617499999999
NOP,ORL,2024-11-08,L,A,88,115,240,32,84,0.381,22,53,0.415,10,31,0.323,14,17,0.824,45,86,0.523,37,54,0.685,8,32,0.25,17,21,0.81,6,25,31,11,32,43,18,10,1,16,19,28,9,8,15,14,90.7,118.6,0.202,0.369,0.481,0.44,0.167,118.6,90.7,0.244,0.372,0.604,0.57,0.198,15.8,69.4,58.1,30.6,84.2,58.1,56.3,10.3,1.9,14.9,62.2,9.3,15.1,13.6,2.0,2.0,96.99233,96.99233,96.99233
