Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
MIL,PHI,2024-10-23,W,A,124,109,240,43,80,0.538,27,43,0.628,16,37,0.432,22,31,0.71,41,98,0.418,33,67,0.493,8,31,0.258,19,27,0.704,8,38,46,17,32,49,27,4,9,14,23,18,4,2,10,28,125.0,109.9,0.388,0.463,0.662,0.638,0.275,109.9,125.0,0.276,0.316,0.496,0.459,0.194,20.0,69.1,51.6,30.9,80.0,51.6,62.8,4.0,13.4,13.0,43.9,4.0,4.7,8.3,5.0,5.0,99.21804499999999,99.21804499999999,99.21804499999999
TOR,PHI,2024-10-25,W,H,115,107,240,35,76,0.461,29,53,0.547,6,23,0.261,39,46,0.848,29,76,0.382,20,47,0.426,9,29,0.31,40,53,0.755,18,36,54,10,18,28,25,11,13,27,34,19,11,5,16,32,114.0,106.1,0.605,0.303,0.597,0.5,0.513,106.1,114.0,0.697,0.382,0.539,0.441,0.526,50.0,78.3,34.1,21.7,50.0,34.1,71.4,10.9,27.7,21.9,65.5,10.9,9.4,13.9,2.0,2.0,100.876035,100.876035,100.876035
IND,PHI,2024-10-27,L,H,114,118,265,39,84,0.464,26,52,0.5,13,32,0.406,23,34,0.676,42,98,0.429,31,56,0.554,11,42,0.262,23,31,0.742,7,30,37,20,34,54,28,8,4,20,26,15,9,4,20,26,105.6,109.4,0.405,0.381,0.576,0.542,0.274,109.4,105.6,0.316,0.429,0.528,0.485,0.235,17.1,60.0,59.3,40.0,82.9,59.3,71.8,7.4,7.1,16.8,35.7,8.3,7.7,15.2,2.0,2.0,107.899175,97.72000754716981,97.72000754716981
DET,PHI,2024-10-30,W,A,105,95,240,36,78,0.462,21,42,0.5,15,36,0.417,18,22,0.818,33,79,0.418,25,51,0.49,8,28,0.286,21,28,0.75,12,37,49,8,29,37,23,4,5,17,25,17,7,4,9,21,116.0,104.9,0.282,0.462,0.599,0.558,0.231,104.9,116.0,0.354,0.354,0.52,0.468,0.266,29.3,82.2,43.0,17.8,70.7,43.0,63.9,4.4,9.8,16.2,51.5,7.7,9.5,9.0,2.0,3.0,90.53571,90.53571,90.53571
MEM,PHI,2024-11-02,W,A,124,107,240,48,87,0.552,36,60,0.6,12,27,0.444,16,21,0.762,36,89,0.404,17,43,0.395,19,46,0.413,16,20,0.8,11,41,52,8,25,33,35,9,6,17,22,22,11,5,14,19,123.1,106.3,0.241,0.31,0.644,0.621,0.184,106.3,123.1,0.225,0.517,0.547,0.511,0.18,30.6,83.7,38.8,16.3,69.4,38.8,72.9,8.9,14.0,15.0,61.1,10.9,8.3,12.5,2.0,3.0,100.693445,100.693445,100.693445
PHO,PHI,2024-11-04,W,H,118,116,240,42,82,0.512,31,50,0.62,11,32,0.344,23,26,0.885,40,87,0.46,20,36,0.556,20,51,0.392,16,18,0.889,9,34,43,9,29,38,24,6,4,14,16,27,10,4,15,22,121.1,119.0,0.317,0.39,0.631,0.579,0.28,119.0,121.1,0.207,0.586,0.611,0.575,0.184,23.7,79.1,46.9,20.9,76.3,46.9,57.1,6.2,11.1,13.0,67.5,10.3,8.0,13.6,2.0,2.0,97.47289500000001,97.47289500000001,97.47289500000001
LAC,PHI,2024-11-06,W,H,110,98,240,41,72,0.569,29,44,0.659,12,28,0.429,16,19,0.842,40,73,0.548,33,48,0.688,7,25,0.28,11,19,0.579,8,21,29,10,22,32,27,12,1,19,16,19,10,2,20,22,122.9,109.5,0.264,0.389,0.684,0.653,0.222,109.5,122.9,0.26,0.342,0.602,0.596,0.151,26.7,67.7,52.5,32.3,73.3,52.5,65.9,13.4,2.1,19.1,47.5,11.2,4.5,19.7,2.0,2.0,89.46923999999999,89.46923999999999,89.46923999999999
LAL,PHI,2024-11-08,W,H,116,106,240,44,85,0.518,28,50,0.56,16,35,0.457,12,14,0.857,39,96,0.406,26,57,0.456,13,39,0.333,15,23,0.652,5,40,45,13,31,44,28,1,13,13,17,28,6,4,8,14,118.5,108.3,0.165,0.412,0.636,0.612,0.141,108.3,118.5,0.24,0.406,0.499,0.474,0.156,13.9,75.5,49.4,24.5,86.1,49.4,63.6,1.0,22.8,12.5,71.8,6.1,8.0,7.0,2.0,2.0,97.87976,97.87976,97.87976
CHO,PHI,2024-11-10,L,A,105,107,265,36,95,0.379,22,41,0.537,14,54,0.259,19,22,0.864,39,84,0.464,30,51,0.588,9,33,0.273,20,26,0.769,12,38,50,8,32,40,22,10,5,21,22,24,8,1,17,23,99.7,101.6,0.232,0.568,0.502,0.453,0.2,101.6,99.7,0.31,0.393,0.561,0.518,0.238,27.3,82.6,44.4,17.4,72.7,44.4,61.1,9.5,9.8,16.7,61.5,7.6,2.4,15.1,2.0,2.0,105.29370499999999,95.36033660377358,95.36033660377358
NYK,PHI,2024-11-12,W,A,111,99,240,44,89,0.494,35,58,0.603,9,31,0.29,14,15,0.933,31,83,0.373,17,41,0.415,14,42,0.333,23,24,0.958,8,39,47,9,31,40,31,8,5,15,15,19,10,6,15,20,112.5,100.4,0.169,0.348,0.581,0.545,0.157,100.4,112.5,0.289,0.506,0.529,0.458,0.277,20.5,81.3,46.0,18.8,79.5,46.0,70.5,8.1,12.2,13.6,61.3,10.1,10.3,13.8,2.0,2.0,98.634465,98.634465,98.634465
CLE,PHI,2024-11-13,W,A,114,106,240,42,85,0.494,26,45,0.578,16,40,0.4,14,17,0.824,41,92,0.446,27,49,0.551,14,43,0.326,10,11,0.909,9,37,46,12,33,45,25,8,1,11,14,24,8,2,12,13,121.3,112.8,0.2,0.471,0.616,0.588,0.165,112.8,121.3,0.12,0.467,0.547,0.522,0.109,21.4,75.5,49.5,24.5,78.6,49.5,59.5,8.5,2.0,10.6,58.5,8.5,4.4,11.0,2.0,1.0,93.992105,93.992105,93.992105
ORL,PHI,2024-11-15,W,H,98,86,240,34,78,0.436,23,41,0.561,11,37,0.297,19,22,0.864,29,72,0.403,19,41,0.463,10,31,0.323,18,21,0.857,11,32,43,6,28,34,15,11,6,18,21,19,10,3,18,23,107.3,94.2,0.282,0.474,0.559,0.506,0.244,94.2,107.3,0.292,0.431,0.529,0.472,0.25,28.2,84.2,44.2,15.8,71.8,44.2,44.1,12.0,14.6,17.0,65.5,10.9,7.3,18.1,2.0,2.0,91.32693,91.32693,91.32693
MIA,PHI,2024-11-18,W,H,106,89,240,36,87,0.414,23,43,0.535,13,44,0.295,21,23,0.913,35,84,0.417,25,43,0.581,10,41,0.244,9,12,0.75,9,44,53,2,40,42,26,10,2,15,13,25,10,3,15,17,104.6,87.8,0.264,0.506,0.546,0.489,0.241,87.8,104.6,0.143,0.488,0.498,0.476,0.107,18.4,95.7,44.2,4.3,81.6,44.2,72.2,9.9,4.7,13.4,71.4,9.9,7.0,14.4,1.0,3.0,101.352315,101.352315,101.352315
MEM,PHI,2024-11-20,W,H,117,111,240,41,85,0.482,22,42,0.524,19,43,0.442,16,16,1.0,39,87,0.448,28,54,0.519,11,33,0.333,22,24,0.917,9,32,41,14,27,41,29,5,6,20,17,21,12,6,14,19,120.2,114.1,0.188,0.506,0.636,0.594,0.188,114.1,120.2,0.276,0.379,0.569,0.511,0.253,25.0,69.6,50.0,30.4,75.0,50.0,70.7,5.1,11.1,17.9,53.8,12.3,14.3,12.5,1.0,2.0,97.30828,97.30828,97.30828
BRK,PHI,2024-11-22,L,A,98,113,240,39,79,0.494,26,42,0.619,13,37,0.351,7,7,1.0,41,92,0.446,25,49,0.51,16,43,0.372,15,20,0.75,7,27,34,15,25,40,28,1,4,19,17,25,13,9,12,16,106.6,122.9,0.089,0.468,0.597,0.576,0.089,122.9,106.6,0.217,0.467,0.561,0.533,0.163,21.9,64.3,54.1,35.7,78.1,54.1,71.8,1.1,8.2,18.8,61.0,14.1,21.4,10.6,3.0,2.0,91.972655,91.972655,91.972655
LAC,PHI,2024-11-24,W,A,125,99,240,47,81,0.58,35,51,0.686,12,30,0.4,19,25,0.76,34,86,0.395,25,47,0.532,9,39,0.231,22,26,0.846,10,34,44,13,20,33,31,9,5,17,22,22,8,5,14,17,131.0,103.7,0.309,0.37,0.679,0.654,0.235,103.7,131.0,0.302,0.453,0.508,0.448,0.256,33.3,72.3,42.9,27.7,66.7,42.9,66.0,9.4,10.6,15.6,64.7,8.4,9.8,12.6,2.0,2.0,95.43659,95.43659,95.43659
HOU,PHI,2024-11-27,W,A,122,115,265,40,88,0.455,30,57,0.526,10,31,0.323,32,38,0.842,43,96,0.448,31,63,0.492,12,33,0.364,17,23,0.739,14,37,51,10,32,42,23,10,14,21,19,19,12,7,16,26,112.1,105.6,0.432,0.352,0.583,0.511,0.364,105.6,112.1,0.24,0.344,0.542,0.51,0.177,30.4,78.7,45.2,21.3,69.6,45.2,57.5,9.2,22.2,16.7,44.2,11.0,12.3,13.1,1.0,3.0,108.853665,98.58445132075472,98.58445132075472
DET,PHI,2024-11-30,L,H,96,111,240,35,91,0.385,24,51,0.471,11,40,0.275,15,18,0.833,42,85,0.494,31,54,0.574,11,31,0.355,16,22,0.727,10,32,42,12,38,50,22,6,5,17,19,19,9,8,17,21,95.5,110.5,0.198,0.44,0.485,0.445,0.165,110.5,95.5,0.259,0.365,0.586,0.559,0.188,20.8,72.7,54.3,27.3,79.2,54.3,62.9,6.0,9.3,14.7,45.2,9.0,15.7,15.2,1.0,3.0,100.487955,100.487955,100.487955
CHO,PHI,2024-12-03,L,H,104,110,240,34,77,0.442,21,43,0.488,13,34,0.382,23,28,0.821,38,82,0.463,22,42,0.524,16,40,0.4,18,20,0.9,15,32,47,8,23,31,22,5,3,19,17,26,9,3,12,22,114.5,121.1,0.364,0.442,0.582,0.526,0.299,121.1,114.5,0.244,0.488,0.606,0.561,0.22,39.5,80.0,39.7,20.0,60.5,39.7,64.7,5.5,7.1,17.5,68.4,9.9,7.0,11.7,3.0,3.0,90.805025,90.805025,90.805025
ORL,PHI,2024-12-04,W,A,106,102,240,41,84,0.488,33,55,0.6,8,29,0.276,16,21,0.762,40,82,0.488,29,52,0.558,11,30,0.367,11,19,0.579,16,26,42,10,25,35,21,13,7,14,18,23,9,1,14,19,118.1,113.6,0.25,0.345,0.568,0.536,0.19,113.6,118.1,0.232,0.366,0.564,0.555,0.134,39.0,72.2,45.5,27.8,61.0,45.5,51.2,14.5,13.5,13.1,57.5,10.0,1.8,13.4,1.0,1.0,89.78139,89.78139,89.78139
ORL,PHI,2024-12-06,L,A,94,102,240,33,78,0.423,20,32,0.625,13,46,0.283,15,17,0.882,38,79,0.481,31,53,0.585,7,26,0.269,19,29,0.655,8,30,38,10,27,37,21,8,6,21,23,23,11,0,16,19,98.7,107.1,0.218,0.59,0.55,0.506,0.192,107.1,98.7,0.367,0.329,0.556,0.525,0.241,22.9,75.0,49.3,25.0,77.1,49.3,63.6,8.4,11.3,19.7,60.5,11.6,0.0,14.8,2.0,2.0,95.203075,95.203075,95.203075
CHI,PHI,2024-12-08,L,H,100,108,240,35,86,0.407,16,32,0.5,19,54,0.352,11,12,0.917,43,92,0.467,34,56,0.607,9,36,0.25,13,14,0.929,2,33,35,10,46,56,29,9,3,15,18,25,8,5,16,15,97.6,105.4,0.14,0.628,0.548,0.517,0.128,105.4,97.6,0.152,0.391,0.55,0.516,0.141,4.2,76.7,61.5,23.3,95.8,61.5,82.9,8.8,5.4,14.1,58.1,7.8,15.6,14.0,2.0,2.0,102.44593499999999,102.44593499999999,102.44593499999999
IND,PHI,2024-12-13,W,A,121,107,240,47,91,0.516,33,53,0.623,14,38,0.368,13,17,0.765,37,85,0.435,27,60,0.45,10,25,0.4,23,32,0.719,8,33,41,15,32,47,35,9,4,10,21,18,5,4,15,16,124.0,109.7,0.187,0.418,0.614,0.593,0.143,109.7,124.0,0.376,0.294,0.54,0.494,0.271,20.0,68.8,53.4,31.3,80.0,53.4,74.5,9.2,6.7,9.2,48.6,5.1,7.5,13.1,5.0,5.0,97.55416,97.55416,97.55416
CHO,PHI,2024-12-16,L,H,108,121,240,42,83,0.506,30,45,0.667,12,38,0.316,12,21,0.571,41,80,0.513,25,42,0.595,16,38,0.421,23,30,0.767,9,29,38,9,33,42,30,12,8,20,27,21,14,4,20,20,105.8,118.6,0.253,0.458,0.585,0.578,0.145,118.6,105.8,0.375,0.475,0.649,0.613,0.288,21.4,76.3,52.5,23.7,78.6,52.5,71.4,11.8,19.0,17.8,51.2,13.7,8.9,17.7,3.0,3.0,102.06090499999999,102.06090499999999,102.06090499999999
CHO,PHI,2024-12-20,L,A,98,108,240,36,78,0.462,26,47,0.553,10,31,0.323,16,21,0.762,41,83,0.494,29,50,0.58,12,33,0.364,14,18,0.778,13,31,44,11,28,39,22,7,4,17,19,30,14,6,15,21,107.3,118.3,0.269,0.397,0.562,0.526,0.205,118.3,107.3,0.217,0.398,0.594,0.566,0.169,31.7,73.8,47.0,26.2,68.3,47.0,61.1,7.7,8.0,16.3,73.2,15.3,12.8,14.2,1.0,4.0,91.28987000000001,91.28987000000001,91.28987000000001
CLE,PHI,2024-12-21,W,H,126,99,240,48,90,0.533,26,47,0.553,22,43,0.512,8,15,0.533,34,85,0.4,23,51,0.451,11,34,0.324,20,27,0.741,13,36,49,11,30,41,31,8,1,13,18,13,7,3,13,16,131.6,103.4,0.167,0.478,0.652,0.656,0.089,103.4,131.6,0.318,0.4,0.511,0.465,0.235,30.2,76.6,45.6,23.4,69.8,45.6,64.6,8.4,2.0,11.9,38.2,7.3,6.4,11.8,1.0,1.0,95.72937,95.72937,95.72937
SAS,PHI,2024-12-23,L,A,106,111,240,37,81,0.457,22,36,0.611,15,45,0.333,17,18,0.944,39,93,0.419,23,49,0.469,16,44,0.364,17,23,0.739,3,39,42,9,38,47,24,4,12,18,21,22,11,2,11,18,103.4,108.2,0.222,0.556,0.596,0.549,0.21,108.2,103.4,0.247,0.473,0.538,0.505,0.183,7.3,81.3,52.8,18.8,92.7,52.8,64.9,3.9,24.5,16.8,56.4,10.7,5.6,9.6,2.0,2.0,102.55026000000001,102.55026000000001,102.55026000000001
BOS,PHI,2024-12-25,L,H,114,118,240,43,95,0.453,23,46,0.5,20,49,0.408,8,13,0.615,41,88,0.466,24,48,0.5,17,40,0.425,19,19,1.0,13,38,51,5,34,39,24,3,4,13,18,28,10,5,6,17,117.8,121.9,0.137,0.516,0.566,0.558,0.084,121.9,117.8,0.216,0.455,0.612,0.563,0.216,27.7,88.4,43.3,11.6,72.3,43.3,55.8,3.1,8.3,11.4,68.3,10.3,10.9,5.9,2.0,2.0,96.77704,96.77704,96.77704
UTA,PHI,2024-12-28,L,H,111,114,240,43,89,0.483,31,53,0.585,12,36,0.333,13,15,0.867,36,83,0.434,23,47,0.489,13,36,0.361,29,37,0.784,14,34,48,10,22,32,27,3,3,22,25,22,15,8,8,22,115.5,118.6,0.169,0.404,0.581,0.551,0.146,118.6,115.5,0.446,0.434,0.574,0.512,0.349,38.9,77.3,40.0,22.7,61.1,40.0,62.8,3.1,6.4,18.7,61.1,15.6,15.1,7.5,2.0,3.0,96.118795,96.118795,96.118795
POR,PHI,2024-12-30,L,H,103,125,240,37,77,0.481,29,41,0.707,8,36,0.222,21,30,0.7,43,75,0.573,32,51,0.627,11,24,0.458,28,31,0.903,12,21,33,8,24,32,23,8,4,26,26,20,12,3,19,27,104.2,126.5,0.39,0.468,0.571,0.532,0.273,126.5,104.2,0.413,0.32,0.705,0.647,0.373,33.3,72.4,49.2,27.6,66.7,49.2,62.2,8.1,7.8,22.4,46.5,12.1,7.3,17.7,2.0,2.0,98.84868,98.84868,98.84868
SAC,PHI,2025-01-01,W,H,113,107,240,41,84,0.488,32,53,0.604,9,31,0.29,22,24,0.917,40,84,0.476,25,44,0.568,15,40,0.375,12,14,0.857,14,31,45,8,26,34,24,11,4,17,14,24,10,5,19,22,116.8,110.6,0.286,0.369,0.598,0.542,0.262,110.6,116.8,0.167,0.476,0.593,0.565,0.143,35.0,79.5,43.0,20.5,65.0,43.0,58.5,11.4,9.1,15.2,60.0,10.3,9.4,17.4,2.0,2.0,96.72255,96.72255,96.72255
GSW,PHI,2025-01-02,W,H,139,105,240,53,87,0.609,31,48,0.646,22,39,0.564,11,15,0.733,34,81,0.42,25,50,0.5,9,31,0.29,28,34,0.824,5,38,43,6,27,33,41,5,8,12,22,17,11,6,11,16,140.4,106.0,0.172,0.448,0.743,0.736,0.126,106.0,140.4,0.42,0.383,0.547,0.475,0.346,15.6,86.4,43.4,13.6,84.4,43.4,77.4,5.0,16.0,11.4,50.0,11.1,12.5,10.3,3.0,1.0,99.04264,99.04264,99.04264
BRK,PHI,2025-01-04,L,H,94,123,240,34,82,0.415,20,41,0.488,14,41,0.341,12,19,0.632,42,82,0.512,27,42,0.643,15,40,0.375,24,30,0.8,6,33,39,8,42,50,22,6,4,22,21,31,11,2,18,17,90.0,117.8,0.232,0.5,0.52,0.5,0.146,117.8,90.0,0.366,0.488,0.646,0.604,0.293,12.5,80.5,56.2,19.5,87.5,56.2,64.7,5.7,9.5,19.6,73.8,10.5,4.9,15.9,2.0,2.0,104.417,104.417,104.417
PHO,PHI,2025-01-06,W,A,109,99,240,41,81,0.506,27,50,0.54,14,31,0.452,13,19,0.684,34,87,0.391,19,47,0.404,15,40,0.375,16,26,0.615,4,40,44,12,34,46,32,7,4,12,18,20,6,4,10,19,114.5,104.0,0.235,0.383,0.61,0.593,0.16,104.0,114.5,0.299,0.46,0.503,0.477,0.184,10.5,76.9,51.1,23.1,89.5,51.1,78.0,7.4,8.5,11.8,58.8,6.3,8.0,9.2,2.0,2.0,95.202995,95.202995,95.202995
