Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
GSW,POR,2024-10-23,W,A,140,104,240,48,93,0.516,28,45,0.622,20,48,0.417,24,30,0.8,36,92,0.391,28,58,0.483,8,34,0.235,24,30,0.8,15,42,57,13,29,42,38,13,5,18,27,21,10,4,18,22,130.6,97.0,0.323,0.516,0.659,0.624,0.258,97.0,130.6,0.326,0.37,0.494,0.435,0.261,34.1,76.4,42.4,23.6,65.9,42.4,79.2,12.1,8.6,14.5,58.3,9.3,8.9,14.6,5.0,5.0,107.219865,107.219865,107.219865
NOP,POR,2024-10-25,W,A,105,103,240,36,86,0.419,24,54,0.444,12,32,0.375,21,31,0.677,37,90,0.411,24,53,0.453,13,37,0.351,16,20,0.8,11,33,44,10,38,48,25,12,8,14,22,26,7,11,20,22,102.3,100.4,0.36,0.372,0.527,0.488,0.244,100.4,102.3,0.222,0.411,0.521,0.483,0.178,22.4,76.7,52.2,23.3,77.6,52.2,69.4,11.7,15.1,12.3,70.3,6.8,20.4,16.8,2.0,2.0,102.601285,102.601285,102.601285
NOP,POR,2024-10-27,L,A,103,125,240,38,88,0.432,30,59,0.508,8,29,0.276,19,24,0.792,43,93,0.462,29,58,0.5,14,35,0.4,25,32,0.781,15,24,39,22,29,51,24,9,8,17,22,25,9,8,16,21,107.0,129.8,0.273,0.33,0.523,0.477,0.216,129.8,107.0,0.344,0.376,0.584,0.538,0.269,34.1,52.2,56.7,47.8,65.9,56.7,63.2,9.3,13.8,14.7,58.1,9.3,13.6,13.0,2.0,2.0,96.29175000000001,96.29175000000001,96.29175000000001
SAC,POR,2024-10-28,W,H,111,98,240,37,81,0.457,23,46,0.5,14,35,0.4,23,25,0.92,35,83,0.422,31,61,0.508,4,22,0.182,24,30,0.8,9,31,40,12,34,46,25,8,6,16,27,17,5,4,18,22,113.4,100.1,0.309,0.432,0.603,0.543,0.284,100.1,113.4,0.361,0.265,0.509,0.446,0.289,20.9,72.1,53.5,27.9,79.1,53.5,67.6,8.2,9.8,14.8,48.6,5.1,8.7,15.8,2.0,1.0,97.91542,97.91542,97.91542
LAC,POR,2024-10-30,L,H,105,106,240,41,90,0.456,28,54,0.519,13,36,0.361,10,18,0.556,41,92,0.446,27,59,0.458,14,33,0.424,10,12,0.833,13,36,49,12,35,47,26,10,5,14,19,19,9,6,13,18,108.7,109.8,0.2,0.4,0.536,0.528,0.111,109.8,108.7,0.13,0.359,0.545,0.522,0.109,27.1,75.0,49.0,25.0,72.9,49.0,63.4,10.4,8.5,12.5,46.3,9.3,11.1,11.8,3.0,2.0,96.574485,96.574485,96.574485
OKC,POR,2024-11-01,W,A,137,114,240,51,95,0.537,32,46,0.696,19,49,0.388,16,19,0.842,39,83,0.47,24,48,0.5,15,35,0.429,21,31,0.677,14,31,45,11,25,36,31,14,9,13,29,27,8,5,19,17,136.5,113.6,0.2,0.516,0.663,0.637,0.168,113.6,136.5,0.373,0.422,0.59,0.56,0.253,35.9,73.8,44.4,26.2,64.1,44.4,60.8,13.9,18.8,11.2,69.2,8.0,10.9,16.4,2.0,2.0,100.38166000000001,100.38166000000001,100.38166000000001
PHO,POR,2024-11-02,W,H,103,97,240,35,93,0.376,18,41,0.439,17,52,0.327,16,22,0.727,37,111,0.333,23,68,0.338,14,43,0.326,9,11,0.818,13,50,63,14,42,56,29,4,8,14,10,17,10,5,6,18,100.4,94.5,0.237,0.559,0.502,0.468,0.172,94.5,100.4,0.099,0.387,0.419,0.396,0.081,23.6,78.1,47.1,21.9,76.4,47.1,82.9,3.9,11.8,12.0,45.9,9.7,12.2,4.9,2.0,1.0,102.60671,102.60671,102.60671
NOP,POR,2024-11-04,L,H,100,118,240,38,84,0.452,28,49,0.571,10,35,0.286,14,16,0.875,46,84,0.548,36,55,0.655,10,29,0.345,16,24,0.667,10,24,34,11,27,38,24,5,3,16,20,21,10,5,12,15,107.6,126.9,0.19,0.417,0.549,0.512,0.167,126.9,107.6,0.286,0.345,0.624,0.607,0.19,27.0,68.6,52.8,31.4,73.0,52.8,63.2,5.4,5.5,14.9,45.7,10.8,10.2,11.3,1.0,2.0,92.97167999999999,92.97167999999999,92.97167999999999
SAS,POR,2024-11-07,W,H,118,105,240,44,82,0.537,28,43,0.651,16,39,0.41,14,18,0.778,41,86,0.477,32,54,0.593,9,32,0.281,14,22,0.636,12,33,45,14,27,41,35,9,4,16,15,23,7,3,14,14,126.1,112.2,0.22,0.476,0.656,0.634,0.171,112.2,126.1,0.256,0.372,0.549,0.529,0.163,30.8,70.2,47.7,29.8,69.2,47.7,79.5,9.6,7.4,15.1,56.1,7.5,7.0,12.8,1.0,3.0,93.56401,93.56401,93.56401
MIN,POR,2024-11-08,W,H,127,102,240,47,97,0.485,25,47,0.532,22,50,0.44,11,14,0.786,39,91,0.429,33,66,0.5,6,25,0.24,18,24,0.75,10,39,49,12,25,37,32,9,7,20,21,13,11,7,17,17,119.9,96.3,0.144,0.515,0.616,0.598,0.113,96.3,119.9,0.264,0.275,0.502,0.462,0.198,28.6,76.5,43.0,23.5,71.4,43.0,68.1,8.5,10.6,16.2,33.3,10.4,14.9,14.3,1.0,1.0,105.9118,105.9118,105.9118
