Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
DAL,SAS,2024-10-24,W,H,120,109,240,42,102,0.412,23,58,0.397,19,44,0.432,17,23,0.739,39,86,0.453,27,50,0.54,12,36,0.333,19,24,0.792,17,33,50,12,40,52,27,9,5,10,21,30,6,5,19,18,118.1,107.3,0.225,0.431,0.535,0.505,0.167,107.3,118.1,0.279,0.419,0.564,0.523,0.221,29.8,73.3,51.0,26.7,70.2,51.0,64.3,8.9,10.0,8.2,76.9,5.9,8.6,16.4,5.0,5.0,101.620485,101.620485,101.620485
HOU,SAS,2024-10-26,L,A,106,109,240,38,92,0.413,25,51,0.49,13,41,0.317,17,21,0.81,39,79,0.494,31,59,0.525,8,20,0.4,23,28,0.821,8,26,34,10,39,49,21,10,3,11,24,23,6,7,17,18,107.7,110.7,0.228,0.446,0.524,0.484,0.185,110.7,107.7,0.354,0.253,0.597,0.544,0.291,17.0,72.2,59.0,27.8,83.0,59.0,55.3,10.2,5.1,9.8,59.0,6.1,13.7,15.7,1.0,2.0,98.43950000000001,98.43950000000001,98.43950000000001
HOU,SAS,2024-10-28,W,A,106,101,240,35,85,0.412,20,48,0.417,15,37,0.405,21,24,0.875,37,87,0.425,27,54,0.5,10,33,0.303,17,21,0.81,13,30,43,17,32,49,20,6,2,12,23,22,6,6,17,21,115.1,109.7,0.282,0.435,0.555,0.5,0.247,109.7,115.1,0.241,0.379,0.525,0.483,0.195,28.9,63.8,53.3,36.2,71.1,53.3,57.1,6.5,3.7,11.2,59.5,6.5,12.5,15.0,2.0,2.0,92.08574999999999,92.08574999999999,92.08574999999999
OKC,SAS,2024-10-30,W,H,105,93,240,41,89,0.461,24,48,0.5,17,41,0.415,6,8,0.75,35,85,0.412,23,49,0.469,12,36,0.333,11,13,0.846,5,34,39,13,39,52,28,18,6,14,15,22,6,6,22,8,106.2,94.1,0.09,0.461,0.567,0.556,0.067,94.1,106.2,0.153,0.424,0.513,0.482,0.129,11.4,72.3,57.1,27.7,88.6,57.1,68.3,18.2,12.2,13.1,62.9,6.1,12.5,19.5,3.0,2.0,98.86273,98.86273,98.86273
UTA,SAS,2024-10-31,L,H,88,106,240,32,82,0.39,25,50,0.5,7,32,0.219,17,19,0.895,38,92,0.413,26,49,0.531,12,43,0.279,18,23,0.783,15,38,53,11,31,42,19,6,6,26,19,25,17,7,11,17,89.2,107.4,0.232,0.39,0.487,0.433,0.207,107.4,89.2,0.25,0.467,0.519,0.478,0.196,32.6,77.6,44.2,22.4,67.4,44.2,59.4,6.1,12.2,22.3,65.8,17.2,14.0,9.7,2.0,1.0,98.70814,98.70814,98.70814
MIN,SAS,2024-11-02,L,A,103,113,240,39,82,0.476,28,45,0.622,11,37,0.297,14,20,0.7,43,83,0.518,30,41,0.732,13,42,0.31,14,17,0.824,6,26,32,7,37,44,21,7,2,13,16,32,6,5,13,16,108.2,118.8,0.244,0.451,0.567,0.543,0.171,118.8,108.2,0.205,0.506,0.624,0.596,0.169,14.0,78.8,57.9,21.2,86.0,57.9,53.8,7.4,4.9,12.5,74.4,6.3,11.1,12.6,1.0,2.0,95.1425,95.1425,95.1425
LAC,SAS,2024-11-04,W,H,113,104,240,41,90,0.456,22,53,0.415,19,37,0.514,12,17,0.706,38,86,0.442,27,45,0.6,11,41,0.268,17,19,0.895,16,28,44,12,33,45,25,6,7,11,21,22,9,10,14,16,123.6,113.7,0.189,0.411,0.58,0.561,0.133,113.7,123.6,0.221,0.477,0.551,0.506,0.198,32.7,70.0,50.6,30.0,67.3,50.6,61.0,6.6,15.6,10.1,57.9,9.8,18.9,12.9,2.0,2.0,91.423695,91.423695,91.423695
HOU,SAS,2024-11-06,W,H,127,100,240,54,96,0.563,44,69,0.638,10,27,0.37,9,15,0.6,37,83,0.446,23,47,0.489,14,36,0.389,12,16,0.75,11,34,45,8,33,41,28,10,5,12,13,20,6,6,20,13,125.3,98.6,0.156,0.281,0.619,0.615,0.094,98.6,125.3,0.193,0.434,0.555,0.53,0.145,25.0,81.0,47.7,19.0,75.0,47.7,51.9,9.9,10.6,10.5,54.1,5.9,8.7,18.2,2.0,2.0,101.4066,101.4066,101.4066
POR,SAS,2024-11-07,L,A,105,118,240,41,86,0.477,32,54,0.593,9,32,0.281,14,22,0.636,44,82,0.537,28,43,0.651,16,39,0.41,14,18,0.778,14,27,41,12,33,45,23,7,3,14,14,35,9,4,16,15,112.2,126.1,0.256,0.372,0.549,0.529,0.163,126.1,112.2,0.22,0.476,0.656,0.634,0.171,29.8,69.2,52.3,30.8,70.2,52.3,56.1,7.5,7.0,12.8,79.5,9.6,7.4,15.1,3.0,1.0,93.56401,93.56401,93.56401
UTA,SAS,2024-11-09,W,A,111,110,240,38,82,0.463,28,49,0.571,10,33,0.303,25,35,0.714,38,85,0.447,21,38,0.553,17,47,0.362,17,19,0.895,9,36,45,6,31,37,23,13,4,18,20,29,8,10,20,26,106.3,105.4,0.427,0.402,0.57,0.524,0.305,105.4,106.3,0.224,0.553,0.589,0.547,0.2,22.5,85.7,45.1,14.3,77.5,45.1,60.5,12.5,10.5,15.6,76.3,7.7,20.4,17.6,2.0,2.0,104.407765,104.407765,104.407765
