Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
BOS,WAS,2024-10-24,W,A,122,102,240,42,90,0.467,25,45,0.556,17,45,0.378,21,27,0.778,41,95,0.432,34,59,0.576,7,36,0.194,13,18,0.722,12,37,49,10,30,40,21,7,3,14,19,27,9,6,15,19,119.0,99.5,0.3,0.5,0.599,0.561,0.233,99.5,119.0,0.189,0.379,0.496,0.468,0.137,28.6,78.7,44.9,21.3,71.4,44.9,50.0,6.8,5.1,12.1,65.9,8.8,13.3,12.7,2.0,5.0,102.50195,102.50195,102.50195
CLE,WAS,2024-10-26,W,A,135,116,240,47,88,0.534,29,49,0.592,18,39,0.462,23,34,0.676,37,96,0.385,22,53,0.415,15,43,0.349,27,32,0.844,11,37,48,18,28,46,27,13,10,17,27,25,6,9,15,25,129.0,110.8,0.386,0.443,0.656,0.636,0.261,110.8,129.0,0.333,0.448,0.527,0.464,0.281,28.2,67.3,48.9,32.7,71.8,48.9,57.4,12.4,18.9,14.2,67.6,5.7,18.4,12.0,1.0,2.0,104.69257499999999,104.69257499999999,104.69257499999999
ATL,WAS,2024-10-28,L,H,119,121,240,39,81,0.481,24,41,0.585,15,40,0.375,26,36,0.722,41,91,0.451,20,47,0.426,21,44,0.477,18,22,0.818,6,33,39,9,34,43,32,12,7,16,22,24,7,3,18,25,112.8,114.7,0.444,0.494,0.614,0.574,0.321,114.7,112.8,0.242,0.484,0.601,0.566,0.198,15.0,78.6,52.4,21.4,85.0,52.4,82.1,11.4,14.9,14.2,58.5,6.6,7.3,15.2,1.0,2.0,105.505,105.505,105.505
ATL,WAS,2024-10-30,L,A,120,133,240,45,95,0.474,33,56,0.589,12,39,0.308,18,21,0.857,47,89,0.528,31,51,0.608,16,38,0.421,23,25,0.92,12,29,41,6,31,37,28,10,3,17,19,32,10,5,16,21,112.8,125.0,0.221,0.411,0.576,0.537,0.189,125.0,112.8,0.281,0.427,0.665,0.618,0.258,27.9,82.9,47.4,17.1,72.1,47.4,62.2,9.4,5.9,14.0,68.1,9.4,8.9,13.8,2.0,2.0,106.39438,106.39438,106.39438
MIA,WAS,2024-11-02,W,A,118,98,240,43,102,0.422,28,65,0.431,15,37,0.405,17,24,0.708,38,91,0.418,31,56,0.554,7,35,0.2,15,21,0.714,21,44,65,8,36,44,19,6,3,14,18,23,12,10,12,22,115.1,95.6,0.235,0.363,0.524,0.495,0.167,95.6,115.1,0.231,0.385,0.489,0.456,0.165,36.8,84.6,40.4,15.4,63.2,40.4,44.2,5.9,5.4,11.1,60.5,11.7,15.4,10.7,3.0,3.0,102.51741,102.51741,102.51741
GSW,WAS,2024-11-04,W,A,125,112,240,44,97,0.454,32,60,0.533,12,37,0.324,25,34,0.735,42,96,0.438,32,53,0.604,10,43,0.233,18,21,0.857,16,40,56,8,39,47,29,5,7,7,20,29,4,8,10,23,121.4,108.8,0.351,0.381,0.558,0.515,0.258,108.8,121.4,0.219,0.448,0.532,0.49,0.188,29.1,83.3,45.6,16.7,70.9,45.6,65.9,4.9,13.2,5.9,69.0,3.9,13.3,8.7,2.0,2.0,102.924065,102.924065,102.924065
MEM,WAS,2024-11-08,W,H,128,104,240,46,97,0.474,32,54,0.593,14,43,0.326,22,25,0.88,38,93,0.409,29,58,0.5,9,35,0.257,19,23,0.826,13,37,50,11,30,41,30,10,10,19,19,27,14,8,18,27,118.4,96.2,0.258,0.443,0.593,0.546,0.227,96.2,118.4,0.247,0.376,0.504,0.457,0.204,30.2,77.1,45.1,22.9,69.8,45.1,65.2,9.3,17.2,15.0,71.1,13.0,14.8,14.9,2.0,4.0,108.121605,108.121605,108.121605
ORL,WAS,2024-11-10,W,H,121,94,240,41,91,0.451,24,43,0.558,17,48,0.354,22,25,0.88,33,72,0.458,23,39,0.59,10,33,0.303,18,25,0.72,15,29,44,7,30,37,25,6,5,12,21,20,4,7,17,25,130.1,101.0,0.275,0.527,0.593,0.544,0.242,101.0,130.1,0.347,0.458,0.566,0.528,0.25,33.3,80.6,45.7,19.4,66.7,45.7,61.0,6.4,12.8,10.5,60.6,4.3,16.3,17.0,2.0,2.0,93.04444000000001,93.04444000000001,93.04444000000001
HOU,WAS,2024-11-11,W,H,107,92,240,40,87,0.46,35,64,0.547,5,23,0.217,22,25,0.88,36,88,0.409,25,57,0.439,11,31,0.355,9,13,0.692,17,41,58,8,26,34,13,12,10,21,17,21,14,5,19,17,106.3,91.4,0.287,0.264,0.546,0.489,0.253,91.4,106.3,0.148,0.352,0.491,0.472,0.102,39.5,83.7,37.0,16.3,60.5,37.0,32.5,11.9,17.5,17.6,58.3,13.9,7.8,16.9,1.0,1.0,100.63306499999999,100.63306499999999,100.63306499999999
SAS,WAS,2024-11-13,W,H,139,130,240,48,92,0.522,30,48,0.625,18,44,0.409,25,32,0.781,49,95,0.516,31,51,0.608,18,44,0.409,14,16,0.875,8,31,39,11,30,41,38,7,7,9,15,27,5,5,18,23,132.1,123.6,0.348,0.478,0.655,0.62,0.272,123.6,132.1,0.168,0.463,0.637,0.611,0.147,21.1,73.8,51.3,26.2,78.9,51.3,79.2,6.7,13.7,7.8,55.1,4.8,10.4,15.0,2.0,2.0,105.18524,105.18524,105.18524
ATL,WAS,2024-11-15,W,H,129,117,240,46,98,0.469,34,61,0.557,12,37,0.324,25,30,0.833,43,106,0.406,28,63,0.444,15,43,0.349,16,21,0.762,15,40,55,13,39,52,28,10,10,16,17,28,11,5,16,23,115.0,104.3,0.306,0.378,0.58,0.531,0.255,104.3,115.0,0.198,0.406,0.508,0.476,0.151,27.8,75.5,48.6,24.5,72.2,48.6,60.9,8.9,15.9,12.6,65.1,9.8,8.2,12.2,3.0,2.0,112.208315,112.208315,112.208315
DET,WAS,2024-11-17,W,A,124,104,240,46,97,0.474,29,59,0.492,17,38,0.447,15,19,0.789,39,83,0.47,27,56,0.482,12,27,0.444,14,20,0.7,13,38,51,5,34,39,27,11,4,9,19,21,6,3,17,16,123.4,103.5,0.196,0.392,0.588,0.562,0.155,103.5,123.4,0.241,0.325,0.566,0.542,0.169,27.7,88.4,43.3,11.6,72.3,43.3,58.7,10.9,7.1,7.9,53.8,6.0,5.1,15.6,2.0,2.0,100.511415,100.511415,100.511415
NYK,WAS,2024-11-18,W,H,134,106,240,51,91,0.56,31,51,0.608,20,40,0.5,12,13,0.923,43,91,0.473,32,58,0.552,11,33,0.333,9,16,0.563,7,34,41,12,29,41,37,4,1,8,12,23,5,3,10,19,141.1,111.6,0.143,0.44,0.693,0.67,0.132,111.6,141.1,0.176,0.363,0.541,0.533,0.099,19.4,73.9,50.0,26.1,80.6,50.0,72.5,4.2,1.7,7.6,53.5,5.3,5.9,9.3,1.0,1.0,94.94592,94.94592,94.94592
BOS,WAS,2024-11-22,W,A,108,96,240,36,85,0.424,25,39,0.641,11,46,0.239,25,32,0.781,39,90,0.433,32,62,0.516,7,28,0.25,11,16,0.688,10,33,43,10,38,48,22,11,7,12,19,19,6,4,20,29,106.6,94.8,0.376,0.541,0.545,0.488,0.294,94.8,106.6,0.178,0.311,0.495,0.472,0.122,20.8,76.7,52.7,23.3,79.2,52.7,61.1,10.9,11.3,10.8,48.7,5.9,10.3,17.1,3.0,4.0,101.289875,101.289875,101.289875
IND,WAS,2024-11-24,W,H,115,103,240,41,86,0.477,29,59,0.492,12,27,0.444,21,27,0.778,36,79,0.456,25,44,0.568,11,35,0.314,20,25,0.8,12,33,45,8,33,41,31,8,3,12,18,24,8,5,17,19,119.2,106.7,0.314,0.314,0.587,0.547,0.244,106.7,119.2,0.316,0.443,0.572,0.525,0.253,26.7,80.5,47.7,19.5,73.3,47.7,75.6,8.3,6.8,10.9,66.7,8.3,8.5,15.9,2.0,2.0,96.48599999999999,96.48599999999999,96.48599999999999
CHI,WAS,2024-11-26,W,A,127,108,240,47,94,0.5,33,54,0.611,14,40,0.35,19,22,0.864,39,91,0.429,29,54,0.537,10,37,0.27,20,31,0.645,8,42,50,5,38,43,29,6,4,11,22,27,7,3,14,18,117.3,99.8,0.234,0.426,0.612,0.574,0.202,99.8,117.3,0.341,0.407,0.516,0.484,0.22,17.4,89.4,46.2,10.6,82.6,46.2,61.7,5.5,7.4,9.6,69.2,6.5,5.6,11.8,3.0,2.0,108.27584999999999,108.27584999999999,108.27584999999999
LAC,WAS,2024-11-27,W,A,121,96,240,45,89,0.506,33,56,0.589,12,33,0.364,19,25,0.76,35,85,0.412,27,52,0.519,8,33,0.242,18,22,0.818,13,34,47,11,29,40,27,18,4,16,19,21,9,4,20,18,120.3,95.5,0.281,0.371,0.605,0.573,0.213,95.5,120.3,0.259,0.388,0.507,0.459,0.212,31.0,75.6,46.0,24.4,69.0,46.0,60.0,17.9,7.7,13.8,60.0,8.9,7.1,17.4,2.0,1.0,100.57560000000001,100.57560000000001,100.57560000000001
MIL,WAS,2024-11-30,W,H,124,114,240,44,86,0.512,28,51,0.549,16,35,0.457,20,25,0.8,41,87,0.471,32,55,0.582,9,32,0.281,23,24,0.958,7,31,38,8,33,41,31,5,6,12,18,24,7,3,12,26,124.8,114.8,0.291,0.407,0.639,0.605,0.233,114.8,124.8,0.276,0.368,0.584,0.523,0.264,17.5,79.5,51.9,20.5,82.5,51.9,70.5,5.0,10.9,11.0,58.5,7.0,5.9,11.0,4.0,3.0,99.3227,99.3227,99.3227
CLE,WAS,2024-12-03,W,H,118,87,240,43,89,0.483,27,43,0.628,16,46,0.348,16,25,0.64,32,83,0.386,28,57,0.491,4,26,0.154,19,25,0.76,7,38,45,13,39,52,31,11,4,11,20,18,4,8,21,21,116.5,85.9,0.281,0.517,0.59,0.573,0.18,85.9,116.5,0.301,0.313,0.463,0.41,0.229,15.2,74.5,53.6,25.5,84.8,53.6,72.1,10.9,7.0,9.9,56.3,3.9,18.6,18.3,2.0,3.0,101.301605,101.301605,101.301605
DAL,WAS,2024-12-05,W,A,137,101,240,48,89,0.539,28,51,0.549,20,38,0.526,21,27,0.778,39,99,0.394,26,59,0.441,13,40,0.325,10,15,0.667,13,45,58,12,27,39,27,8,12,16,16,25,10,3,12,19,133.6,98.5,0.303,0.427,0.679,0.652,0.236,98.5,133.6,0.152,0.404,0.478,0.46,0.101,32.5,78.9,40.2,21.1,67.5,40.2,56.3,7.8,20.3,13.7,64.1,9.8,5.9,10.2,2.0,2.0,102.498025,102.498025,102.498025
DEN,WAS,2024-12-07,L,A,113,122,240,46,95,0.484,41,70,0.586,5,25,0.2,16,27,0.593,45,93,0.484,29,52,0.558,16,41,0.39,16,22,0.727,16,32,48,15,31,46,34,11,6,15,23,31,9,12,17,21,110.1,118.8,0.284,0.263,0.529,0.511,0.168,118.8,110.1,0.237,0.441,0.594,0.57,0.172,34.0,68.1,48.9,31.9,66.0,48.9,73.9,10.7,11.5,12.3,68.9,8.8,17.1,14.2,2.0,2.0,102.69497999999999,102.69497999999999,102.69497999999999
